timeframe,group,segment,year,category,metric,value,state
full-year,hunt,all,2010,all,participants,281677,GA
full-year,hunt,all,2011,all,participants,285630,GA
full-year,hunt,all,2012,all,participants,285256,GA
full-year,hunt,all,2013,all,participants,294531,GA
full-year,hunt,all,2014,all,participants,297797,GA
full-year,hunt,all,2015,all,participants,303935,GA
full-year,hunt,all,2016,all,participants,309279,GA
full-year,hunt,residency,2010,resident,participants,226592,GA
full-year,hunt,residency,2011,resident,participants,233302,GA
full-year,hunt,residency,2012,resident,participants,234050,GA
full-year,hunt,residency,2013,resident,participants,243498,GA
full-year,hunt,residency,2014,resident,participants,245241,GA
full-year,hunt,residency,2015,resident,participants,249031,GA
full-year,hunt,residency,2016,resident,participants,253279,GA
full-year,hunt,residency,2010,nonresident,participants,55085,GA
full-year,hunt,residency,2011,nonresident,participants,52328,GA
full-year,hunt,residency,2012,nonresident,participants,51206,GA
full-year,hunt,residency,2013,nonresident,participants,51033,GA
full-year,hunt,residency,2014,nonresident,participants,52556,GA
full-year,hunt,residency,2015,nonresident,participants,54904,GA
full-year,hunt,residency,2016,nonresident,participants,56e3,GA
full-year,hunt,gender,2010,male,participants,260164,GA
full-year,hunt,gender,2011,male,participants,263041,GA
full-year,hunt,gender,2012,male,participants,261607,GA
full-year,hunt,gender,2013,male,participants,268868,GA
full-year,hunt,gender,2014,male,participants,270919,GA
full-year,hunt,gender,2015,male,participants,274585,GA
full-year,hunt,gender,2016,male,participants,278009,GA
full-year,hunt,gender,2010,female,participants,21513,GA
full-year,hunt,gender,2011,female,participants,22589,GA
full-year,hunt,gender,2012,female,participants,23649,GA
full-year,hunt,gender,2013,female,participants,25663,GA
full-year,hunt,gender,2014,female,participants,26878,GA
full-year,hunt,gender,2015,female,participants,29350,GA
full-year,hunt,gender,2016,female,participants,31270,GA
full-year,hunt,age,2010,18-24,participants,34061,GA
full-year,hunt,age,2011,18-24,participants,34862,GA
full-year,hunt,age,2012,18-24,participants,35688,GA
full-year,hunt,age,2013,18-24,participants,38002,GA
full-year,hunt,age,2014,18-24,participants,38282,GA
full-year,hunt,age,2015,18-24,participants,38813,GA
full-year,hunt,age,2016,18-24,participants,40296,GA
full-year,hunt,age,2010,25-34,participants,57194,GA
full-year,hunt,age,2011,25-34,participants,57756,GA
full-year,hunt,age,2012,25-34,participants,58267,GA
full-year,hunt,age,2013,25-34,participants,60968,GA
full-year,hunt,age,2014,25-34,participants,61391,GA
