timeframe,group,segment,year,category,metric,value,state
full-year,hunt,all,2009,all,participants,451565,MO
full-year,hunt,all,2010,all,participants,445652,MO
full-year,hunt,all,2011,all,participants,443236,MO
full-year,hunt,all,2012,all,participants,447554,MO
full-year,hunt,all,2013,all,participants,448994,MO
full-year,hunt,all,2014,all,participants,449389,MO
full-year,hunt,all,2015,all,participants,447070,MO
full-year,hunt,all,2016,all,participants,437444,MO
full-year,hunt,all,2017,all,participants,431953,MO
full-year,hunt,all,2018,all,participants,423719,MO
full-year,hunt,residency,2009,resident,participants,412485,MO
full-year,hunt,residency,2010,resident,participants,407990,MO
full-year,hunt,residency,2011,resident,participants,405715,MO
full-year,hunt,residency,2012,resident,participants,408799,MO
full-year,hunt,residency,2013,resident,participants,409314,MO
full-year,hunt,residency,2014,resident,participants,407527,MO
full-year,hunt,residency,2015,resident,participants,402892,MO
full-year,hunt,residency,2016,resident,participants,392356,MO
full-year,hunt,residency,2017,resident,participants,385633,MO
full-year,hunt,residency,2018,resident,participants,376488,MO
full-year,hunt,residency,2009,nonresident,participants,39080,MO
full-year,hunt,residency,2010,nonresident,participants,37662,MO
full-year,hunt,residency,2011,nonresident,participants,37521,MO
full-year,hunt,residency,2012,nonresident,participants,38755,MO
full-year,hunt,residency,2013,nonresident,participants,39680,MO
full-year,hunt,residency,2014,nonresident,participants,41862,MO
full-year,hunt,residency,2015,nonresident,participants,44178,MO
full-year,hunt,residency,2016,nonresident,participants,45088,MO
full-year,hunt,residency,2017,nonresident,participants,46320,MO
full-year,hunt,residency,2018,nonresident,participants,47231,MO
full-year,hunt,gender,2009,male,participants,396944,MO
full-year,hunt,gender,2010,male,participants,390272,MO
full-year,hunt,gender,2011,male,participants,386509,MO
full-year,hunt,gender,2012,male,participants,387733,MO
full-year,hunt,gender,2013,male,participants,387737,MO
full-year,hunt,gender,2014,male,participants,385793,MO
full-year,hunt,gender,2015,male,participants,382760,MO
full-year,hunt,gender,2016,male,participants,374121,MO
full-year,hunt,gender,2017,male,participants,369430,MO
full-year,hunt,gender,2018,male,participants,363242,MO
full-year,hunt,gender,2009,female,participants,54621,MO
full-year,hunt,gender,2010,female,participants,55380,MO
full-year,hunt,gender,2011,female,participants,56727,MO
full-year,hunt,gender,2012,female,participants,59821,MO
full-year,hunt,gender,2013,female,participants,61257,MO
full-year,hunt,gender,2014,female,participants,63596,MO
full-year,hunt,gender,2015,female,participants,64310,MO
full-year,hunt,gender,2016,female,participants,63323,MO
full-year,hunt,gender,2017,female,participants,62523,MO
full-year,hunt,gender,2018,female,participants,60477,MO
full-year,hunt,age,2009,18-24,participants,60214,MO
full-year,hunt,age,2010,18-24,participants,59580,MO
full-year,hunt,age,2011,18-24,participants,59988,MO
full-year,hunt,age,2012,18-24,participants,61467,MO
full-year,hunt,age,2013,18-24,participants,62271,MO
full-year,hunt,age,2014,18-24,participants,62444,MO
full-year,hunt,age,2015,18-24,participants,61501,MO
full-year,hunt,age,2016,18-24,participants,59423,MO
full-year,hunt,age,2017,18-24,participants,58684,MO
full-year,hunt,age,2018,18-24,participants,57200,MO
full-year,hunt,age,2009,25-34,participants,89530,MO
full-year,hunt,age,2010,25-34,participants,88851,MO
full-year,hunt,age,2011,25-34,participants,89615,MO
full-year,hunt,age,2012,25-34,participants,91160,MO
full-year,hunt,age,2013,25-34,participants,93328,MO
full-year,hunt,age,2014,25-34,participants,94081,MO
full-year,hunt,age,2015,25-34,participants,94e3,MO
full-year,hunt,age,2016,25-34,participants,91903,MO
full-year,hunt,age,2017,25-34,participants,90790,MO
full-year,hunt,age,2018,25-34,participants,88948,MO
full-year,hunt,age,2009,35-44,participants,100039,MO
full-year,hunt,age,2010,35-44,participants,95401,MO
full-year,hunt,age,2011,35-44,participants,92377,MO
full-year,hunt,age,2012,35-44,participants,93271,MO
full-year,hunt,age,2013,35-44,participants,93017,MO
full-year,hunt,age,2014,35-44,participants,92709,MO
full-year,hunt,age,2015,35-44,participants,91908,MO
full-year,hunt,age,2016,35-44,participants,89393,MO
full-year,hunt,age,2017,35-44,participants,88934,MO
full-year,hunt,age,2018,35-44,participants,88755,MO
full-year,hunt,age,2009,45-54,participants,119585,MO
full-year,hunt,age,2010,45-54,participants,118014,MO
full-year,hunt,age,2011,45-54,participants,115502,MO
full-year,hunt,age,2012,45-54,participants,113443,MO
full-year,hunt,age,2013,45-54,participants,110241,MO
full-year,hunt,age,2014,45-54,participants,107437,MO
full-year,hunt,age,2015,45-54,participants,104777,MO
full-year,hunt,age,2016,45-54,participants,100258,MO
full-year,hunt,age,2017,45-54,participants,96114,MO
full-year,hunt,age,2018,45-54,participants,91223,MO
full-year,hunt,age,2009,55-64,participants,82196,MO
full-year,hunt,age,2010,55-64,participants,83806,MO
full-year,hunt,age,2011,55-64,participants,85753,MO
full-year,hunt,age,2012,55-64,participants,88214,MO
full-year,hunt,age,2013,55-64,participants,90135,MO
full-year,hunt,age,2014,55-64,participants,92717,MO
full-year,hunt,age,2015,55-64,participants,94885,MO
full-year,hunt,age,2016,55-64,participants,96468,MO
full-year,hunt,age,2017,55-64,participants,97432,MO
full-year,hunt,age,2018,55-64,participants,97594,MO
full-year,hunt,all,2014,all,recruits,48142,MO
full-year,hunt,all,2015,all,recruits,47097,MO
full-year,hunt,all,2016,all,recruits,45413,MO
full-year,hunt,all,2017,all,recruits,45161,MO
full-year,hunt,all,2018,all,recruits,43514,MO
full-year,hunt,residency,2014,resident,recruits,32334,MO
full-year,hunt,residency,2015,resident,recruits,30321,MO
full-year,hunt,residency,2016,resident,recruits,28538,MO
full-year,hunt,residency,2017,resident,recruits,28057,MO
full-year,hunt,residency,2018,resident,recruits,26419,MO
full-year,hunt,residency,2014,nonresident,recruits,15808,MO
full-year,hunt,residency,2015,nonresident,recruits,16776,MO
full-year,hunt,residency,2016,nonresident,recruits,16875,MO
full-year,hunt,residency,2017,nonresident,recruits,17104,MO
full-year,hunt,residency,2018,nonresident,recruits,17095,MO
full-year,hunt,gender,2014,male,recruits,36628,MO
full-year,hunt,gender,2015,male,recruits,36179,MO
full-year,hunt,gender,2016,male,recruits,35193,MO
full-year,hunt,gender,2017,male,recruits,35231,MO
full-year,hunt,gender,2018,male,recruits,34525,MO
full-year,hunt,gender,2014,female,recruits,11514,MO
full-year,hunt,gender,2015,female,recruits,10918,MO
full-year,hunt,gender,2016,female,recruits,10220,MO
full-year,hunt,gender,2017,female,recruits,9930,MO
full-year,hunt,gender,2018,female,recruits,8989,MO
full-year,hunt,age,2014,18-24,recruits,8718,MO
full-year,hunt,age,2015,18-24,recruits,8171,MO
full-year,hunt,age,2016,18-24,recruits,7683,MO
full-year,hunt,age,2017,18-24,recruits,7992,MO
full-year,hunt,age,2018,18-24,recruits,7484,MO
full-year,hunt,age,2014,25-34,recruits,12882,MO
full-year,hunt,age,2015,25-34,recruits,12480,MO
full-year,hunt,age,2016,25-34,recruits,12e3,MO
full-year,hunt,age,2017,25-34,recruits,11968,MO
full-year,hunt,age,2018,25-34,recruits,11653,MO
full-year,hunt,age,2014,35-44,recruits,9869,MO
full-year,hunt,age,2015,35-44,recruits,9845,MO
full-year,hunt,age,2016,35-44,recruits,9116,MO
full-year,hunt,age,2017,35-44,recruits,9161,MO
full-year,hunt,age,2018,35-44,recruits,9147,MO
full-year,hunt,age,2014,45-54,recruits,9533,MO
full-year,hunt,age,2015,45-54,recruits,9449,MO
full-year,hunt,age,2016,45-54,recruits,9001,MO
full-year,hunt,age,2017,45-54,recruits,8652,MO
full-year,hunt,age,2018,45-54,recruits,7947,MO
full-year,hunt,age,2014,55-64,recruits,7140,MO
full-year,hunt,age,2015,55-64,recruits,7152,MO
full-year,hunt,age,2016,55-64,recruits,7614,MO
full-year,hunt,age,2017,55-64,recruits,7387,MO
full-year,hunt,age,2018,55-64,recruits,7283,MO
full-year,hunt,all,2010,all,churn,0.20617851250650523,MO
full-year,hunt,all,2011,all,churn,0.20454973836087334,MO
full-year,hunt,all,2012,all,churn,0.2014976220343114,MO
full-year,hunt,all,2013,all,churn,0.20570702082877132,MO
full-year,hunt,all,2014,all,churn,0.20772437939037047,MO
full-year,hunt,all,2015,all,churn,0.21091303970502157,MO
full-year,hunt,all,2016,all,churn,0.220276466772541,MO
full-year,hunt,all,2017,all,churn,0.2175295580691471,MO
full-year,hunt,all,2018,all,churn,0.21827143230860765,MO
full-year,hunt,residency,2010,resident,churn,0.17678061883762497,MO
full-year,hunt,residency,2011,resident,churn,0.1765092281673569,MO
full-year,hunt,residency,2012,resident,churn,0.173994059869613,MO
full-year,hunt,residency,2013,resident,churn,0.1776447594049889,MO
full-year,hunt,residency,2014,resident,churn,0.18053176908624943,MO
full-year,hunt,residency,2015,resident,churn,0.1825826636402675,MO
full-year,hunt,residency,2016,resident,churn,0.19009206009595705,MO
full-year,hunt,residency,2017,resident,churn,0.18628490452548205,MO
full-year,hunt,residency,2018,resident,churn,0.18605513532296247,MO
full-year,hunt,residency,2010,nonresident,churn,0.5164278403275333,MO
full-year,hunt,residency,2011,nonresident,churn,0.5083107641654718,MO
full-year,hunt,residency,2012,nonresident,churn,0.49889395271981024,MO
full-year,hunt,residency,2013,nonresident,churn,0.5017159076248225,MO
full-year,hunt,residency,2014,nonresident,churn,0.48820564516129034,MO
full-year,hunt,residency,2015,nonresident,churn,0.4866704887487459,MO
full-year,hunt,residency,2016,nonresident,churn,0.4954954954954955,MO
full-year,hunt,residency,2017,nonresident,churn,0.4894206884315117,MO
full-year,hunt,residency,2018,nonresident,churn,0.4864853195164076,MO
full-year,hunt,gender,2010,male,churn,0.19130846972996143,MO
full-year,hunt,gender,2011,male,churn,0.18953977373689526,MO
full-year,hunt,gender,2012,male,churn,0.18681664172279025,MO
full-year,hunt,gender,2013,male,churn,0.1898878033374235,MO
full-year,hunt,gender,2014,male,churn,0.19211042506611753,MO
full-year,hunt,gender,2015,male,churn,0.19473327041130734,MO
full-year,hunt,gender,2016,male,churn,0.20293470939877495,MO
full-year,hunt,gender,2017,male,churn,0.20110009881608162,MO
full-year,hunt,gender,2018,male,churn,0.20181791550029293,MO
full-year,hunt,gender,2010,female,churn,0.30012526711369836,MO
full-year,hunt,gender,2011,female,churn,0.2998493675250903,MO
full-year,hunt,gender,2012,female,churn,0.2930283610098077,MO
full-year,hunt,gender,2013,female,churn,0.3012684989429175,MO
full-year,hunt,gender,2014,female,churn,0.30051923801411934,MO
full-year,hunt,gender,2015,female,churn,0.30358044164037856,MO
full-year,hunt,gender,2016,female,churn,0.3165184838558727,MO
full-year,hunt,gender,2017,female,churn,0.31415236136381613,MO
full-year,hunt,gender,2018,female,churn,0.31431410574904234,MO
full-year,hunt,age,2010,18-24,churn,0.2561364466735311,MO
full-year,hunt,age,2011,18-24,churn,0.2557233971131252,MO
full-year,hunt,age,2012,18-24,churn,0.25541775021671004,MO
full-year,hunt,age,2013,18-24,churn,0.2604529333289949,MO
full-year,hunt,age,2014,18-24,churn,0.2664000899295017,MO
full-year,hunt,age,2015,18-24,churn,0.272520538731323,MO
full-year,hunt,age,2016,18-24,churn,0.2828943089430894,MO
full-year,hunt,age,2017,18-24,churn,0.2777085927770859,MO
full-year,hunt,age,2018,18-24,churn,0.2793571258138187,MO
full-year,hunt,age,2010,25-34,churn,0.21882050709259468,MO
full-year,hunt,age,2011,25-34,churn,0.2181629919753295,MO
full-year,hunt,age,2012,25-34,churn,0.21712882887909393,MO
full-year,hunt,age,2013,25-34,churn,0.2211849625379831,MO
full-year,hunt,age,2014,25-34,churn,0.22715583747642723,MO
full-year,hunt,age,2015,25-34,churn,0.2325492405318934,MO
full-year,hunt,age,2016,25-34,churn,0.2438536580176385,MO
full-year,hunt,age,2017,25-34,churn,0.2432264803812757,MO
full-year,hunt,age,2018,25-34,churn,0.2436023134122831,MO
full-year,hunt,age,2010,35-44,churn,0.20190125850918136,MO
full-year,hunt,age,2011,35-44,churn,0.19697906730537415,MO
full-year,hunt,age,2012,35-44,churn,0.19245050174827064,MO
full-year,hunt,age,2013,35-44,churn,0.19744826846788896,MO
full-year,hunt,age,2014,35-44,churn,0.19853360138469306,MO
full-year,hunt,age,2015,35-44,churn,0.20112828588995438,MO
full-year,hunt,age,2016,35-44,churn,0.21172489581859918,MO
full-year,hunt,age,2017,35-44,churn,0.20651736173259355,MO
full-year,hunt,age,2018,35-44,churn,0.20602789023841658,MO
full-year,hunt,age,2010,45-54,churn,0.1883179328511101,MO
full-year,hunt,age,2011,45-54,churn,0.18942667819072306,MO
full-year,hunt,age,2012,45-54,churn,0.1857473095471035,MO
full-year,hunt,age,2013,45-54,churn,0.18887184640609297,MO
full-year,hunt,age,2014,45-54,churn,0.18922179588356416,MO
full-year,hunt,age,2015,45-54,churn,0.18942616465769999,MO
full-year,hunt,age,2016,45-54,churn,0.20128655417271127,MO
full-year,hunt,age,2017,45-54,churn,0.1960361869994115,MO
full-year,hunt,age,2018,45-54,churn,0.19786051738849925,MO
full-year,hunt,age,2010,55-64,churn,0.18699206774052268,MO
full-year,hunt,age,2011,55-64,churn,0.1836503352981887,MO
full-year,hunt,age,2012,55-64,churn,0.17840775249845486,MO
full-year,hunt,age,2013,55-64,churn,0.1819232992869531,MO
full-year,hunt,age,2014,55-64,churn,0.1791867753924669,MO
full-year,hunt,age,2015,55-64,churn,0.18210645526613814,MO
full-year,hunt,age,2016,55-64,churn,0.18555288562876773,MO
full-year,hunt,age,2017,55-64,churn,0.18848932795671058,MO
full-year,hunt,age,2018,55-64,churn,0.18873696312720706,MO
full-year,fish,all,2009,all,participants,774601,MO
full-year,fish,all,2010,all,participants,744603,MO
full-year,fish,all,2011,all,participants,704831,MO
full-year,fish,all,2012,all,participants,745456,MO
full-year,fish,all,2013,all,participants,724921,MO
full-year,fish,all,2014,all,participants,740014,MO
full-year,fish,all,2015,all,participants,712879,MO
full-year,fish,all,2016,all,participants,724815,MO
full-year,fish,all,2017,all,participants,692103,MO
full-year,fish,all,2018,all,participants,664865,MO
full-year,fish,residency,2009,resident,participants,632575,MO
full-year,fish,residency,2010,resident,participants,607981,MO
full-year,fish,residency,2011,resident,participants,579489,MO
full-year,fish,residency,2012,resident,participants,615673,MO
full-year,fish,residency,2013,resident,participants,594677,MO
full-year,fish,residency,2014,resident,participants,606266,MO
full-year,fish,residency,2015,resident,participants,581120,MO
full-year,fish,residency,2016,resident,participants,591645,MO
full-year,fish,residency,2017,resident,participants,563520,MO
full-year,fish,residency,2018,resident,participants,540391,MO
full-year,fish,residency,2009,nonresident,participants,142026,MO
full-year,fish,residency,2010,nonresident,participants,136622,MO
full-year,fish,residency,2011,nonresident,participants,125342,MO
full-year,fish,residency,2012,nonresident,participants,129783,MO
full-year,fish,residency,2013,nonresident,participants,130244,MO
full-year,fish,residency,2014,nonresident,participants,133748,MO
full-year,fish,residency,2015,nonresident,participants,131759,MO
full-year,fish,residency,2016,nonresident,participants,133170,MO
full-year,fish,residency,2017,nonresident,participants,128583,MO
full-year,fish,residency,2018,nonresident,participants,124474,MO
full-year,fish,gender,2009,male,participants,578601,MO
full-year,fish,gender,2010,male,participants,556843,MO
full-year,fish,gender,2011,male,participants,527847,MO
full-year,fish,gender,2012,male,participants,550637,MO
full-year,fish,gender,2013,male,participants,535493,MO
full-year,fish,gender,2014,male,participants,541150,MO
full-year,fish,gender,2015,male,participants,522561,MO
full-year,fish,gender,2016,male,participants,535170,MO
full-year,fish,gender,2017,male,participants,512298,MO
full-year,fish,gender,2018,male,participants,490963,MO
full-year,fish,gender,2009,female,participants,196e3,MO
full-year,fish,gender,2010,female,participants,187760,MO
full-year,fish,gender,2011,female,participants,176984,MO
full-year,fish,gender,2012,female,participants,194819,MO
full-year,fish,gender,2013,female,participants,189428,MO
full-year,fish,gender,2014,female,participants,198864,MO
full-year,fish,gender,2015,female,participants,190318,MO
full-year,fish,gender,2016,female,participants,189645,MO
full-year,fish,gender,2017,female,participants,179805,MO
full-year,fish,gender,2018,female,participants,173902,MO
full-year,fish,age,2009,18-24,participants,104722,MO
full-year,fish,age,2010,18-24,participants,100717,MO
full-year,fish,age,2011,18-24,participants,96041,MO
full-year,fish,age,2012,18-24,participants,105666,MO
full-year,fish,age,2013,18-24,participants,103487,MO
full-year,fish,age,2014,18-24,participants,107071,MO
full-year,fish,age,2015,18-24,participants,101948,MO
full-year,fish,age,2016,18-24,participants,102869,MO
full-year,fish,age,2017,18-24,participants,95574,MO
full-year,fish,age,2018,18-24,participants,89476,MO
full-year,fish,age,2009,25-34,participants,163003,MO
full-year,fish,age,2010,25-34,participants,157926,MO
full-year,fish,age,2011,25-34,participants,150704,MO
full-year,fish,age,2012,25-34,participants,161367,MO
full-year,fish,age,2013,25-34,participants,157456,MO
full-year,fish,age,2014,25-34,participants,161837,MO
full-year,fish,age,2015,25-34,participants,155366,MO
full-year,fish,age,2016,25-34,participants,157210,MO
full-year,fish,age,2017,25-34,participants,146898,MO
