timeframe,group,segment,category,year,metric,value,state
full-year,fish,all,all,2010,participants,161429,NE
full-year,fish,all,all,2011,participants,156011,NE
full-year,fish,all,all,2012,participants,175515,NE
full-year,fish,all,all,2013,participants,169158,NE
full-year,fish,all,all,2014,participants,167281,NE
full-year,fish,all,all,2015,participants,169157,NE
full-year,fish,all,all,2016,participants,173203,NE
full-year,fish,all,all,2017,participants,167032,NE
full-year,fish,all,all,2018,participants,150338,NE
full-year,fish,residency,nonresident,2010,participants,22262,NE
full-year,fish,residency,resident,2010,participants,139167,NE
full-year,fish,residency,nonresident,2011,participants,20887,NE
full-year,fish,residency,resident,2011,participants,135124,NE
full-year,fish,residency,nonresident,2012,participants,23207,NE
full-year,fish,residency,resident,2012,participants,152308,NE
full-year,fish,residency,nonresident,2013,participants,22972,NE
full-year,fish,residency,resident,2013,participants,146186,NE
full-year,fish,residency,nonresident,2014,participants,23914,NE
full-year,fish,residency,resident,2014,participants,143367,NE
full-year,fish,residency,nonresident,2015,participants,24905,NE
full-year,fish,residency,resident,2015,participants,144252,NE
full-year,fish,residency,nonresident,2016,participants,25854,NE
full-year,fish,residency,resident,2016,participants,147349,NE
full-year,fish,residency,nonresident,2017,participants,25944,NE
full-year,fish,residency,resident,2017,participants,141088,NE
full-year,fish,residency,nonresident,2018,participants,23862,NE
full-year,fish,residency,resident,2018,participants,126476,NE
full-year,fish,age,18-24,2010,participants,23636,NE
full-year,fish,age,25-34,2010,participants,37821,NE
full-year,fish,age,35-44,2010,participants,35283,NE
full-year,fish,age,45-54,2010,participants,37136,NE
full-year,fish,age,55-64,2010,participants,27619,NE
full-year,fish,age,18-24,2011,participants,22564,NE
full-year,fish,age,25-34,2011,participants,37095,NE
full-year,fish,age,35-44,2011,participants,33665,NE
full-year,fish,age,45-54,2011,participants,35178,NE
full-year,fish,age,55-64,2011,participants,27575,NE
full-year,fish,age,18-24,2012,participants,26728,NE
full-year,fish,age,25-34,2012,participants,42983,NE
full-year,fish,age,35-44,2012,participants,37800,NE
full-year,fish,age,45-54,2012,participants,37652,NE
full-year,fish,age,55-64,2012,participants,30422,NE
full-year,fish,age,18-24,2013,participants,26594,NE
full-year,fish,age,25-34,2013,participants,41219,NE
full-year,fish,age,35-44,2013,participants,36426,NE
full-year,fish,age,45-54,2013,participants,35257,NE
full-year,fish,age,55-64,2013,participants,29711,NE
full-year,fish,age,18-24,2014,participants,26497,NE
full-year,fish,age,25-34,2014,participants,41404,NE
full-year,fish,age,35-44,2014,participants,36029,NE
full-year,fish,age,45-54,2014,participants,33768,NE
full-year,fish,age,55-64,2014,participants,29653,NE
full-year,fish,age,18-24,2015,participants,26451,NE
full-year,fish,age,25-34,2015,participants,42370,NE
full-year,fish,age,35-44,2015,participants,36730,NE
full-year,fish,age,45-54,2015,participants,33499,NE
full-year,fish,age,55-64,2015,participants,30176,NE
full-year,fish,age,18-24,2016,participants,26845,NE
full-year,fish,age,25-34,2016,participants,43231,NE
full-year,fish,age,35-44,2016,participants,38250,NE
full-year,fish,age,45-54,2016,participants,33704,NE
full-year,fish,age,55-64,2016,participants,31259,NE
full-year,fish,age,18-24,2017,participants,24851,NE
full-year,fish,age,25-34,2017,participants,40899,NE
full-year,fish,age,35-44,2017,participants,37923,NE
full-year,fish,age,45-54,2017,participants,32116,NE
full-year,fish,age,55-64,2017,participants,31317,NE
full-year,fish,age,18-24,2018,participants,21629,NE
full-year,fish,age,25-34,2018,participants,36345,NE
full-year,fish,age,35-44,2018,participants,34825,NE
full-year,fish,age,45-54,2018,participants,28409,NE
full-year,fish,age,55-64,2018,participants,29180,NE
full-year,fish,gender,female,2010,participants,34945,NE
full-year,fish,gender,male,2010,participants,126484,NE
full-year,fish,gender,female,2011,participants,34335,NE
full-year,fish,gender,male,2011,participants,121676,NE
full-year,fish,gender,female,2012,participants,40692,NE
full-year,fish,gender,male,2012,participants,134823,NE
full-year,fish,gender,female,2013,participants,39395,NE
full-year,fish,gender,male,2013,participants,129763,NE
full-year,fish,gender,female,2014,participants,40103,NE
full-year,fish,gender,male,2014,participants,127178,NE
full-year,fish,gender,female,2015,participants,41211,NE
full-year,fish,gender,male,2015,participants,127946,NE
full-year,fish,gender,female,2016,participants,42824,NE
full-year,fish,gender,male,2016,participants,130379,NE
full-year,fish,gender,female,2017,participants,41509,NE
full-year,fish,gender,male,2017,participants,125523,NE
full-year,fish,gender,female,2018,participants,36124,NE
full-year,fish,gender,male,2018,participants,114214,NE
full-year,hunt,all,all,2010,participants,242255,NE
full-year,hunt,all,all,2011,participants,237258,NE
full-year,hunt,all,all,2012,participants,249815,NE
full-year,hunt,all,all,2013,participants,241850,NE
full-year,hunt,all,all,2014,participants,240385,NE
full-year,hunt,all,all,2015,participants,246659,NE
full-year,hunt,all,all,2016,participants,251363,NE
full-year,hunt,all,all,2017,participants,245218,NE
full-year,hunt,all,all,2018,participants,232584,NE
full-year,hunt,residency,nonresident,2010,participants,50348,NE
full-year,hunt,residency,resident,2010,participants,191907,NE
full-year,hunt,residency,nonresident,2011,participants,49760,NE
full-year,hunt,residency,resident,2011,participants,187498,NE
full-year,hunt,residency,nonresident,2012,participants,50568,NE
full-year,hunt,residency,resident,2012,participants,199247,NE
full-year,hunt,residency,nonresident,2013,participants,48761,NE
full-year,hunt,residency,resident,2013,participants,193089,NE
full-year,hunt,residency,nonresident,2014,participants,49264,NE
full-year,hunt,residency,resident,2014,participants,191121,NE
full-year,hunt,residency,nonresident,2015,participants,52778,NE
full-year,hunt,residency,resident,2015,participants,193881,NE
full-year,hunt,residency,nonresident,2016,participants,55319,NE
full-year,hunt,residency,resident,2016,participants,196044,NE
full-year,hunt,residency,nonresident,2017,participants,56131,NE
full-year,hunt,residency,resident,2017,participants,189087,NE
full-year,hunt,residency,nonresident,2018,participants,55393,NE
full-year,hunt,residency,resident,2018,participants,177191,NE
full-year,hunt,age,18-24,2010,participants,34770,NE
full-year,hunt,age,25-34,2010,participants,55707,NE
full-year,hunt,age,35-44,2010,participants,53390,NE
full-year,hunt,age,45-54,2010,participants,58289,NE
full-year,hunt,age,55-64,2010,participants,43093,NE
