timeframe,group,segment,year,category,metric,value,state
full-year,hunt,all,2009,all,participants,233378,OR
full-year,hunt,all,2010,all,participants,216348,OR
full-year,hunt,all,2011,all,participants,212024,OR
full-year,hunt,all,2012,all,participants,208213,OR
full-year,hunt,all,2013,all,participants,210407,OR
full-year,hunt,all,2014,all,participants,210041,OR
full-year,hunt,all,2015,all,participants,210235,OR
full-year,hunt,all,2016,all,participants,210216,OR
full-year,hunt,all,2017,all,participants,204500,OR
full-year,hunt,all,2018,all,participants,200378,OR
full-year,hunt,residency,2009,resident,participants,214782,OR
full-year,hunt,residency,2010,resident,participants,202957,OR
full-year,hunt,residency,2011,resident,participants,198869,OR
full-year,hunt,residency,2012,resident,participants,195409,OR
full-year,hunt,residency,2013,resident,participants,197469,OR
full-year,hunt,residency,2014,resident,participants,196739,OR
full-year,hunt,residency,2015,resident,participants,196479,OR
full-year,hunt,residency,2016,resident,participants,196276,OR
full-year,hunt,residency,2017,resident,participants,190753,OR
full-year,hunt,residency,2018,resident,participants,187051,OR
full-year,hunt,residency,2009,nonresident,participants,18596,OR
full-year,hunt,residency,2010,nonresident,participants,13391,OR
full-year,hunt,residency,2011,nonresident,participants,13155,OR
full-year,hunt,residency,2012,nonresident,participants,12804,OR
full-year,hunt,residency,2013,nonresident,participants,12938,OR
full-year,hunt,residency,2014,nonresident,participants,13302,OR
full-year,hunt,residency,2015,nonresident,participants,13756,OR
full-year,hunt,residency,2016,nonresident,participants,13940,OR
full-year,hunt,residency,2017,nonresident,participants,13747,OR
full-year,hunt,residency,2018,nonresident,participants,13327,OR
full-year,hunt,gender,2009,male,participants,200541,OR
full-year,hunt,gender,2010,male,participants,186312,OR
full-year,hunt,gender,2011,male,participants,182015,OR
full-year,hunt,gender,2012,male,participants,177809,OR
full-year,hunt,gender,2013,male,participants,177974,OR
full-year,hunt,gender,2014,male,participants,176070,OR
full-year,hunt,gender,2015,male,participants,174827,OR
full-year,hunt,gender,2016,male,participants,173539,OR
full-year,hunt,gender,2017,male,participants,168351,OR
full-year,hunt,gender,2018,male,participants,164862,OR
full-year,hunt,gender,2009,female,participants,32837,OR
full-year,hunt,gender,2010,female,participants,30036,OR
full-year,hunt,gender,2011,female,participants,30009,OR
full-year,hunt,gender,2012,female,participants,30404,OR
full-year,hunt,gender,2013,female,participants,32433,OR
full-year,hunt,gender,2014,female,participants,33971,OR
full-year,hunt,gender,2015,female,participants,35408,OR
full-year,hunt,gender,2016,female,participants,36677,OR
full-year,hunt,gender,2017,female,participants,36149,OR
full-year,hunt,gender,2018,female,participants,35516,OR
full-year,hunt,age,2009,18-24,participants,25571,OR
full-year,hunt,age,2010,18-24,participants,23317,OR
full-year,hunt,age,2011,18-24,participants,22370,OR
full-year,hunt,age,2012,18-24,participants,22352,OR
full-year,hunt,age,2013,18-24,participants,23278,OR
full-year,hunt,age,2014,18-24,participants,23370,OR
full-year,hunt,age,2015,18-24,participants,23248,OR
full-year,hunt,age,2016,18-24,participants,23793,OR
full-year,hunt,age,2017,18-24,participants,22774,OR
full-year,hunt,age,2018,18-24,participants,21828,OR
full-year,hunt,age,2009,25-34,participants,46792,OR
full-year,hunt,age,2010,25-34,participants,43520,OR
full-year,hunt,age,2011,25-34,participants,43028,OR
full-year,hunt,age,2012,25-34,participants,42657,OR
full-year,hunt,age,2013,25-34,participants,43807,OR
full-year,hunt,age,2014,25-34,participants,44473,OR
full-year,hunt,age,2015,25-34,participants,45121,OR
full-year,hunt,age,2016,25-34,participants,45027,OR
full-year,hunt,age,2017,25-34,participants,44165,OR
full-year,hunt,age,2018,25-34,participants,42954,OR
full-year,hunt,age,2009,35-44,participants,51400,OR
full-year,hunt,age,2010,35-44,participants,46815,OR
full-year,hunt,age,2011,35-44,participants,45499,OR
full-year,hunt,age,2012,35-44,participants,44835,OR
full-year,hunt,age,2013,35-44,participants,45671,OR
full-year,hunt,age,2014,35-44,participants,45734,OR
full-year,hunt,age,2015,35-44,participants,46143,OR
full-year,hunt,age,2016,35-44,participants,46482,OR
full-year,hunt,age,2017,35-44,participants,45752,OR
full-year,hunt,age,2018,35-44,participants,46059,OR
full-year,hunt,age,2009,45-54,participants,58313,OR
full-year,hunt,age,2010,45-54,participants,53168,OR
full-year,hunt,age,2011,45-54,participants,51242,OR
full-year,hunt,age,2012,45-54,participants,49395,OR
full-year,hunt,age,2013,45-54,participants,48610,OR
full-year,hunt,age,2014,45-54,participants,47917,OR
full-year,hunt,age,2015,45-54,participants,47442,OR
full-year,hunt,age,2016,45-54,participants,46956,OR
full-year,hunt,age,2017,45-54,participants,45129,OR
