timeframe,group,segment,category,year,metric,value
full-year,all_sports,age,18-24,2009,churn,0.37325895789
full-year,all_sports,age,18-24,2010,churn,0.36402663919
full-year,all_sports,age,18-24,2011,churn,0.35287594556
full-year,all_sports,age,18-24,2012,churn,0.36561383174
full-year,all_sports,age,18-24,2013,churn,0.35007723951
full-year,all_sports,age,18-24,2014,churn,0.35607339863
full-year,all_sports,age,18-24,2015,churn,0.35460755984000003
full-year,all_sports,age,18-24,2016,churn,0.36608782626999997
full-year,all_sports,age,18-24,2017,churn,0.36993009800000004
full-year,all_sports,age,18-24,2018,churn,0.24544847567000003
full-year,all_sports,age,25-34,2009,churn,0.41264950979
full-year,all_sports,age,25-34,2010,churn,0.40593193662
full-year,all_sports,age,25-34,2011,churn,0.39468769945
full-year,all_sports,age,25-34,2012,churn,0.40879787344999996
full-year,all_sports,age,25-34,2013,churn,0.39542161084
full-year,all_sports,age,25-34,2014,churn,0.40166067832
full-year,all_sports,age,25-34,2015,churn,0.39505712985
full-year,all_sports,age,25-34,2016,churn,0.40210164517
full-year,all_sports,age,25-34,2017,churn,0.4117220929
full-year,all_sports,age,25-34,2018,churn,0.27522929829
full-year,all_sports,age,35-44,2009,churn,0.46774777354999997
full-year,all_sports,age,35-44,2010,churn,0.46259428757000004
full-year,all_sports,age,35-44,2011,churn,0.45150118622
full-year,all_sports,age,35-44,2012,churn,0.46425287904
full-year,all_sports,age,35-44,2013,churn,0.4495144974
full-year,all_sports,age,35-44,2014,churn,0.45642833815000006
full-year,all_sports,age,35-44,2015,churn,0.45239329797000005
full-year,all_sports,age,35-44,2016,churn,0.45752979818999995
full-year,all_sports,age,35-44,2017,churn,0.46820358164
full-year,all_sports,age,35-44,2018,churn,0.32102575768
full-year,all_sports,age,45-54,2009,churn,0.5023514221500001
full-year,all_sports,age,45-54,2010,churn,0.49692653470000003
full-year,all_sports,age,45-54,2011,churn,0.48530666786
full-year,all_sports,age,45-54,2012,churn,0.50258987396
full-year,all_sports,age,45-54,2013,churn,0.48994728776999996
full-year,all_sports,age,45-54,2014,churn,0.50206395537
full-year,all_sports,age,45-54,2015,churn,0.5043258805499999
full-year,all_sports,age,45-54,2016,churn,0.50476073944
full-year,all_sports,age,45-54,2017,churn,0.51429656903
full-year,all_sports,age,45-54,2018,churn,0.35734059037
full-year,all_sports,age,55-64,2009,churn,0.50957307389
full-year,all_sports,age,55-64,2010,churn,0.5065537894500001
full-year,all_sports,age,55-64,2011,churn,0.49451655238000003
full-year,all_sports,age,55-64,2012,churn,0.51305317377
full-year,all_sports,age,55-64,2013,churn,0.50290467885
full-year,all_sports,age,55-64,2014,churn,0.52297008868
full-year,all_sports,age,55-64,2015,churn,0.5433132369
full-year,all_sports,age,55-64,2016,churn,0.5279575469600001
full-year,all_sports,age,55-64,2017,churn,0.5401301348399999
full-year,all_sports,age,55-64,2018,churn,0.37971968406
full-year,all_sports,All,All,2009,churn,0.46444181383999994
full-year,all_sports,All,All,2010,churn,0.45973177747
full-year,all_sports,All,All,2011,churn,0.44777374989
full-year,all_sports,All,All,2012,churn,0.46378217524
full-year,all_sports,All,All,2013,churn,0.45074937886
full-year,all_sports,All,All,2014,churn,0.46227614354
full-year,all_sports,All,All,2015,churn,0.46701990602000004
full-year,all_sports,All,All,2016,churn,0.46683831336
full-year,all_sports,All,All,2017,churn,0.47638258074
full-year,all_sports,All,All,2018,churn,0.32953420403
full-year,all_sports,gender,Female,2009,churn,0.38041940253
full-year,all_sports,gender,Female,2010,churn,0.38761598999
full-year,all_sports,gender,Female,2011,churn,0.37383741547
full-year,all_sports,gender,Female,2012,churn,0.39188377517
full-year,all_sports,gender,Female,2013,churn,0.38247555564
full-year,all_sports,gender,Female,2014,churn,0.39495120985
full-year,all_sports,gender,Female,2015,churn,0.40273467730999996
full-year,all_sports,gender,Female,2016,churn,0.403164888
full-year,all_sports,gender,Female,2017,churn,0.41545491569
full-year,all_sports,gender,Female,2018,churn,0.2916706431
full-year,all_sports,gender,Male,2009,churn,0.488710057
full-year,all_sports,gender,Male,2010,churn,0.48010273357000005
full-year,all_sports,gender,Male,2011,churn,0.47022677658
full-year,all_sports,gender,Male,2012,churn,0.48569803514
full-year,all_sports,gender,Male,2013,churn,0.47171728014000003
full-year,all_sports,gender,Male,2014,churn,0.4832987577
full-year,all_sports,gender,Male,2015,churn,0.48699267925
full-year,all_sports,gender,Male,2016,churn,0.48672633793000003
full-year,all_sports,gender,Male,2017,churn,0.49519851415
full-year,all_sports,gender,Male,2018,churn,0.3412250788
full-year,all_sports,Residency,Nonresident,2009,churn,0.40964213386
full-year,all_sports,Residency,Nonresident,2010,churn,0.36580949295000004
full-year,all_sports,Residency,Nonresident,2011,churn,0.35973035747
full-year,all_sports,Residency,Nonresident,2012,churn,0.3612230101
full-year,all_sports,Residency,Nonresident,2013,churn,0.33094739828999997
full-year,all_sports,Residency,Nonresident,2014,churn,0.3416094191
full-year,all_sports,Residency,Nonresident,2015,churn,0.32974841725
full-year,all_sports,Residency,Nonresident,2016,churn,0.34184468624
full-year,all_sports,Residency,Nonresident,2017,churn,0.3414662048
full-year,all_sports,Residency,Nonresident,2018,churn,0.2437836884
full-year,all_sports,Residency,Resident,2009,churn,0.47387808415000005
full-year,all_sports,Residency,Resident,2010,churn,0.48890883899000004
full-year,all_sports,Residency,Resident,2011,churn,0.47599123179
full-year,all_sports,Residency,Resident,2012,churn,0.49878101671999997
full-year,all_sports,Residency,Resident,2013,churn,0.49683662043
full-year,all_sports,Residency,Resident,2014,churn,0.5053894193899999
full-year,all_sports,Residency,Resident,2015,churn,0.51976756209
full-year,all_sports,Residency,Resident,2016,churn,0.5184481453800001
full-year,all_sports,Residency,Resident,2017,churn,0.5345179917
full-year,all_sports,Residency,Resident,2018,churn,0.36689232101999997
full-year,all_sports,age,18-24,2009,Participants,117243
full-year,all_sports,age,18-24,2010,Participants,133938
full-year,all_sports,age,18-24,2011,Participants,151498
full-year,all_sports,age,18-24,2012,Participants,155295
full-year,all_sports,age,18-24,2013,Participants,172839
full-year,all_sports,age,18-24,2014,Participants,177660
full-year,all_sports,age,18-24,2015,Participants,179607
full-year,all_sports,age,18-24,2016,Participants,176963
full-year,all_sports,age,18-24,2017,Participants,174387
full-year,all_sports,age,18-24,2018,Participants,167746
full-year,all_sports,age,25-34,2009,Participants,201241
full-year,all_sports,age,25-34,2010,Participants,228728
full-year,all_sports,age,25-34,2011,Participants,253826
full-year,all_sports,age,25-34,2012,Participants,259199
full-year,all_sports,age,25-34,2013,Participants,285690
full-year,all_sports,age,25-34,2014,Participants,298914
full-year,all_sports,age,25-34,2015,Participants,314109
full-year,all_sports,age,25-34,2016,Participants,314801
full-year,all_sports,age,25-34,2017,Participants,310593
full-year,all_sports,age,25-34,2018,Participants,308332
full-year,all_sports,age,35-44,2009,Participants,251409
full-year,all_sports,age,35-44,2010,Participants,276415
full-year,all_sports,age,35-44,2011,Participants,293368
full-year,all_sports,age,35-44,2012,Participants,293674
full-year,all_sports,age,35-44,2013,Participants,310297
full-year,all_sports,age,35-44,2014,Participants,315377
full-year,all_sports,age,35-44,2015,Participants,325931
full-year,all_sports,age,35-44,2016,Participants,321496
full-year,all_sports,age,35-44,2017,Participants,321640
full-year,all_sports,age,35-44,2018,Participants,325301
full-year,all_sports,age,45-54,2009,Participants,296629
full-year,all_sports,age,45-54,2010,Participants,332361
full-year,all_sports,age,45-54,2011,Participants,356216
full-year,all_sports,age,45-54,2012,Participants,356388
full-year,all_sports,age,45-54,2013,Participants,379798
full-year,all_sports,age,45-54,2014,Participants,385425
full-year,all_sports,age,45-54,2015,Participants,408125
full-year,all_sports,age,45-54,2016,Participants,400463
full-year,all_sports,age,45-54,2017,Participants,392192
full-year,all_sports,age,45-54,2018,Participants,383995
full-year,all_sports,age,55-64,2009,Participants,230438
full-year,all_sports,age,55-64,2010,Participants,260460
full-year,all_sports,age,55-64,2011,Participants,284219
full-year,all_sports,age,55-64,2012,Participants,292381
full-year,all_sports,age,55-64,2013,Participants,318796
full-year,all_sports,age,55-64,2014,Participants,332650
full-year,all_sports,age,55-64,2015,Participants,377679
full-year,all_sports,age,55-64,2016,Participants,383671
full-year,all_sports,age,55-64,2017,Participants,382680
full-year,all_sports,age,55-64,2018,Participants,387420
full-year,all_sports,All,All,2009,Participants,1122681
full-year,all_sports,All,All,2010,Participants,1262832
full-year,all_sports,All,All,2011,Participants,1380101
full-year,all_sports,All,All,2012,Participants,1403991
full-year,all_sports,All,All,2013,Participants,1522194
full-year,all_sports,All,All,2014,Participants,1569365
full-year,all_sports,All,All,2015,Participants,1673464
full-year,all_sports,All,All,2016,Participants,1670874
full-year,all_sports,All,All,2017,Participants,1654605
full-year,all_sports,All,All,2018,Participants,1643359
full-year,all_sports,gender,Female,2009,Participants,251596
full-year,all_sports,gender,Female,2010,Participants,278149
full-year,all_sports,gender,Female,2011,Participants,321482
full-year,all_sports,gender,Female,2012,Participants,327985
full-year,all_sports,gender,Female,2013,Participants,357649
full-year,all_sports,gender,Female,2014,Participants,373436
full-year,all_sports,gender,Female,2015,Participants,396683
full-year,all_sports,gender,Female,2016,Participants,397676
full-year,all_sports,gender,Female,2017,Participants,390413
full-year,all_sports,gender,Female,2018,Participants,387701
full-year,all_sports,gender,Male,2009,Participants,871085
full-year,all_sports,gender,Male,2010,Participants,984683
full-year,all_sports,gender,Male,2011,Participants,1058619
full-year,all_sports,gender,Male,2012,Participants,1076006
full-year,all_sports,gender,Male,2013,Participants,1164545
full-year,all_sports,gender,Male,2014,Participants,1195929
full-year,all_sports,gender,Male,2015,Participants,1276781
full-year,all_sports,gender,Male,2016,Participants,1273198
full-year,all_sports,gender,Male,2017,Participants,1264192
full-year,all_sports,gender,Male,2018,Participants,1255658
full-year,all_sports,Residency,Nonresident,2009,Participants,164922
full-year,all_sports,Residency,Nonresident,2010,Participants,299317
full-year,all_sports,Residency,Nonresident,2011,Participants,334962
full-year,all_sports,Residency,Nonresident,2012,Participants,357217
full-year,all_sports,Residency,Nonresident,2013,Participants,422895
full-year,all_sports,Residency,Nonresident,2014,Participants,413118
full-year,all_sports,Residency,Nonresident,2015,Participants,464539
full-year,all_sports,Residency,Nonresident,2016,Participants,488289
full-year,all_sports,Residency,Nonresident,2017,Participants,498266
full-year,all_sports,Residency,Nonresident,2018,Participants,498688
full-year,all_sports,Residency,Resident,2009,Participants,957759
full-year,all_sports,Residency,Resident,2010,Participants,963515
full-year,all_sports,Residency,Resident,2011,Participants,1045139
full-year,all_sports,Residency,Resident,2012,Participants,1046774
full-year,all_sports,Residency,Resident,2013,Participants,1099299
full-year,all_sports,Residency,Resident,2014,Participants,1156247
full-year,all_sports,Residency,Resident,2015,Participants,1208925
full-year,all_sports,Residency,Resident,2016,Participants,1182585
full-year,all_sports,Residency,Resident,2017,Participants,1156339
full-year,all_sports,Residency,Resident,2018,Participants,1144671
full-year,all_sports,age,18-24,2014,Recruits,85213
full-year,all_sports,age,18-24,2015,Recruits,83597
full-year,all_sports,age,18-24,2016,Recruits,80882
full-year,all_sports,age,18-24,2017,Recruits,77990
full-year,all_sports,age,18-24,2018,Recruits,74256
full-year,all_sports,age,25-34,2014,Recruits,115414
full-year,all_sports,age,25-34,2015,Recruits,119903
full-year,all_sports,age,25-34,2016,Recruits,117436
full-year,all_sports,age,25-34,2017,Recruits,111873
full-year,all_sports,age,25-34,2018,Recruits,108833
full-year,all_sports,age,35-44,2014,Recruits,104571
full-year,all_sports,age,35-44,2015,Recruits,107694
full-year,all_sports,age,35-44,2016,Recruits,103046
full-year,all_sports,age,35-44,2017,Recruits,100729
full-year,all_sports,age,35-44,2018,Recruits,99881
full-year,all_sports,age,45-54,2014,Recruits,110364
