timeframe,group,segment,year,category,metric,value
full-year,hunt,All,2010,All,participants,281677
full-year,hunt,All,2011,All,participants,285630
full-year,hunt,All,2012,All,participants,285256
full-year,hunt,All,2013,All,participants,294531
full-year,hunt,All,2014,All,participants,297797
full-year,hunt,All,2015,All,participants,303935
full-year,hunt,All,2016,All,participants,309279
full-year,hunt,Residency,2010,Resident,participants,226592
full-year,hunt,Residency,2011,Resident,participants,233302
full-year,hunt,Residency,2012,Resident,participants,234050
full-year,hunt,Residency,2013,Resident,participants,243498
full-year,hunt,Residency,2014,Resident,participants,245241
full-year,hunt,Residency,2015,Resident,participants,249031
full-year,hunt,Residency,2016,Resident,participants,253279
full-year,hunt,Residency,2010,Nonresident,participants,55085
full-year,hunt,Residency,2011,Nonresident,participants,52328
full-year,hunt,Residency,2012,Nonresident,participants,51206
full-year,hunt,Residency,2013,Nonresident,participants,51033
full-year,hunt,Residency,2014,Nonresident,participants,52556
full-year,hunt,Residency,2015,Nonresident,participants,54904
full-year,hunt,Residency,2016,Nonresident,participants,56e3
full-year,hunt,Gender,2010,Male,participants,260164
full-year,hunt,Gender,2011,Male,participants,263041
full-year,hunt,Gender,2012,Male,participants,261607
full-year,hunt,Gender,2013,Male,participants,268868
full-year,hunt,Gender,2014,Male,participants,270919
full-year,hunt,Gender,2015,Male,participants,274585
full-year,hunt,Gender,2016,Male,participants,278009
full-year,hunt,Gender,2010,Female,participants,21513
full-year,hunt,Gender,2011,Female,participants,22589
full-year,hunt,Gender,2012,Female,participants,23649
full-year,hunt,Gender,2013,Female,participants,25663
full-year,hunt,Gender,2014,Female,participants,26878
full-year,hunt,Gender,2015,Female,participants,29350
full-year,hunt,Gender,2016,Female,participants,31270
full-year,hunt,Age,2010,18-24,participants,34061
full-year,hunt,Age,2011,18-24,participants,34862
full-year,hunt,Age,2012,18-24,participants,35688
full-year,hunt,Age,2013,18-24,participants,38002
full-year,hunt,Age,2014,18-24,participants,38282
full-year,hunt,Age,2015,18-24,participants,38813
full-year,hunt,Age,2016,18-24,participants,40296
full-year,hunt,Age,2010,25-34,participants,57194
full-year,hunt,Age,2011,25-34,participants,57756
full-year,hunt,Age,2012,25-34,participants,58267
full-year,hunt,Age,2013,25-34,participants,60968
full-year,hunt,Age,2014,25-34,participants,61391
full-year,hunt,Age,2015,25-34,participants,62513
full-year,hunt,Age,2016,25-34,participants,64232
full-year,hunt,Age,2010,35-44,participants,70926
full-year,hunt,Age,2011,35-44,participants,70319
full-year,hunt,Age,2012,35-44,participants,69095
