timeframe,group,segment,category,year,metric,value
full-year,fish,age,18-24,2013,churn,0.5338016369
full-year,fish,age,18-24,2014,churn,0.5176569339
full-year,fish,age,18-24,2015,churn,0.5293791267
full-year,fish,age,18-24,2016,churn,0.533240612
full-year,fish,age,18-24,2017,churn,0.5363012157
full-year,fish,age,18-24,2018,churn,0.5379406958
full-year,fish,age,25-34,2013,churn,0.4894419828
full-year,fish,age,25-34,2014,churn,0.4695261109
full-year,fish,age,25-34,2015,churn,0.4684939248
full-year,fish,age,25-34,2016,churn,0.4796388317
full-year,fish,age,25-34,2017,churn,0.4823540004
full-year,fish,age,25-34,2018,churn,0.4812403006
full-year,fish,age,35-44,2013,churn,0.4225297388
full-year,fish,age,35-44,2014,churn,0.4069799649
full-year,fish,age,35-44,2015,churn,0.4185126582
full-year,fish,age,35-44,2016,churn,0.4275573068
full-year,fish,age,35-44,2017,churn,0.4212906537
full-year,fish,age,35-44,2018,churn,0.4251192369
full-year,fish,age,45-54,2013,churn,0.370787585
full-year,fish,age,45-54,2014,churn,0.3514539482
full-year,fish,age,45-54,2015,churn,0.3597902687
full-year,fish,age,45-54,2016,churn,0.3666330967
full-year,fish,age,45-54,2017,churn,0.3593761772
full-year,fish,age,45-54,2018,churn,0.3657805778
full-year,fish,age,55-64,2013,churn,0.3616899619
full-year,fish,age,55-64,2014,churn,0.3423583232
full-year,fish,age,55-64,2015,churn,0.3462620458
full-year,fish,age,55-64,2016,churn,0.3438092184
full-year,fish,age,55-64,2017,churn,0.3434230403
full-year,fish,age,55-64,2018,churn,0.3443502052
full-year,fish,All,All,2013,churn,0.42461187899999997
full-year,fish,All,All,2014,churn,0.4076576723
full-year,fish,All,All,2015,churn,0.41519864650000005
full-year,fish,All,All,2016,churn,0.42116667290000004
full-year,fish,All,All,2017,churn,0.4185564159
full-year,fish,All,All,2018,churn,0.42079154809999997
full-year,fish,gender,Female,2013,churn,0.5955179802
full-year,fish,gender,Female,2014,churn,0.5784476348
full-year,fish,gender,Female,2015,churn,0.5690283722
full-year,fish,gender,Female,2016,churn,0.5774289985
full-year,fish,gender,Female,2017,churn,0.5704757234
full-year,fish,gender,Female,2018,churn,0.5737179487
full-year,fish,gender,Male,2013,churn,0.402497783
full-year,fish,gender,Male,2014,churn,0.3854632682
full-year,fish,gender,Male,2015,churn,0.3942750627
full-year,fish,gender,Male,2016,churn,0.3984976458
full-year,fish,gender,Male,2017,churn,0.3962107722
full-year,fish,gender,Male,2018,churn,0.3979500051
