timeframe,group,segment,year,category,metric,value
full-year,hunt,All,2008,All,participants,449048
full-year,hunt,All,2009,All,participants,451380
full-year,hunt,All,2010,All,participants,445181
full-year,hunt,All,2011,All,participants,442565
full-year,hunt,All,2012,All,participants,446816
full-year,hunt,All,2013,All,participants,448171
full-year,hunt,All,2014,All,participants,448491
full-year,hunt,All,2015,All,participants,446080
full-year,hunt,All,2016,All,participants,436417
full-year,hunt,All,2017,All,participants,430836
full-year,hunt,All,2018,All,participants,422488
full-year,hunt,Residency,2008,Resident,participants,408880
full-year,hunt,Residency,2009,Resident,participants,412304
full-year,hunt,Residency,2010,Resident,participants,407531
full-year,hunt,Residency,2011,Resident,participants,405067
full-year,hunt,Residency,2012,Resident,participants,408087
full-year,hunt,Residency,2013,Resident,participants,408520
full-year,hunt,Residency,2014,Resident,participants,406664
full-year,hunt,Residency,2015,Resident,participants,401940
full-year,hunt,Residency,2016,Resident,participants,391375
full-year,hunt,Residency,2017,Resident,participants,384563
full-year,hunt,Residency,2018,Resident,participants,375296
full-year,hunt,Residency,2008,Nonresident,participants,40168
full-year,hunt,Residency,2009,Nonresident,participants,39076
full-year,hunt,Residency,2010,Nonresident,participants,37650
full-year,hunt,Residency,2011,Nonresident,participants,37498
full-year,hunt,Residency,2012,Nonresident,participants,38729
full-year,hunt,Residency,2013,Nonresident,participants,39651
full-year,hunt,Residency,2014,Nonresident,participants,41827
full-year,hunt,Residency,2015,Nonresident,participants,44140
full-year,hunt,Residency,2016,Nonresident,participants,45042
full-year,hunt,Residency,2017,Nonresident,participants,46273
full-year,hunt,Residency,2018,Nonresident,participants,47192
full-year,hunt,Gender,2008,Male,participants,395602
full-year,hunt,Gender,2009,Male,participants,396776
full-year,hunt,Gender,2010,Male,participants,389839
full-year,hunt,Gender,2011,Male,participants,385904
full-year,hunt,Gender,2012,Male,participants,387069
full-year,hunt,Gender,2013,Male,participants,387e3
full-year,hunt,Gender,2014,Male,participants,384977
full-year,hunt,Gender,2015,Male,participants,381861
full-year,hunt,Gender,2016,Male,participants,373184
full-year,hunt,Gender,2017,Male,participants,368429
full-year,hunt,Gender,2018,Male,participants,362148
full-year,hunt,Gender,2008,Female,participants,53446
full-year,hunt,Gender,2009,Female,participants,54604
full-year,hunt,Gender,2010,Female,participants,55342
full-year,hunt,Gender,2011,Female,participants,56661
full-year,hunt,Gender,2012,Female,participants,59747
full-year,hunt,Gender,2013,Female,participants,61171
full-year,hunt,Gender,2014,Female,participants,63514
full-year,hunt,Gender,2015,Female,participants,64219
full-year,hunt,Gender,2016,Female,participants,63233
full-year,hunt,Gender,2017,Female,participants,62407
full-year,hunt,Gender,2018,Female,participants,60340
full-year,hunt,Age,2008,18-24,participants,59679
full-year,hunt,Age,2009,18-24,participants,60212
full-year,hunt,Age,2010,18-24,participants,59571
full-year,hunt,Age,2011,18-24,participants,59962
full-year,hunt,Age,2012,18-24,participants,61424
full-year,hunt,Age,2013,18-24,participants,62210
full-year,hunt,Age,2014,18-24,participants,62365
full-year,hunt,Age,2015,18-24,participants,61396
full-year,hunt,Age,2016,18-24,participants,59302
full-year,hunt,Age,2017,18-24,participants,58527
full-year,hunt,Age,2018,18-24,participants,57036
full-year,hunt,Age,2008,25-34,participants,88663
full-year,hunt,Age,2009,25-34,participants,89524
full-year,hunt,Age,2010,25-34,participants,88835
full-year,hunt,Age,2011,25-34,participants,89597
full-year,hunt,Age,2012,25-34,participants,91133
full-year,hunt,Age,2013,25-34,participants,93296
full-year,hunt,Age,2014,25-34,participants,94041
full-year,hunt,Age,2015,25-34,participants,93958
full-year,hunt,Age,2016,25-34,participants,91853
full-year,hunt,Age,2017,25-34,participants,90712
full-year,hunt,Age,2018,25-34,participants,88837
full-year,hunt,Age,2008,35-44,participants,102983
full-year,hunt,Age,2009,35-44,participants,100033
full-year,hunt,Age,2010,35-44,participants,95392
full-year,hunt,Age,2011,35-44,participants,92360
full-year,hunt,Age,2012,35-44,participants,93248
full-year,hunt,Age,2013,35-44,participants,92980
full-year,hunt,Age,2014,35-44,participants,92666
full-year,hunt,Age,2015,35-44,participants,91859
full-year,hunt,Age,2016,35-44,participants,89336
full-year,hunt,Age,2017,35-44,participants,88871
full-year,hunt,Age,2018,35-44,participants,88683
full-year,hunt,Age,2008,45-54,participants,118753
full-year,hunt,Age,2009,45-54,participants,119579
