timeframe,group,segment,year,category,metric,value,state
full-year,hunt,All,2009,All,participants,233378,OR
full-year,hunt,All,2010,All,participants,216348,OR
full-year,hunt,All,2011,All,participants,212024,OR
full-year,hunt,All,2012,All,participants,208213,OR
full-year,hunt,All,2013,All,participants,210407,OR
full-year,hunt,All,2014,All,participants,210041,OR
full-year,hunt,All,2015,All,participants,210235,OR
full-year,hunt,All,2016,All,participants,210216,OR
full-year,hunt,All,2017,All,participants,204500,OR
full-year,hunt,All,2018,All,participants,200378,OR
full-year,hunt,Residency,2009,Resident,participants,214782,OR
full-year,hunt,Residency,2010,Resident,participants,202957,OR
full-year,hunt,Residency,2011,Resident,participants,198869,OR
full-year,hunt,Residency,2012,Resident,participants,195409,OR
full-year,hunt,Residency,2013,Resident,participants,197469,OR
full-year,hunt,Residency,2014,Resident,participants,196739,OR
full-year,hunt,Residency,2015,Resident,participants,196479,OR
full-year,hunt,Residency,2016,Resident,participants,196276,OR
full-year,hunt,Residency,2017,Resident,participants,190753,OR
full-year,hunt,Residency,2018,Resident,participants,187051,OR
full-year,hunt,Residency,2009,Nonresident,participants,18596,OR
full-year,hunt,Residency,2010,Nonresident,participants,13391,OR
full-year,hunt,Residency,2011,Nonresident,participants,13155,OR
full-year,hunt,Residency,2012,Nonresident,participants,12804,OR
full-year,hunt,Residency,2013,Nonresident,participants,12938,OR
full-year,hunt,Residency,2014,Nonresident,participants,13302,OR
full-year,hunt,Residency,2015,Nonresident,participants,13756,OR
full-year,hunt,Residency,2016,Nonresident,participants,13940,OR
full-year,hunt,Residency,2017,Nonresident,participants,13747,OR
full-year,hunt,Residency,2018,Nonresident,participants,13327,OR
full-year,hunt,Gender,2009,Male,participants,200541,OR
full-year,hunt,Gender,2010,Male,participants,186312,OR
full-year,hunt,Gender,2011,Male,participants,182015,OR
full-year,hunt,Gender,2012,Male,participants,177809,OR
full-year,hunt,Gender,2013,Male,participants,177974,OR
full-year,hunt,Gender,2014,Male,participants,176070,OR
full-year,hunt,Gender,2015,Male,participants,174827,OR
full-year,hunt,Gender,2016,Male,participants,173539,OR
full-year,hunt,Gender,2017,Male,participants,168351,OR
full-year,hunt,Gender,2018,Male,participants,164862,OR
full-year,hunt,Gender,2009,Female,participants,32837,OR
full-year,hunt,Gender,2010,Female,participants,30036,OR
full-year,hunt,Gender,2011,Female,participants,30009,OR
full-year,hunt,Gender,2012,Female,participants,30404,OR
full-year,hunt,Gender,2013,Female,participants,32433,OR
full-year,hunt,Gender,2014,Female,participants,33971,OR
full-year,hunt,Gender,2015,Female,participants,35408,OR
full-year,hunt,Gender,2016,Female,participants,36677,OR
full-year,hunt,Gender,2017,Female,participants,36149,OR
full-year,hunt,Gender,2018,Female,participants,35516,OR
full-year,hunt,Age,2009,18-24,participants,25571,OR
full-year,hunt,Age,2010,18-24,participants,23317,OR
full-year,hunt,Age,2011,18-24,participants,22370,OR
full-year,hunt,Age,2012,18-24,participants,22352,OR
full-year,hunt,Age,2013,18-24,participants,23278,OR
full-year,hunt,Age,2014,18-24,participants,23370,OR
full-year,hunt,Age,2015,18-24,participants,23248,OR
full-year,hunt,Age,2016,18-24,participants,23793,OR
full-year,hunt,Age,2017,18-24,participants,22774,OR
full-year,hunt,Age,2018,18-24,participants,21828,OR
full-year,hunt,Age,2009,25-34,participants,46792,OR
full-year,hunt,Age,2010,25-34,participants,43520,OR
full-year,hunt,Age,2011,25-34,participants,43028,OR
full-year,hunt,Age,2012,25-34,participants,42657,OR
full-year,hunt,Age,2013,25-34,participants,43807,OR
full-year,hunt,Age,2014,25-34,participants,44473,OR
full-year,hunt,Age,2015,25-34,participants,45121,OR
full-year,hunt,Age,2016,25-34,participants,45027,OR
full-year,hunt,Age,2017,25-34,participants,44165,OR
full-year,hunt,Age,2018,25-34,participants,42954,OR
full-year,hunt,Age,2009,35-44,participants,51400,OR
full-year,hunt,Age,2010,35-44,participants,46815,OR
full-year,hunt,Age,2011,35-44,participants,45499,OR
full-year,hunt,Age,2012,35-44,participants,44835,OR
full-year,hunt,Age,2013,35-44,participants,45671,OR
full-year,hunt,Age,2014,35-44,participants,45734,OR
full-year,hunt,Age,2015,35-44,participants,46143,OR
full-year,hunt,Age,2016,35-44,participants,46482,OR
full-year,hunt,Age,2017,35-44,participants,45752,OR
full-year,hunt,Age,2018,35-44,participants,46059,OR
full-year,hunt,Age,2009,45-54,participants,58313,OR
full-year,hunt,Age,2010,45-54,participants,53168,OR
full-year,hunt,Age,2011,45-54,participants,51242,OR
full-year,hunt,Age,2012,45-54,participants,49395,OR
full-year,hunt,Age,2013,45-54,participants,48610,OR
