timeframe,group,segment,year,category,metric,value,state
full-year,hunt,All,2009,All,participants,245166,VA
full-year,hunt,All,2010,All,participants,238272,VA
full-year,hunt,All,2011,All,participants,233092,VA
full-year,hunt,All,2012,All,participants,233805,VA
full-year,hunt,All,2013,All,participants,238324,VA
full-year,hunt,All,2014,All,participants,234775,VA
full-year,hunt,All,2015,All,participants,230068,VA
full-year,hunt,All,2016,All,participants,223215,VA
full-year,hunt,All,2017,All,participants,217583,VA
full-year,hunt,All,2018,All,participants,211965,VA
full-year,hunt,Residency,2009,Resident,participants,224713,VA
full-year,hunt,Residency,2010,Resident,participants,218819,VA
full-year,hunt,Residency,2011,Resident,participants,214871,VA
full-year,hunt,Residency,2012,Resident,participants,215844,VA
full-year,hunt,Residency,2013,Resident,participants,220167,VA
full-year,hunt,Residency,2014,Resident,participants,216249,VA
full-year,hunt,Residency,2015,Resident,participants,211365,VA
full-year,hunt,Residency,2016,Resident,participants,204674,VA
full-year,hunt,Residency,2017,Resident,participants,199391,VA
full-year,hunt,Residency,2018,Resident,participants,193396,VA
full-year,hunt,Residency,2009,Nonresident,participants,20453,VA
full-year,hunt,Residency,2010,Nonresident,participants,19453,VA
full-year,hunt,Residency,2011,Nonresident,participants,18221,VA
full-year,hunt,Residency,2012,Nonresident,participants,17961,VA
full-year,hunt,Residency,2013,Nonresident,participants,18157,VA
full-year,hunt,Residency,2014,Nonresident,participants,18526,VA
full-year,hunt,Residency,2015,Nonresident,participants,18703,VA
full-year,hunt,Residency,2016,Nonresident,participants,18541,VA
full-year,hunt,Residency,2017,Nonresident,participants,18192,VA
full-year,hunt,Residency,2018,Nonresident,participants,18569,VA
full-year,hunt,Gender,2009,Male,participants,228318,VA
full-year,hunt,Gender,2010,Male,participants,221299,VA
full-year,hunt,Gender,2011,Male,participants,215879,VA
full-year,hunt,Gender,2012,Male,participants,214758,VA
full-year,hunt,Gender,2013,Male,participants,217976,VA
full-year,hunt,Gender,2014,Male,participants,213478,VA
full-year,hunt,Gender,2015,Male,participants,208568,VA
full-year,hunt,Gender,2016,Male,participants,202010,VA
full-year,hunt,Gender,2017,Male,participants,197209,VA
full-year,hunt,Gender,2018,Male,participants,192050,VA
full-year,hunt,Gender,2009,Female,participants,16848,VA
full-year,hunt,Gender,2010,Female,participants,16973,VA
full-year,hunt,Gender,2011,Female,participants,17213,VA
full-year,hunt,Gender,2012,Female,participants,19047,VA
full-year,hunt,Gender,2013,Female,participants,20348,VA
full-year,hunt,Gender,2014,Female,participants,21297,VA
full-year,hunt,Gender,2015,Female,participants,21500,VA
full-year,hunt,Gender,2016,Female,participants,21205,VA
full-year,hunt,Gender,2017,Female,participants,20374,VA
full-year,hunt,Gender,2018,Female,participants,19915,VA
full-year,hunt,Age,2009,18-24,participants,31515,VA
full-year,hunt,Age,2010,18-24,participants,31466,VA
full-year,hunt,Age,2011,18-24,participants,30783,VA
full-year,hunt,Age,2012,18-24,participants,31856,VA
full-year,hunt,Age,2013,18-24,participants,33269,VA
full-year,hunt,Age,2014,18-24,participants,33171,VA
full-year,hunt,Age,2015,18-24,participants,32221,VA
full-year,hunt,Age,2016,18-24,participants,30993,VA
full-year,hunt,Age,2017,18-24,participants,29412,VA
full-year,hunt,Age,2018,18-24,participants,28496,VA
full-year,hunt,Age,2009,25-34,participants,46290,VA
full-year,hunt,Age,2010,25-34,participants,44461,VA
full-year,hunt,Age,2011,25-34,participants,43665,VA
full-year,hunt,Age,2012,25-34,participants,44928,VA
full-year,hunt,Age,2013,25-34,participants,46913,VA
full-year,hunt,Age,2014,25-34,participants,46856,VA
full-year,hunt,Age,2015,25-34,participants,46398,VA
full-year,hunt,Age,2016,25-34,participants,45250,VA
full-year,hunt,Age,2017,25-34,participants,43274,VA
full-year,hunt,Age,2018,25-34,participants,42119,VA
full-year,hunt,Age,2009,35-44,participants,59073,VA
full-year,hunt,Age,2010,35-44,participants,55244,VA
full-year,hunt,Age,2011,35-44,participants,52712,VA
full-year,hunt,Age,2012,35-44,participants,51033,VA
full-year,hunt,Age,2013,35-44,participants,51183,VA
full-year,hunt,Age,2014,35-44,participants,48969,VA
full-year,hunt,Age,2015,35-44,participants,46667,VA
full-year,hunt,Age,2016,35-44,participants,44239,VA
full-year,hunt,Age,2017,35-44,participants,42880,VA
full-year,hunt,Age,2018,35-44,participants,41702,VA
full-year,hunt,Age,2009,45-54,participants,63284,VA
full-year,hunt,Age,2010,45-54,participants,61794,VA
full-year,hunt,Age,2011,45-54,participants,60484,VA
full-year,hunt,Age,2012,45-54,participants,59906,VA
full-year,hunt,Age,2013,45-54,participants,60047,VA
full-year,hunt,Age,2014,45-54,participants,58483,VA
full-year,hunt,Age,2015,45-54,participants,56646,VA
full-year,hunt,Age,2016,45-54,participants,54648,VA
full-year,hunt,Age,2017,45-54,participants,53028,VA
full-year,hunt,Age,2018,45-54,participants,50488,VA
full-year,hunt,Age,2009,55-64,participants,45004,VA
full-year,hunt,Age,2010,55-64,participants,45307,VA
full-year,hunt,Age,2011,55-64,participants,45448,VA
full-year,hunt,Age,2012,55-64,participants,46081,VA
full-year,hunt,Age,2013,55-64,participants,46913,VA
full-year,hunt,Age,2014,55-64,participants,47295,VA
full-year,hunt,Age,2015,55-64,participants,48136,VA
full-year,hunt,Age,2016,55-64,participants,48084,VA
full-year,hunt,Age,2017,55-64,participants,48988,VA
full-year,hunt,Age,2018,55-64,participants,49160,VA
full-year,hunt,All,2014,All,recruits,39667,VA
full-year,hunt,All,2015,All,recruits,38144,VA
full-year,hunt,All,2016,All,recruits,37935,VA
full-year,hunt,All,2017,All,recruits,33654,VA
full-year,hunt,All,2018,All,recruits,31195,VA
full-year,hunt,Residency,2014,Resident,recruits,32342,VA
full-year,hunt,Residency,2015,Resident,recruits,30632,VA
full-year,hunt,Residency,2016,Resident,recruits,30444,VA
full-year,hunt,Residency,2017,Resident,recruits,26720,VA
full-year,hunt,Residency,2018,Resident,recruits,23891,VA
full-year,hunt,Residency,2014,Nonresident,recruits,7325,VA
full-year,hunt,Residency,2015,Nonresident,recruits,7512,VA
full-year,hunt,Residency,2016,Nonresident,recruits,7491,VA
full-year,hunt,Residency,2017,Nonresident,recruits,6934,VA
full-year,hunt,Residency,2018,Nonresident,recruits,7304,VA
full-year,hunt,Gender,2014,Male,recruits,30949,VA
full-year,hunt,Gender,2015,Male,recruits,29724,VA
full-year,hunt,Gender,2016,Male,recruits,29604,VA
full-year,hunt,Gender,2017,Male,recruits,26420,VA
full-year,hunt,Gender,2018,Male,recruits,24566,VA
full-year,hunt,Gender,2014,Female,recruits,8718,VA
full-year,hunt,Gender,2015,Female,recruits,8420,VA
full-year,hunt,Gender,2016,Female,recruits,8331,VA
full-year,hunt,Gender,2017,Female,recruits,7234,VA
full-year,hunt,Gender,2018,Female,recruits,6629,VA
full-year,hunt,Age,2014,18-24,recruits,8513,VA
full-year,hunt,Age,2015,18-24,recruits,7846,VA
full-year,hunt,Age,2016,18-24,recruits,7496,VA
full-year,hunt,Age,2017,18-24,recruits,6251,VA
full-year,hunt,Age,2018,18-24,recruits,5886,VA
full-year,hunt,Age,2014,25-34,recruits,10801,VA
full-year,hunt,Age,2015,25-34,recruits,10547,VA
full-year,hunt,Age,2016,25-34,recruits,10235,VA
full-year,hunt,Age,2017,25-34,recruits,8860,VA
full-year,hunt,Age,2018,25-34,recruits,8247,VA
full-year,hunt,Age,2014,35-44,recruits,8188,VA
full-year,hunt,Age,2015,35-44,recruits,7725,VA
full-year,hunt,Age,2016,35-44,recruits,7637,VA
full-year,hunt,Age,2017,35-44,recruits,7040,VA
full-year,hunt,Age,2018,35-44,recruits,6538,VA
full-year,hunt,Age,2014,45-54,recruits,7265,VA
full-year,hunt,Age,2015,45-54,recruits,6992,VA
full-year,hunt,Age,2016,45-54,recruits,7251,VA
full-year,hunt,Age,2017,45-54,recruits,6466,VA
full-year,hunt,Age,2018,45-54,recruits,5904,VA
full-year,hunt,Age,2014,55-64,recruits,4899,VA
full-year,hunt,Age,2015,55-64,recruits,5034,VA
full-year,hunt,Age,2016,55-64,recruits,5316,VA
full-year,hunt,Age,2017,55-64,recruits,5036,VA
full-year,hunt,Age,2018,55-64,recruits,4619,VA
full-year,hunt,All,2010,All,churn,0.28059355701851013,VA
full-year,hunt,All,2011,All,churn,0.2785849785119527,VA
full-year,hunt,All,2012,All,churn,0.2782806788735777,VA
full-year,hunt,All,2013,All,churn,0.2783730031436452,VA
full-year,hunt,All,2014,All,churn,0.29224081502492416,VA
full-year,hunt,All,2015,All,churn,0.2956405068682784,VA
full-year,hunt,All,2016,All,churn,0.30820453083436217,VA
full-year,hunt,All,2017,All,churn,0.29140066751786414,VA
full-year,hunt,All,2018,All,churn,0.27723213670185615,VA
full-year,hunt,Residency,2010,Resident,churn,0.2603543186197505,VA
full-year,hunt,Residency,2011,Resident,churn,0.25802146979924034,VA
full-year,hunt,Residency,2012,Resident,churn,0.25887625598614983,VA
