timeframe,group,segment,year,category,metric,value
full-year,hunt,All,2009,All,participants,154502
full-year,hunt,All,2010,All,participants,154265
full-year,hunt,All,2011,All,participants,154303
full-year,hunt,All,2012,All,participants,155810
full-year,hunt,All,2013,All,participants,164727
full-year,hunt,All,2014,All,participants,166112
full-year,hunt,All,2015,All,participants,165757
full-year,hunt,All,2016,All,participants,165779
full-year,hunt,Residency,2009,Resident,participants,147516
full-year,hunt,Residency,2010,Resident,participants,147088
full-year,hunt,Residency,2011,Resident,participants,146927
full-year,hunt,Residency,2012,Resident,participants,148269
full-year,hunt,Residency,2013,Resident,participants,156783
full-year,hunt,Residency,2014,Resident,participants,158213
full-year,hunt,Residency,2015,Resident,participants,158108
full-year,hunt,Residency,2016,Resident,participants,158261
full-year,hunt,Residency,2009,Nonresident,participants,6986
full-year,hunt,Residency,2010,Nonresident,participants,7177
full-year,hunt,Residency,2011,Nonresident,participants,7376
full-year,hunt,Residency,2012,Nonresident,participants,7541
full-year,hunt,Residency,2013,Nonresident,participants,7944
full-year,hunt,Residency,2014,Nonresident,participants,7899
full-year,hunt,Residency,2015,Nonresident,participants,7649
full-year,hunt,Residency,2016,Nonresident,participants,7518
full-year,hunt,Gender,2009,Male,participants,143750
full-year,hunt,Gender,2010,Male,participants,143371
full-year,hunt,Gender,2011,Male,participants,142789
full-year,hunt,Gender,2012,Male,participants,143658
full-year,hunt,Gender,2013,Male,participants,150958
full-year,hunt,Gender,2014,Male,participants,151580
full-year,hunt,Gender,2015,Male,participants,150571
full-year,hunt,Gender,2016,Male,participants,150248
full-year,hunt,Gender,2009,Female,participants,10752
full-year,hunt,Gender,2010,Female,participants,10894
full-year,hunt,Gender,2011,Female,participants,11514
full-year,hunt,Gender,2012,Female,participants,12152
full-year,hunt,Gender,2013,Female,participants,13769
full-year,hunt,Gender,2014,Female,participants,14532
full-year,hunt,Gender,2015,Female,participants,15186
full-year,hunt,Gender,2016,Female,participants,15531
full-year,hunt,Age,2009,18-24,participants,17830
full-year,hunt,Age,2010,18-24,participants,17721
full-year,hunt,Age,2011,18-24,participants,17454
full-year,hunt,Age,2012,18-24,participants,18126
full-year,hunt,Age,2013,18-24,participants,19449
full-year,hunt,Age,2014,18-24,participants,20757
full-year,hunt,Age,2015,18-24,participants,20349
full-year,hunt,Age,2016,18-24,participants,20483
full-year,hunt,Age,2009,25-34,participants,29104
full-year,hunt,Age,2010,25-34,participants,29346
full-year,hunt,Age,2011,25-34,participants,29470
full-year,hunt,Age,2012,25-34,participants,30787
full-year,hunt,Age,2013,25-34,participants,33652
full-year,hunt,Age,2014,25-34,participants,34329
full-year,hunt,Age,2015,25-34,participants,33942
full-year,hunt,Age,2016,25-34,participants,33814
full-year,hunt,Age,2009,35-44,participants,38427
full-year,hunt,Age,2010,35-44,participants,37444
full-year,hunt,Age,2011,35-44,participants,36409
full-year,hunt,Age,2012,35-44,participants,35823
full-year,hunt,Age,2013,35-44,participants,36790
full-year,hunt,Age,2014,35-44,participants,35904
full-year,hunt,Age,2015,35-44,participants,34396
full-year,hunt,Age,2016,35-44,participants,33545
full-year,hunt,Age,2009,45-54,participants,41037
full-year,hunt,Age,2010,45-54,participants,41155
full-year,hunt,Age,2011,45-54,participants,41508
full-year,hunt,Age,2012,45-54,participants,41332
full-year,hunt,Age,2013,45-54,participants,43193
full-year,hunt,Age,2014,45-54,participants,42220
full-year,hunt,Age,2015,45-54,participants,41280
full-year,hunt,Age,2016,45-54,participants,40956
full-year,hunt,Age,2009,55-64,participants,28104
full-year,hunt,Age,2010,55-64,participants,28599
full-year,hunt,Age,2011,55-64,participants,29462
full-year,hunt,Age,2012,55-64,participants,29742
full-year,hunt,Age,2013,55-64,participants,31642
full-year,hunt,Age,2014,55-64,participants,32902
full-year,hunt,Age,2015,55-64,participants,35790
full-year,hunt,Age,2016,55-64,participants,36981
full-year,hunt,All,2014,All,recruits,39562
full-year,hunt,All,2015,All,recruits,37956
full-year,hunt,All,2016,All,recruits,36535
full-year,hunt,Residency,2014,Resident,recruits,34936
full-year,hunt,Residency,2015,Resident,recruits,33537
full-year,hunt,Residency,2016,Resident,recruits,32314
full-year,hunt,Residency,2014,Nonresident,recruits,4626
full-year,hunt,Residency,2015,Nonresident,recruits,4419
full-year,hunt,Residency,2016,Nonresident,recruits,4221
full-year,hunt,Gender,2014,Male,recruits,34017
full-year,hunt,Gender,2015,Male,recruits,32434
full-year,hunt,Gender,2016,Male,recruits,31202
full-year,hunt,Gender,2014,Female,recruits,5545
full-year,hunt,Gender,2015,Female,recruits,5522
full-year,hunt,Gender,2016,Female,recruits,5333
full-year,hunt,Age,2014,18-24,recruits,7664
full-year,hunt,Age,2015,18-24,recruits,5939
full-year,hunt,Age,2016,18-24,recruits,5522
full-year,hunt,Age,2014,25-34,recruits,10143
full-year,hunt,Age,2015,25-34,recruits,9592
full-year,hunt,Age,2016,25-34,recruits,8922
full-year,hunt,Age,2014,35-44,recruits,8190
full-year,hunt,Age,2015,35-44,recruits,7596
full-year,hunt,Age,2016,35-44,recruits,7225
full-year,hunt,Age,2014,45-54,recruits,7436
full-year,hunt,Age,2015,45-54,recruits,7089
full-year,hunt,Age,2016,45-54,recruits,7026
full-year,hunt,Age,2014,55-64,recruits,6129
full-year,hunt,Age,2015,55-64,recruits,7741
full-year,hunt,Age,2016,55-64,recruits,7839
full-year,hunt,All,2010,All,churn,0.4061759718320798
full-year,hunt,All,2011,All,churn,0.41154506855087025
full-year,hunt,All,2012,All,churn,0.4182225880248602
full-year,hunt,All,2013,All,churn,0.4049611706565689
full-year,hunt,All,2014,All,churn,0.4160398720306932
full-year,hunt,All,2015,All,churn,0.4111804083991523
full-year,hunt,All,2016,All,churn,0.3998021199708006
full-year,hunt,Residency,2010,Resident,churn,0.39304888961197426
full-year,hunt,Residency,2011,Resident,churn,0.39809501794843904
full-year,hunt,Residency,2012,Resident,churn,0.4038127777739966
full-year,hunt,Residency,2013,Resident,churn,0.3894543026526111
full-year,hunt,Residency,2014,Resident,churn,0.4011978339488337
full-year,hunt,Residency,2015,Resident,churn,0.39606100636483726
full-year,hunt,Residency,2016,Resident,churn,0.3848063114972076
full-year,hunt,Residency,2010,Nonresident,churn,0.6833667334669339
full-year,hunt,Residency,2011,Nonresident,churn,0.6871952069109656
full-year,hunt,Residency,2012,Nonresident,churn,0.7052603036876356
full-year,hunt,Residency,2013,Nonresident,churn,0.709852804667816
full-year,hunt,Residency,2014,Nonresident,churn,0.7089627391742196
full-year,hunt,Residency,2015,Nonresident,churn,0.7140144322066084
full-year,hunt,Residency,2016,Nonresident,churn,0.6959822012825546
full-year,hunt,Gender,2010,Male,churn,0.39833987364671175
full-year,hunt,Gender,2011,Male,churn,0.4034197932218052
full-year,hunt,Gender,2012,Male,churn,0.40963028341669117
full-year,hunt,Gender,2013,Male,churn,0.3958001155803736
full-year,hunt,Gender,2014,Male,churn,0.40562818465534495
full-year,hunt,Gender,2015,Male,churn,0.40111122842210845
full-year,hunt,Gender,2016,Male,churn,0.3887678512122219
full-year,hunt,Gender,2010,Female,churn,0.5097674418604651
full-year,hunt,Gender,2011,Female,churn,0.5173521850899743
full-year,hunt,Gender,2012,Female,churn,0.5231931897150799
full-year,hunt,Gender,2013,Female,churn,0.5120586056465553
full-year,hunt,Gender,2014,Female,churn,0.5288775880857247
full-year,hunt,Gender,2015,Female,churn,0.5149700598802395
full-year,hunt,Gender,2016,Female,churn,0.508627502634352
