timeframe,group,segment,year,category,metric,value
mid-year,hunt,All,2009,All,participants,38605
mid-year,hunt,All,2010,All,participants,39421
mid-year,hunt,All,2011,All,participants,40155
mid-year,hunt,All,2012,All,participants,40720
mid-year,hunt,All,2013,All,participants,44812
mid-year,hunt,All,2014,All,participants,45243
mid-year,hunt,All,2015,All,participants,47809
mid-year,hunt,All,2016,All,participants,49180
mid-year,hunt,All,2017,All,participants,50203
mid-year,hunt,Residency,2009,Resident,participants,35116
mid-year,hunt,Residency,2010,Resident,participants,35920
mid-year,hunt,Residency,2011,Resident,participants,36691
mid-year,hunt,Residency,2012,Resident,participants,37248
mid-year,hunt,Residency,2013,Resident,participants,41141
mid-year,hunt,Residency,2014,Resident,participants,41369
mid-year,hunt,Residency,2015,Resident,participants,43848
mid-year,hunt,Residency,2016,Resident,participants,44950
mid-year,hunt,Residency,2017,Resident,participants,46142
mid-year,hunt,Residency,2009,Nonresident,participants,3489
mid-year,hunt,Residency,2010,Nonresident,participants,3501
mid-year,hunt,Residency,2011,Nonresident,participants,3464
mid-year,hunt,Residency,2012,Nonresident,participants,3472
mid-year,hunt,Residency,2013,Nonresident,participants,3671
mid-year,hunt,Residency,2014,Nonresident,participants,3874
mid-year,hunt,Residency,2015,Nonresident,participants,3961
mid-year,hunt,Residency,2016,Nonresident,participants,4230
mid-year,hunt,Residency,2017,Nonresident,participants,4061
mid-year,hunt,Gender,2009,Male,participants,36017
mid-year,hunt,Gender,2010,Male,participants,36794
mid-year,hunt,Gender,2011,Male,participants,37325
mid-year,hunt,Gender,2012,Male,participants,37834
mid-year,hunt,Gender,2013,Male,participants,41341
mid-year,hunt,Gender,2014,Male,participants,41571
mid-year,hunt,Gender,2015,Male,participants,43691
mid-year,hunt,Gender,2016,Male,participants,44808
mid-year,hunt,Gender,2017,Male,participants,45520
mid-year,hunt,Gender,2009,Female,participants,2588
mid-year,hunt,Gender,2010,Female,participants,2627
mid-year,hunt,Gender,2011,Female,participants,2830
mid-year,hunt,Gender,2012,Female,participants,2886
mid-year,hunt,Gender,2013,Female,participants,3471
mid-year,hunt,Gender,2014,Female,participants,3672
mid-year,hunt,Gender,2015,Female,participants,4118
mid-year,hunt,Gender,2016,Female,participants,4372
mid-year,hunt,Gender,2017,Female,participants,4683
mid-year,hunt,Age,2009,18-24,participants,3203
mid-year,hunt,Age,2010,18-24,participants,3332
mid-year,hunt,Age,2011,18-24,participants,3344
mid-year,hunt,Age,2012,18-24,participants,3514
mid-year,hunt,Age,2013,18-24,participants,4111
mid-year,hunt,Age,2014,18-24,participants,4252
mid-year,hunt,Age,2015,18-24,participants,4260
mid-year,hunt,Age,2016,18-24,participants,4342
mid-year,hunt,Age,2017,18-24,participants,4246
mid-year,hunt,Age,2009,25-34,participants,6316
mid-year,hunt,Age,2010,25-34,participants,6909
mid-year,hunt,Age,2011,25-34,participants,6937
mid-year,hunt,Age,2012,25-34,participants,7253
mid-year,hunt,Age,2013,25-34,participants,8586
mid-year,hunt,Age,2014,25-34,participants,9016
mid-year,hunt,Age,2015,25-34,participants,9295
mid-year,hunt,Age,2016,25-34,participants,9607
mid-year,hunt,Age,2017,25-34,participants,9847
mid-year,hunt,Age,2009,35-44,participants,9626
