timeframe,group,category,year,metric,value,segment
Mid-year,all_sports,All,2009,Participants,524249,All
Mid-year,all_sports,All,2010,Participants,635498,All
Mid-year,all_sports,All,2011,Participants,722658,All
Mid-year,all_sports,All,2012,Participants,730908,All
Mid-year,all_sports,All,2013,Participants,772300,All
Mid-year,all_sports,All,2014,Participants,790769,All
Mid-year,all_sports,All,2014,Recruits,282120,All
Mid-year,all_sports,All,2015,Participants,871766,All
Mid-year,all_sports,All,2015,Recruits,311053,All
Mid-year,all_sports,All,2016,Participants,839522,All
Mid-year,all_sports,All,2016,Recruits,286098,All
Mid-year,all_sports,All,2017,Participants,856731,All
Mid-year,all_sports,All,2017,Recruits,279675,All
Mid-year,fish,All,2009,Participants,510947,All
Mid-year,fish,All,2010,Participants,622060,All
Mid-year,fish,All,2011,Participants,710492,All
Mid-year,fish,All,2012,Participants,718919,All
Mid-year,fish,All,2013,Participants,760331,All
Mid-year,fish,All,2014,Participants,778689,All
Mid-year,fish,All,2014,Recruits,282526,All
Mid-year,fish,All,2015,Participants,861011,All
Mid-year,fish,All,2015,Recruits,312283,All
Mid-year,fish,All,2016,Participants,828642,All
Mid-year,fish,All,2016,Recruits,286372,All
Mid-year,fish,All,2017,Participants,846044,All
Mid-year,fish,All,2017,Recruits,279940,All
Mid-year,hunt,All,2009,Participants,71708,All
Mid-year,hunt,All,2010,Participants,71936,All
Mid-year,hunt,All,2011,Participants,71748,All
Mid-year,hunt,All,2012,Participants,70656,All
Mid-year,hunt,All,2013,Participants,76137,All
Mid-year,hunt,All,2014,Participants,75146,All
Mid-year,hunt,All,2014,Recruits,20461,All
Mid-year,hunt,All,2015,Participants,113186,All
Mid-year,hunt,All,2015,Recruits,55775,All
Mid-year,hunt,All,2016,Participants,84250,All
Mid-year,hunt,All,2016,Recruits,25484,All
Mid-year,hunt,All,2017,Participants,83491,All
Mid-year,hunt,All,2017,Recruits,24404,All
Mid-year,all_sports,18-24,2009,Participants,53653.116232080414,Age
Mid-year,all_sports,18-24,2010,Participants,66439.55752919226,Age
Mid-year,all_sports,18-24,2011,Participants,80986.94589487607,Age
Mid-year,all_sports,18-24,2012,Participants,83246.7186524537,Age
Mid-year,all_sports,18-24,2013,Participants,91905.52279356433,Age
Mid-year,all_sports,18-24,2014,Participants,94111.15988459808,Age
Mid-year,all_sports,18-24,2014,Recruits,46643.79018463135,Age
Mid-year,all_sports,18-24,2015,Participants,95205.70289928446,Age
Mid-year,all_sports,18-24,2015,Recruits,46241.32455967677,Age
Mid-year,all_sports,18-24,2016,Participants,94459.2175259064,Age
Mid-year,all_sports,18-24,2016,Recruits,45142.53562552231,Age
Mid-year,all_sports,18-24,2017,Participants,94353.92770306948,Age
Mid-year,all_sports,18-24,2017,Recruits,43544.61226928695,Age
Mid-year,all_sports,25-34,2009,Participants,96215.74576214772,Age
Mid-year,all_sports,25-34,2010,Participants,118458.07007110913,Age
Mid-year,all_sports,25-34,2011,Participants,138437.2255105459,Age
Mid-year,all_sports,25-34,2012,Participants,141387.39965639505,Age
Mid-year,all_sports,25-34,2013,Participants,153037.44891493637,Age
Mid-year,all_sports,25-34,2014,Participants,160077.29781900955,Age
Mid-year,all_sports,25-34,2014,Recruits,64120.68202134351,Age
Mid-year,all_sports,25-34,2015,Participants,170762.66538409612,Age
Mid-year,all_sports,25-34,2015,Recruits,66862.44175788978,Age
Mid-year,all_sports,25-34,2016,Participants,172345.92196659045,Age
Mid-year,all_sports,25-34,2016,Recruits,66698.96321861535,Age
Mid-year,all_sports,25-34,2017,Participants,173137.75034173904,Age
Mid-year,all_sports,25-34,2017,Recruits,63842.805570309385,Age
Mid-year,all_sports,35-44,2009,Participants,119085.4481413753,Age
Mid-year,all_sports,35-44,2010,Participants,141088.88701765277,Age
Mid-year,all_sports,35-44,2011,Participants,157819.38881079238,Age
Mid-year,all_sports,35-44,2012,Participants,156753.55977857835,Age
Mid-year,all_sports,35-44,2013,Participants,161745.53997841087,Age
Mid-year,all_sports,35-44,2014,Participants,163884.52581985653,Age
Mid-year,all_sports,35-44,2014,Recruits,57523.25913500271,Age
Mid-year,all_sports,35-44,2015,Participants,173904.6984271635,Age
Mid-year,all_sports,35-44,2015,Recruits,60130.22297254465,Age
Mid-year,all_sports,35-44,2016,Participants,169563.65218383912,Age
Mid-year,all_sports,35-44,2016,Recruits,57707.716927685346,Age
Mid-year,all_sports,35-44,2017,Participants,173870.22490623765,Age
Mid-year,all_sports,35-44,2017,Recruits,57110.78293055371,Age
Mid-year,all_sports,45-54,2009,Participants,139142.75500338714,Age
Mid-year,all_sports,45-54,2010,Participants,169140.82497259436,Age
Mid-year,all_sports,45-54,2011,Participants,188067.81189465275,Age
Mid-year,all_sports,45-54,2012,Participants,187582.6337732065,Age
Mid-year,all_sports,45-54,2013,Participants,195299.75762881542,Age
Mid-year,all_sports,45-54,2014,Participants,196688.64041978773,Age
Mid-year,all_sports,45-54,2014,Recruits,61681.8045975743,Age
Mid-year,all_sports,45-54,2015,Participants,217499.09334075873,Age
Mid-year,all_sports,45-54,2015,Recruits,69114.47116504239,Age
Mid-year,all_sports,45-54,2016,Participants,205611.00065604862,Age
Mid-year,all_sports,45-54,2016,Recruits,61576.63354279946,Age
Mid-year,all_sports,45-54,2017,Participants,208798.58631810106,Age
Mid-year,all_sports,45-54,2017,Recruits,60552.098824857254,Age
Mid-year,all_sports,55-64,2009,Participants,116151.93486100942,Age
Mid-year,all_sports,55-64,2010,Participants,140370.66040945146,Age
Mid-year,all_sports,55-64,2011,Participants,157346.62788913288,Age
Mid-year,all_sports,55-64,2012,Participants,161937.6881393664,Age
Mid-year,all_sports,55-64,2013,Participants,170311.73068427303,Age
Mid-year,all_sports,55-64,2014,Participants,176007.3760567481,Age
Mid-year,all_sports,55-64,2014,Recruits,52150.46406144814,Age
Mid-year,all_sports,55-64,2015,Participants,214393.8399486972,Age
Mid-year,all_sports,55-64,2015,Recruits,68704.53954484641,Age
Mid-year,all_sports,55-64,2016,Participants,197542.2076676154,Age
Mid-year,all_sports,55-64,2016,Recruits,54972.15068537753,Age
Mid-year,all_sports,55-64,2017,Participants,206570.51073085275,Age
Mid-year,all_sports,55-64,2017,Recruits,54624.7004049927,Age
