"","region","state","timeframe","group","metric","segment","year","category","value","aggregation","states_included"
"1","Southeast","FL","full-year","all_sports","churn","age",2010,"18-24",0.62674104211,"NONE",NA
"2","Southeast","FL","full-year","all_sports","churn","age",2011,"18-24",0.63597336081,"NONE",NA
"3","Southeast","FL","full-year","all_sports","churn","age",2012,"18-24",0.64712405444,"NONE",NA
"4","Southeast","FL","full-year","all_sports","churn","age",2013,"18-24",0.63438616826,"NONE",NA
"5","Southeast","FL","full-year","all_sports","churn","age",2014,"18-24",0.64992276049,"NONE",NA
"6","Southeast","FL","full-year","all_sports","churn","age",2015,"18-24",0.64392660137,"NONE",NA
"7","Southeast","FL","full-year","all_sports","churn","age",2016,"18-24",0.64539244016,"NONE",NA
"8","Southeast","FL","full-year","all_sports","churn","age",2017,"18-24",0.63391217373,"NONE",NA
"9","Southeast","FL","full-year","all_sports","churn","age",2018,"18-24",0.630069902,"NONE",NA
"10","Southeast","FL","full-year","all_sports","participants","age",2010,"18-24",137300.850567659,"NONE",NA
"11","Southeast","FL","full-year","all_sports","participants","age",2011,"18-24",156133.467025906,"NONE",NA
"12","Southeast","FL","full-year","all_sports","participants","age",2012,"18-24",160680.10699465,"NONE",NA
"13","Southeast","FL","full-year","all_sports","participants","age",2013,"18-24",179290.515848223,"NONE",NA
"14","Southeast","FL","full-year","all_sports","participants","age",2014,"18-24",184641.447167135,"NONE",NA
"15","Southeast","FL","full-year","all_sports","participants","age",2015,"18-24",187215.834458978,"NONE",NA
"16","Southeast","FL","full-year","all_sports","participants","age",2016,"18-24",185103.284262993,"NONE",NA
"17","Southeast","FL","full-year","all_sports","participants","age",2017,"18-24",182448.979909478,"NONE",NA
"18","Southeast","FL","full-year","all_sports","participants","age",2018,"18-24",175272.09463795,"NONE",NA
"19","Southeast","FL","full-year","all_sports","participants - recruited","age",2014,"18-24",88456.3263519303,"NONE",NA
"20","Southeast","FL","full-year","all_sports","participants - recruited","age",2015,"18-24",86618.6405542208,"NONE",NA
"21","Southeast","FL","full-year","all_sports","participants - recruited","age",2016,"18-24",83606.0614002771,"NONE",NA
"22","Southeast","FL","full-year","all_sports","participants - recruited","age",2017,"18-24",80039.5883628066,"NONE",NA
"23","Southeast","FL","full-year","all_sports","participants - recruited","age",2018,"18-24",75473.9246140745,"NONE",NA
"24","Southeast","FL","full-year","fish","churn","age",2010,"18-24",0.66323939972,"NONE",NA
"25","Southeast","FL","full-year","fish","churn","age",2011,"18-24",0.66586881798,"NONE",NA
"26","Southeast","FL","full-year","fish","churn","age",2012,"18-24",0.67388122771,"NONE",NA
"27","Southeast","FL","full-year","fish","churn","age",2013,"18-24",0.65918235957,"NONE",NA
"28","Southeast","FL","full-year","fish","churn","age",2014,"18-24",0.67257827275,"NONE",NA
