region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Southeast,FL,full-year,all_sports,churn,age,2010,18-24,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2011,18-24,-0.024734352665477886,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2012,18-24,-0.030631531952748092,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2013,18-24,0.03609734905502123,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2014,18-24,-0.04249454173016233,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2015,18-24,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2016,18-24,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2017,18-24,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2018,18-24,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2010,25-34,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2011,25-34,-0.016279125530570985,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2012,25-34,-0.02769980914442298,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2013,25-34,0.03575022484780397,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2014,25-34,-0.03272096916041325,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2015,25-34,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2016,25-34,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2017,25-34,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2018,25-34,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2010,35-44,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2011,35-44,-0.011017660096780867,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2012,35-44,-0.023980195277101015,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2013,35-44,0.02824287778014067,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2014,35-44,-0.031746451783942864,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2015,35-44,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2016,35-44,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2017,35-44,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2018,35-44,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2010,45-54,0,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2011,45-54,-0.010798988936434578,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2012,45-54,-0.023383470248806673,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2013,45-54,0.0356129582480532,NONE,pct_change_yr,NA
Southeast,FL,full-year,all_sports,churn,age,2014,45-54,-0.02515487646097347,NONE,pct_change_yr,NA
