region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Southeast,FL,full-year,all_sports,churn,age,2010,18-24,0.37325895789,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2011,18-24,0.36402663919,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2012,18-24,0.35287594556,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2013,18-24,0.36561383174,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2014,18-24,0.35007723951,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2010,25-34,0.41264950979,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2011,25-34,0.40593193662,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2012,25-34,0.39468769945,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2013,25-34,0.40879787344999996,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2014,25-34,0.39542161084,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2010,35-44,0.46774777354999997,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2011,35-44,0.46259428757000004,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2012,35-44,0.45150118622,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2013,35-44,0.46425287904,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2014,35-44,0.4495144974,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2010,45-54,0.5023514221500001,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2011,45-54,0.49692653470000003,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2012,45-54,0.48530666786,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2013,45-54,0.50258987396,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2014,45-54,0.48994728776999996,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2010,55-64,0.50957307389,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2011,55-64,0.5065537894500001,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2012,55-64,0.49451655238000003,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2013,55-64,0.51305317377,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2014,55-64,0.50290467885,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,all,2010,all,0.46444181383999994,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,all,2011,all,0.45973177747,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,all,2012,all,0.44777374989,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,all,2013,all,0.46378217524,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,all,2014,all,0.45074937886,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2010,female,0.38041940253,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2011,female,0.38761598999,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2012,female,0.37383741547,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2013,female,0.39188377517,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2014,female,0.38247555564,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2010,male,0.488710057,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2011,male,0.48010273357000005,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2012,male,0.47022677658,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2013,male,0.48569803514,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2014,male,0.47171728014000003,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2010,nonresident,0.40964213386,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2011,nonresident,0.36580949295000004,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2012,nonresident,0.35973035747,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2013,nonresident,0.3612230101,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2014,nonresident,0.33094739828999997,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2010,resident,0.47387808415000005,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2011,resident,0.48890883899000004,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2012,resident,0.47599123179,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2013,resident,0.49878101671999997,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2014,resident,0.49683662043,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,all,2009,all,1122681,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,all,2010,all,1262832,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,all,2011,all,1380101,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,all,2012,all,1403991,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,all,2013,all,1522194,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,all,2014,all,1569365,NONE,total,NA
Southeast,FL,full-year,all_sports,participants - recruited,all,2014,all,522148,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2010,18-24,0.33676060028000004,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2011,18-24,0.33413118202,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2012,18-24,0.32611877229,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2013,18-24,0.34081764043,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2014,18-24,0.32742172725,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2010,25-34,0.38234265278,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2011,25-34,0.38095194636999996,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2012,25-34,0.37212187497000004,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2013,25-34,0.3881007487,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2014,25-34,0.37652305055,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2010,35-44,0.44069491157,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2011,35-44,0.43924646543999996,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2012,35-44,0.43148578688,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2013,35-44,0.44644918506000003,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2014,35-44,0.43325171661,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2010,45-54,0.48500842302,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2011,45-54,0.4815327865,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2012,45-54,0.47124259191,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2013,45-54,0.49008622183999995,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2014,45-54,0.47838400216,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2010,55-64,0.49915565443,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2011,55-64,0.49728611128,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2012,55-64,0.48616014178,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2013,55-64,0.5055661839,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2014,55-64,0.4964352,NONE,total,NA
Southeast,FL,full-year,fish,churn,all,2010,all,0.44199092429,NONE,total,NA
Southeast,FL,full-year,fish,churn,all,2011,all,0.44058531156999997,NONE,total,NA
Southeast,FL,full-year,fish,churn,all,2012,all,0.43063573645,NONE,total,NA
Southeast,FL,full-year,fish,churn,all,2013,all,0.44843483645,NONE,total,NA
Southeast,FL,full-year,fish,churn,all,2014,all,0.43688406659,NONE,total,NA
Southeast,FL,full-year,fish,churn,gender,2010,female,0.37235273648000006,NONE,total,NA
Southeast,FL,full-year,fish,churn,gender,2011,female,0.38040121483,NONE,total,NA
Southeast,FL,full-year,fish,churn,gender,2012,female,0.36709998486000006,NONE,total,NA
Southeast,FL,full-year,fish,churn,gender,2013,female,0.38547309833,NONE,total,NA
Southeast,FL,full-year,fish,churn,gender,2014,female,0.37638235236,NONE,total,NA
Southeast,FL,full-year,fish,churn,gender,2010,male,0.46278674956000004,NONE,total,NA
