region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Southeast,GA,full-year,all_sports,churn,age,2010,18-24,0,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2011,18-24,0,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2012,18-24,-0.01175866245586517,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2013,18-24,-0.02756677279122327,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2014,18-24,-0.03629911552808203,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2015,18-24,-0.031463211311700386,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2016,18-24,-0.08024521609468449,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2017,18-24,-0.08024521609468449,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2018,18-24,-0.08024521609468449,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2010,25-34,0,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2011,25-34,0,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2012,25-34,0.004968535199119459,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2013,25-34,-0.023353474422945063,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2014,25-34,-0.026709182340564304,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2015,25-34,-0.02582161437623978,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2016,25-34,-0.06783949026994164,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2017,25-34,-0.06783949026994164,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2018,25-34,-0.06783949026994164,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2010,35-44,0,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2011,35-44,0,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2012,35-44,0.006794919143471752,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2013,35-44,-0.014912998838311327,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2014,35-44,-0.03056965005670686,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2015,35-44,-0.03306394060114993,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2016,35-44,-0.0779934104000653,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2017,35-44,-0.0779934104000653,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2018,35-44,-0.0779934104000653,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2010,45-54,0,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2011,45-54,0,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2012,45-54,1.8547348868618726e-4,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2013,45-54,-0.03244434184822502,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2014,45-54,-0.05061886744622745,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2015,45-54,-0.06441535863373017,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2016,45-54,-0.11669964998125039,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2017,45-54,-0.11669964998125039,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2018,45-54,-0.11669964998125039,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2010,55-64,0,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2011,55-64,0,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2012,55-64,-0.005910916115949318,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2013,55-64,-0.07323430953805339,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2014,55-64,-0.09851577802968753,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2015,55-64,-0.13608216444385288,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2016,55-64,-0.18799018689926206,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2017,55-64,-0.18799018689926206,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,age,2018,55-64,-0.18799018689926206,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,all,2010,all,0,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,all,2011,all,0,NONE,pct_change_all,NA
Southeast,GA,full-year,all_sports,churn,all,2012,all,4.7032663967980074e-4,NONE,pct_change_all,NA
