region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Midwest,IA,full-year,hunt,participants,all,2009,all,188467,NONE,total,NA
Midwest,IA,full-year,hunt,participants,all,2010,all,180988,NONE,total,NA
Midwest,IA,full-year,hunt,participants,all,2011,all,177257,NONE,total,NA
Midwest,IA,full-year,hunt,participants,all,2012,all,178784,NONE,total,NA
Midwest,IA,full-year,hunt,participants,all,2013,all,176870,NONE,total,NA
Midwest,IA,full-year,hunt,participants,all,2014,all,178386,NONE,total,NA
Midwest,IA,full-year,hunt,participants,all,2015,all,179088,NONE,total,NA
Midwest,IA,full-year,hunt,participants,all,2016,all,177421,NONE,total,NA
Midwest,IA,full-year,hunt,participants,all,2017,all,173812,NONE,total,NA
Midwest,IA,full-year,hunt,participants,all,2018,all,170111,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2009,resident,174006,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2010,resident,167372,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2011,resident,164624,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2012,resident,166249,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2013,resident,164719,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2014,resident,166413,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2015,resident,166397,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2016,resident,164539,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2017,resident,160674,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2018,resident,156519,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2009,nonresident,14461,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2010,nonresident,13616,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2011,nonresident,12633,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2012,nonresident,12535,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2013,nonresident,12151,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2014,nonresident,11973,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2015,nonresident,12691,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2016,nonresident,12882,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2017,nonresident,13138,NONE,total,NA
Midwest,IA,full-year,hunt,participants,residency,2018,nonresident,13592,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2009,male,178550,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2010,male,171439,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2011,male,167436,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2012,male,167964,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2013,male,165503,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2014,male,166255,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2015,male,166182,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2016,male,164105,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2017,male,160543,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2018,male,157130,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2009,female,9917,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2010,female,9549,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2011,female,9821,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2012,female,10820,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2013,female,11367,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2014,female,12131,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2015,female,12906,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2016,female,13316,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2017,female,13269,NONE,total,NA
Midwest,IA,full-year,hunt,participants,gender,2018,female,12981,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2009,18-24,25884,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2010,18-24,24109,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2011,18-24,23841,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2012,18-24,24450,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2013,18-24,24890,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2014,18-24,25259,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2015,18-24,25030,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2016,18-24,24510,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2017,18-24,23681,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2018,18-24,22838,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2009,25-34,39414,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2010,25-34,37854,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2011,25-34,37298,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2012,25-34,37988,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2013,25-34,38357,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2014,25-34,39247,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2015,25-34,39574,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2016,25-34,39509,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2017,25-34,38363,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2018,25-34,37548,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2009,35-44,42598,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2010,35-44,39824,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2011,35-44,37947,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2012,35-44,37806,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2013,35-44,36812,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2014,35-44,36656,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2015,35-44,36365,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2016,35-44,36146,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2017,35-44,36152,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2018,35-44,36088,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2009,45-54,48558,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2010,45-54,46544,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2011,45-54,45054,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2012,45-54,44425,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2013,45-54,42546,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2014,45-54,41829,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2015,45-54,41273,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2016,45-54,39856,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2017,45-54,38281,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2018,45-54,36296,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2009,55-64,32012,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2010,55-64,32656,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2011,55-64,33116,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2012,55-64,34114,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2013,55-64,34264,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2014,55-64,35394,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2015,55-64,36845,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2016,55-64,37398,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2017,55-64,37334,NONE,total,NA
Midwest,IA,full-year,hunt,participants,age,2018,55-64,37342,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,all,2014,all,15972,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,all,2015,all,16117,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,all,2016,all,15508,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,all,2017,all,14625,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,all,2018,all,13913,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,residency,2014,resident,12754,NONE,total,NA
