region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Midwest,MO,full-year,all_sports,churn,age,2010,18-24,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2011,18-24,0.007044046548768786,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2012,18-24,-0.06521247715226164,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2013,18-24,0.05723906669932583,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2014,18-24,-0.023909291364038417,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2015,18-24,0.04595304524497593,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2016,18-24,-0.009558656854179089,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2017,18-24,0.05061343352919876,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2018,18-24,-0.013879755996294452,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2010,25-34,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2011,25-34,0.009755166240741547,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2012,25-34,-0.06930392271576909,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2013,25-34,0.06402029381412903,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2014,25-34,-0.032773908865419935,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2015,25-34,0.05047227316169983,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2016,25-34,-0.008139478466564752,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2017,25-34,0.04765726109082406,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2018,25-34,-0.018962885772575468,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2010,35-44,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2011,35-44,0.011882463493928934,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2012,35-44,-0.06544619610341058,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2013,35-44,0.06171905301799305,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2014,35-44,-0.02938289256438704,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2015,35-44,0.04885232074778221,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2016,35-44,-0.015220838777990759,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2017,35-44,0.04295193404888085,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2018,35-44,-0.0016298318114717563,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2010,45-54,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2011,45-54,0.014008568848477945,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2012,45-54,-0.07744320630952517,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2013,45-54,0.06896904241641613,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2014,45-54,-0.027183061128522267,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2015,45-54,0.0422484451965272,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2016,45-54,-0.0023417131927883006,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2017,45-54,0.042225682418057825,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2018,45-54,-0.006517064633544837,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2010,55-64,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2011,55-64,0.008319885264098336,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2012,55-64,-0.08029312468129486,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2013,55-64,0.06251029608546115,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2014,55-64,-0.04496786540193453,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2015,55-64,0.04078056202144373,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2016,55-64,-0.015568940690765361,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2017,55-64,0.03911548110628706,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,age,2018,55-64,-0.010570732454469838,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,all,2010,all,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,all,2011,all,0.010039685434885273,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,all,2012,all,-0.07122477424844235,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,all,2013,all,0.06481584931196364,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,all,2014,all,-0.031062667317470996,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,all,2015,all,0.04639754097871095,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,all,2016,all,-0.010972935595032781,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,all,2017,all,0.04374961616164012,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,all,2018,all,-0.011888358257494205,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2010,female,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2011,female,0.013280986343248917,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2012,female,-0.07583053080978261,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2013,female,0.07496383385897842,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2014,female,-0.05107570802181183,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2015,female,0.05649219148962618,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2016,female,-0.02387884823492499,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2017,female,0.075663592144247,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2018,female,-0.009121715683941496,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2010,male,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2011,male,0.014231361932467495,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2012,male,-0.06738169347632703,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2013,male,0.07189492214464346,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2014,male,-0.03270444591003501,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2015,male,0.0479504698673282,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2016,male,-0.005432875078243951,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2017,male,0.17025002151838478,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,gender,2018,male,-0.006479769106841877,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2010,nonresident,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2011,nonresident,0.005208122415891971,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2012,nonresident,-0.032211474369628186,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2013,nonresident,0.01794432507029276,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2014,nonresident,-0.011484645318877424,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2015,nonresident,7.477353399036143e-4,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2016,nonresident,-0.005700218436076714,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2017,nonresident,0.0034001604117967757,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2018,nonresident,-0.01907677207364852,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2010,resident,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2011,resident,0.015455087891865204,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2012,resident,-0.08241602741131195,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2013,resident,0.09033417657068865,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2014,resident,-0.04798386026204463,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2015,resident,0.06512841704539557,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2016,resident,-0.02129142544887296,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2017,resident,0.06175747205643281,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,churn,residency,2018,resident,-0.011472789913991987,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2009,18-24,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2010,18-24,-0.026077293307603937,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2011,18-24,-0.029250316094612514,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2012,18-24,0.0677605349683117,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2013,18-24,-0.010599050920072,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2014,18-24,0.024477338164650694,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2015,18-24,-0.03594150150062006,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2016,18-24,-0.004064576530495741,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2017,18-24,-0.05009744354006649,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2018,18-24,-0.055008447984552254,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2009,25-34,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2010,25-34,-0.0203931373905481,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2011,25-34,-0.027193624051047947,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2012,25-34,0.04971118047849669,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2013,25-34,-0.009983155586071992,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2014,25-34,0.023360942021754316,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2015,25-34,-0.027147468089048377,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2016,25-34,9.572303467078292e-4,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2017,25-34,-0.0444511202903993,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2018,25-34,-0.04536618338250012,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2009,35-44,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2010,35-44,-0.05391033495776782,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2011,35-44,-0.05475774997404729,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2012,35-44,0.03616367002416141,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2013,35-44,-0.020577502536226398,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2014,35-44,0.011373240162430688,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2015,35-44,-0.02944578337808712,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2016,35-44,0.005990130197396052,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2017,35-44,-0.014419087678281609,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2018,35-44,-0.020687500661872943,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2009,45-54,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2010,45-54,-0.0343413737355819,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2011,45-54,-0.05529369032360419,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2012,45-54,0.00926740234314579,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2013,45-54,-0.039846917775228356,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2014,45-54,-0.011040980690825177,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2015,45-54,-0.04213453353193177,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2016,45-54,-0.016219260913940187,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2017,45-54,-0.0495236044571244,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2018,45-54,-0.05956947283333419,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2009,55-64,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2010,55-64,0.007215063974691084,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2011,55-64,-0.012948757287511506,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2012,55-64,0.047076710904117025,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2013,55-64,5.344043011449208e-4,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2014,55-64,0.035775173723509864,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2015,55-64,0.00549527822775975,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2016,55-64,0.029429438763352293,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2017,55-64,-0.0027979206819680053,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,age,2018,55-64,-0.007266745053314695,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,all,2009,all,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,all,2010,all,-0.027026666803366926,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,all,2011,all,-0.037749905427661906,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,all,2012,all,0.0388300714861408,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,all,2013,all,-0.017417511118513498,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,all,2014,all,0.015399304810539416,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,all,2015,all,-0.025701709714160137,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,all,2016,all,0.0033725605868038535,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,all,2017,all,-0.031205350291486265,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,all,2018,all,-0.03615968584927236,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2009,female,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2010,female,-0.030879089916528723,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2011,female,-0.0421251078907918,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2012,female,0.08603935368519898,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2013,female,-0.019297027497936672,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2014,female,0.04620625166978359,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2015,female,-0.03362317360197824,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2016,female,-0.005320249981282233,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2017,female,-0.042798506967044354,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2018,female,-0.03358265913600977,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2009,male,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2010,male,-0.025857160804355902,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2011,male,-0.03642854300919631,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2012,male,0.02465660582606108,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2013,male,-0.01681942738353964,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2014,male,0.005620883624954066,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2015,male,-0.023085885509411583,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2016,male,0.00621213625266332,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2017,male,-0.027461756997693768,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,gender,2018,male,-0.03697872102698904,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2009,nonresident,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2010,nonresident,-0.036395088528593716,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2011,nonresident,-0.06638741243971981,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2012,nonresident,0.0345863338737448,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2013,nonresident,0.00923822596907229,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2014,nonresident,0.03263060970252102,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2015,nonresident,0.0014045516799254013,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2016,nonresident,0.014281889818770151,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2017,nonresident,-0.01938260270828552,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2018,nonresident,-0.020034873787316707,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2009,resident,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2010,resident,-0.024951219695470633,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2011,resident,-0.03148011380056644,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2012,resident,0.03972569312747498,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2013,resident,-0.023015276766228613,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2014,resident,0.01166122902460582,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2015,resident,-0.031703895654732486,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2016,resident,8.742913042667015e-4,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2017,resident,-0.03394906375419786,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participants,residency,2018,resident,-0.039958207153027704,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participation rate,age,2009,18-24,0,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participation rate,age,2010,18-24,-0.03174412976443487,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participation rate,age,2011,18-24,-0.027354876997195465,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participation rate,age,2012,18-24,0.06637764633300368,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participation rate,age,2013,18-24,-0.011114994795603642,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participation rate,age,2014,18-24,0.023445395359699403,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participation rate,age,2015,18-24,-0.03532586314154492,NONE,pct_change_yr,NA
Midwest,MO,full-year,all_sports,participation rate,age,2016,18-24,-0.002038061090325325,NONE,pct_change_yr,NA
