region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Midwest,MO,full-year,hunt,participants,all,2009,all,451565,NONE,total,NA
Midwest,MO,full-year,hunt,participants,all,2010,all,445652,NONE,total,NA
Midwest,MO,full-year,hunt,participants,all,2011,all,443236,NONE,total,NA
Midwest,MO,full-year,hunt,participants,all,2012,all,447554,NONE,total,NA
Midwest,MO,full-year,hunt,participants,all,2013,all,448994,NONE,total,NA
Midwest,MO,full-year,hunt,participants,all,2014,all,449389,NONE,total,NA
Midwest,MO,full-year,hunt,participants,all,2015,all,447070,NONE,total,NA
Midwest,MO,full-year,hunt,participants,all,2016,all,437444,NONE,total,NA
Midwest,MO,full-year,hunt,participants,all,2017,all,431953,NONE,total,NA
Midwest,MO,full-year,hunt,participants,all,2018,all,423719,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2009,resident,412485,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2010,resident,407990,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2011,resident,405715,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2012,resident,408799,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2013,resident,409314,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2014,resident,407527,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2015,resident,402892,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2016,resident,392356,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2017,resident,385633,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2018,resident,376488,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2009,nonresident,39080,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2010,nonresident,37662,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2011,nonresident,37521,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2012,nonresident,38755,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2013,nonresident,39680,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2014,nonresident,41862,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2015,nonresident,44178,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2016,nonresident,45088,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2017,nonresident,46320,NONE,total,NA
Midwest,MO,full-year,hunt,participants,residency,2018,nonresident,47231,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2009,male,396944,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2010,male,390272,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2011,male,386509,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2012,male,387733,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2013,male,387737,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2014,male,385793,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2015,male,382760,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2016,male,374121,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2017,male,369430,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2018,male,363242,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2009,female,54621,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2010,female,55380,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2011,female,56727,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2012,female,59821,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2013,female,61257,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2014,female,63596,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2015,female,64310,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2016,female,63323,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2017,female,62523,NONE,total,NA
Midwest,MO,full-year,hunt,participants,gender,2018,female,60477,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2009,18-24,60214,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2010,18-24,59580,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2011,18-24,59988,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2012,18-24,61467,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2013,18-24,62271,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2014,18-24,62444,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2015,18-24,61501,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2016,18-24,59423,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2017,18-24,58684,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2018,18-24,57200,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2009,25-34,89530,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2010,25-34,88851,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2011,25-34,89615,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2012,25-34,91160,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2013,25-34,93328,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2014,25-34,94081,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2015,25-34,94e3,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2016,25-34,91903,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2017,25-34,90790,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2018,25-34,88948,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2009,35-44,100039,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2010,35-44,95401,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2011,35-44,92377,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2012,35-44,93271,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2013,35-44,93017,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2014,35-44,92709,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2015,35-44,91908,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2016,35-44,89393,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2017,35-44,88934,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2018,35-44,88755,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2009,45-54,119585,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2010,45-54,118014,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2011,45-54,115502,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2012,45-54,113443,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2013,45-54,110241,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2014,45-54,107437,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2015,45-54,104777,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2016,45-54,100258,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2017,45-54,96114,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2018,45-54,91223,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2009,55-64,82196,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2010,55-64,83806,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2011,55-64,85753,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2012,55-64,88214,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2013,55-64,90135,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2014,55-64,92717,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2015,55-64,94885,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2016,55-64,96468,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2017,55-64,97432,NONE,total,NA
Midwest,MO,full-year,hunt,participants,age,2018,55-64,97594,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,all,2014,all,48142,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,all,2015,all,47097,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,all,2016,all,45413,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,all,2017,all,45161,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,all,2018,all,43514,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,residency,2014,resident,32334,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,residency,2015,resident,30321,NONE,total,NA
