region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Midwest,Midwest,full-year,all_sports,churn,age,2010,18-24,0,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2011,18-24,-0.011978434827122285,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2012,18-24,-0.06430126961036468,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2013,18-24,4.6067727636732274e-4,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2014,18-24,-0.019581347043478588,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2015,18-24,-0.009257806997041955,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2016,18-24,-0.006656034961801074,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2017,18-24,0.024101606700870234,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2018,18-24,0.037219400106242924,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2010,25-34,0,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2011,25-34,-0.009136459478885708,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2012,25-34,-0.06159755217734661,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2013,25-34,0.016823267842158166,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2014,25-34,-0.0163714114244597,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2015,25-34,-0.011302468601041345,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2016,25-34,-0.005480212637549955,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2017,25-34,0.02838948614873265,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2018,25-34,0.04213886891911615,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2010,35-44,0,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2011,35-44,-0.011528979426884372,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2012,35-44,-0.06069827077605516,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2013,35-44,0.015510933794129307,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2014,35-44,-0.014270689245325324,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2015,35-44,-0.017283237087774836,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2016,35-44,-0.01703713132424407,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2017,35-44,0.01040801735035011,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2018,35-44,0.037906640905432755,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2010,45-54,0,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2011,45-54,-0.008646415642717316,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2012,45-54,-0.0684470550019393,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2013,45-54,0.025713902487391964,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2014,45-54,-0.007851738931005154,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2015,45-54,-0.014461417163644491,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2016,45-54,-0.004408491160229555,mean,pct_change_all,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2017,45-54,0.028825464737234314,mean,pct_change_all,"IA,MO,NE,WI"
