region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Midwest,Midwest,full-year,all_sports,churn,age,2010,18-24,0,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2011,18-24,-0.011978434827122285,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2012,18-24,-0.0523228347832424,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2013,18-24,0.06476194688673201,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2014,18-24,-0.02004202431984591,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2015,18-24,0.010323540046436631,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2016,18-24,0.002601772035240881,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2017,18-24,0.03075764166267131,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2018,18-24,0.013117793405372691,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2010,25-34,0,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2011,25-34,-0.009136459478885708,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2012,25-34,-0.0524610926984609,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2013,25-34,0.078420820019504775,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2014,25-34,-0.033194679266617864,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2015,25-34,0.005068942823418355,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2016,25-34,0.005822255963491389,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2017,25-34,0.033869698786282605,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2018,25-34,0.013749382770383498,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2010,35-44,0,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2011,35-44,-0.011528979426884372,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2012,35-44,-0.04916929134917079,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2013,35-44,0.07620920457018447,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2014,35-44,-0.02978162303945463,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2015,35-44,-0.0030125478424495107,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2016,35-44,2.4610576353076627e-4,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2017,35-44,0.027445148674594178,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2018,35-44,0.027498623555082643,mean,pct_change_yr,"IA,MO,NE,WI"
Midwest,Midwest,full-year,all_sports,churn,age,2010,45-54,0,mean,pct_change_yr,"IA,MO,NE,WI"
