region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Midwest,Midwest,full-year,all_sports,participants,age,2009,18-24,369751,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2009,25-34,560066,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2009,35-44,606009,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2009,45-54,709842,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2009,55-64,501427,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2010,18-24,354040,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2010,25-34,546290,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2010,35-44,568544,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2010,45-54,683375,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2010,55-64,507276,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2011,18-24,349406,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2011,25-34,540366,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2011,35-44,543336,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2011,45-54,659047,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2011,55-64,510024,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2012,18-24,368427,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2012,25-34,561233,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2012,35-44,552669,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2012,45-54,661176,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2012,55-64,532584,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2013,18-24,367686,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2013,25-34,556376,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2013,35-44,538833,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2013,45-54,633743,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2013,55-64,533964,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2014,18-24,369667,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2014,25-34,561143,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2014,35-44,535263,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2014,45-54,616367,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2014,55-64,546519,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2015,18-24,362796,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2015,25-34,561425,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2015,35-44,531593,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2015,45-54,602036,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2015,55-64,564343,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2016,18-24,361519,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2016,25-34,562597,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2016,35-44,534303,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2016,45-54,597935,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2016,55-64,571982,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2017,18-24,352714,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2017,25-34,550759,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2017,35-44,532003,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2017,45-54,585023,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2017,55-64,571539,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2018,18-24,340023,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2018,25-34,534870,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2018,35-44,523264,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2018,45-54,566553,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,age,2018,55-64,566379,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,all,2009,all,2747096,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,all,2010,all,2659526,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,all,2011,all,2602181,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,all,2012,all,2676090,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,all,2013,all,2630605,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,all,2014,all,2628961,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,all,2015,all,2622196,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,all,2016,all,2628337,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,all,2017,all,2592038,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,all,2018,all,2531090,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2009,female,650188,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2009,male,2096908,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2010,female,625296,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2010,male,2034230,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2011,female,615011,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2011,male,1987170,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2012,female,655031,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2012,male,2021059,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2013,female,643461,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2013,male,1987144,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2014,female,658012,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2014,male,1970949,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2015,female,660115,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2015,male,1962081,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2016,female,662463,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2016,male,1965874,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2017,female,651878,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2017,male,1940160,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2018,female,633230,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,gender,2018,male,1897860,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2009,nonresident,505113,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2009,resident,2241983,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2010,nonresident,486539,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2010,resident,2172987,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2011,nonresident,472397,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2011,resident,2129784,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2012,nonresident,480524,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2012,resident,2195566,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2013,nonresident,482295,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2013,resident,2148310,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2014,nonresident,483153,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2014,resident,2145808,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2015,nonresident,493425,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2015,resident,2128771,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2016,nonresident,496068,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2016,resident,2132269,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2017,nonresident,492944,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2017,resident,2099094,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2018,nonresident,489973,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,all_sports,participants,residency,2018,resident,2041117,sum,total,"IA,MO,WI"
Midwest,Midwest,full-year,hunt,participants,age,2009,18-24,198193,sum,total,"IA,MO,NE,WI"
Midwest,Midwest,full-year,hunt,participants,age,2009,25-34,293471,sum,total,"IA,MO,NE,WI"
Midwest,Midwest,full-year,hunt,participants,age,2009,35-44,324339,sum,total,"IA,MO,NE,WI"
Midwest,Midwest,full-year,hunt,participants,age,2009,45-54,382516,sum,total,"IA,MO,NE,WI"
Midwest,Midwest,full-year,hunt,participants,age,2009,55-64,259613,sum,total,"IA,MO,NE,WI"
