region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Southeast,SC,full-year,hunt,participants,all,2009,all,195557,NONE,total,NA
Southeast,SC,full-year,hunt,participants,all,2010,all,206059,NONE,total,NA
Southeast,SC,full-year,hunt,participants,all,2011,all,210994,NONE,total,NA
Southeast,SC,full-year,hunt,participants,all,2012,all,205261,NONE,total,NA
Southeast,SC,full-year,hunt,participants,all,2013,all,212412,NONE,total,NA
Southeast,SC,full-year,hunt,participants,all,2014,all,209335,NONE,total,NA
Southeast,SC,full-year,hunt,participants,all,2015,all,207604,NONE,total,NA
Southeast,SC,full-year,hunt,participants,all,2016,all,200581,NONE,total,NA
Southeast,SC,full-year,hunt,participants,all,2017,all,198611,NONE,total,NA
Southeast,SC,full-year,hunt,participants,all,2018,all,194206,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2009,resident,173452,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2010,resident,184225,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2011,resident,189029,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2012,resident,184084,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2013,resident,190692,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2014,resident,186310,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2015,resident,184715,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2016,resident,178467,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2017,resident,176895,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2018,resident,172472,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2009,nonresident,22105,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2010,nonresident,21834,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2011,nonresident,21965,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2012,nonresident,21177,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2013,nonresident,21720,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2014,nonresident,23025,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2015,nonresident,22889,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2016,nonresident,22114,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2017,nonresident,21716,NONE,total,NA
Southeast,SC,full-year,hunt,participants,residency,2018,nonresident,21734,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2009,male,181023,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2010,male,188894,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2011,male,191404,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2012,male,185642,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2013,male,191303,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2014,male,188288,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2015,male,185911,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2016,male,179522,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2017,male,176662,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2018,male,172852,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2009,female,14534,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2010,female,17165,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2011,female,19590,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2012,female,19619,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2013,female,21109,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2014,female,21047,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2015,female,21693,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2016,female,21059,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2017,female,21949,NONE,total,NA
Southeast,SC,full-year,hunt,participants,gender,2018,female,21354,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2009,18-24,21403,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2010,18-24,23178,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2011,18-24,24129,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2012,18-24,24021,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2013,18-24,25697,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2014,18-24,25253,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2015,18-24,25352,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2016,18-24,24553,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2017,18-24,24838,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2018,18-24,24378,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2009,25-34,35387,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2010,25-34,36533,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2011,25-34,36761,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2012,25-34,35212,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2013,25-34,36766,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2014,25-34,36422,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2015,25-34,36867,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2016,25-34,35906,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2017,25-34,35769,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2018,25-34,35428,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2009,35-44,48400,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2010,35-44,49850,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2011,35-44,49518,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2012,35-44,47370,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2013,35-44,48268,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2014,35-44,46630,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2015,35-44,44751,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2016,35-44,41604,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2017,35-44,40121,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2018,35-44,38807,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2009,45-54,48819,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2010,45-54,50983,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2011,45-54,52102,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2012,45-54,51006,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2013,45-54,52692,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2014,45-54,52354,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2015,45-54,52102,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2016,45-54,50425,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2017,45-54,50044,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2018,45-54,48374,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2009,55-64,41548,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2010,55-64,45515,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2011,55-64,48484,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2012,55-64,47651,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2013,55-64,48989,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2014,55-64,48676,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2015,55-64,48532,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2016,55-64,48093,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2017,55-64,47839,NONE,total,NA
Southeast,SC,full-year,hunt,participants,age,2018,55-64,47219,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,all,2014,all,31833,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,all,2015,all,30451,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,all,2016,all,28842,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,all,2017,all,28660,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,all,2018,all,27202,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,residency,2014,resident,23347,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,residency,2015,resident,21933,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,residency,2016,resident,20903,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,residency,2017,resident,20822,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,residency,2018,resident,19582,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,residency,2014,nonresident,8486,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,residency,2015,nonresident,8518,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,residency,2016,nonresident,7939,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,residency,2017,nonresident,7838,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,residency,2018,nonresident,7620,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,gender,2014,male,26108,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,gender,2015,male,24757,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,gender,2016,male,23468,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,gender,2017,male,22832,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,gender,2018,male,22116,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,gender,2014,female,5725,NONE,total,NA
