region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Southeast,Southeast,full-year,all_sports,churn,age,2010,18-24,0,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2011,18-24,3.4179559534421386e-4,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2012,18-24,-0.0233304236023944,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2013,18-24,-0.016237087116362528,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2014,18-24,-0.03000771246152708,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2015,18-24,-0.007590131628079936,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2016,18-24,8.253770291390362e-4,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2017,18-24,0.004939180158769645,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2018,18-24,-0.0017275526968181893,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2010,25-34,0,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2011,25-34,5.60761342517612e-5,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2012,25-34,-0.011808798299359087,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2013,25-34,-0.007405884992681031,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2014,25-34,-0.018376314470651543,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2015,25-34,0.006865463165271769,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2016,25-34,0.014614289755261939,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2017,25-34,0.02102376320433075,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2018,25-34,0.014865532108308295,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2010,35-44,0,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2011,35-44,0.006156333220117186,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2012,35-44,-0.01046794908931066,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2013,35-44,-0.0019512025275327189,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2014,35-44,-0.019382204468882648,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2015,35-44,0.011482401399386766,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2016,35-44,0.023494241104904477,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2017,35-44,0.030557803569585228,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2018,35-44,0.03202138398582265,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2010,45-54,0,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2011,45-54,0.00431358460591193,mean,pct_change_all,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2012,45-54,-0.020180557473266234,mean,pct_change_all,"FL,GA,SC,TN,VA"
