region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Southeast,Southeast,full-year,all_sports,churn,age,2010,18-24,0,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2011,18-24,3.4179559534421386e-4,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2012,18-24,-0.023672219197738615,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2013,18-24,0.007093336486031872,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2014,18-24,-0.013770625345164551,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2015,18-24,0.022417580833447144,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2016,18-24,0.008415508657218972,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2017,18-24,0.004113803129630608,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2018,18-24,-0.006666732855587834,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2010,25-34,0,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2011,25-34,5.60761342517612e-5,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2012,25-34,-0.011864874433610848,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2013,25-34,0.004402913306678056,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2014,25-34,-0.010970429477970514,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2015,25-34,0.025241777635923314,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2016,25-34,0.00774882658999017,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2017,25-34,0.006409473449068812,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2018,25-34,-0.006158231096022456,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2010,35-44,0,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2011,35-44,0.006156333220117186,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2012,35-44,-0.016624282309427845,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2013,35-44,0.00851674656177794,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2014,35-44,-0.01743100194134993,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2015,35-44,0.030864605868269415,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2016,35-44,0.01201183970551771,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2017,35-44,0.007063562464680751,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2018,35-44,0.0014635804162374242,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2010,45-54,0,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2011,45-54,0.00431358460591193,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2012,45-54,-0.024494142079178164,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2013,45-54,0.006605027662885311,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2014,45-54,-0.02071708219635083,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2015,45-54,0.026385468112990515,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2016,45-54,0.010887398813580067,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2017,45-54,-0.00111629011492046,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2018,45-54,6.343823831672539e-4,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2010,55-64,0,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2011,55-64,0.007620234910476075,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2012,55-64,-0.03237369862198791,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2013,55-64,0.0029797882715539843,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2014,55-64,-0.021593766534320477,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2015,55-64,0.022258277556567792,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2016,55-64,0.008030124181559425,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2017,55-64,-0.001470516360983636,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,age,2018,55-64,-0.004865498196002081,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,all,2010,all,0,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,all,2011,all,0.003936382071558661,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,all,2012,all,-0.02132446063474154,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,all,2013,all,0.007607632458910938,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,all,2014,all,-0.015930219658115877,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,all,2015,all,0.026249254106501623,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,all,2016,all,0.0087335395672887,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,all,2017,all,0.0018639937835337847,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,all,2018,all,-0.005469463219518185,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,gender,2010,female,0,mean,pct_change_yr,"FL,GA,SC,TN,VA"
Southeast,Southeast,full-year,all_sports,churn,gender,2011,female,0.007182515745418552,mean,pct_change_yr,"FL,GA,SC,TN,VA"
