region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Southeast,TN,full-year,all_sports,churn,age,2010,18-24,0,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2011,18-24,-8.543279759231565e-4,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2012,18-24,-0.0447361885573618,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2013,18-24,0.03597132757739145,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2014,18-24,-0.024024564442295053,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2015,18-24,0.02672474925936786,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2016,18-24,0.027730584394900643,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2017,18-24,0.02838451123863876,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2018,18-24,-0.0253160587943245,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2010,25-34,0,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2011,25-34,-0.004400132208051306,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2012,25-34,-0.024922600510838396,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2013,25-34,0.03691505867876252,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2014,25-34,-0.0173426490448545,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2015,25-34,0.03847757363527829,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2016,25-34,0.016128842947420965,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2017,25-34,0.034825020423102794,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2018,25-34,-0.010159081006751685,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2010,35-44,0,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2011,35-44,0.013105293248760008,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2012,35-44,-0.0412904606470211,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2013,35-44,0.04627102987883917,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2014,35-44,-0.024251287568286803,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2015,35-44,0.04969050913439401,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2016,35-44,0.017050841507645905,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2017,35-44,0.0442991292099048,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2018,35-44,-0.00943499621908036,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2010,45-54,0,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2011,45-54,0.007358423501373524,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2012,45-54,-0.054802677432628094,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2013,45-54,0.04349852930641967,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2014,45-54,-0.030293798208973953,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2015,45-54,0.040850732034026255,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2016,45-54,0.022738486705924207,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2017,45-54,0.03004970926720183,NONE,pct_change_yr,NA
Southeast,TN,full-year,all_sports,churn,age,2018,45-54,-0.02090891953552134,NONE,pct_change_yr,NA
