region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
US,US,full-year,all_sports,churn,age,2010,18-24,0,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2011,18-24,-0.009493262170949961,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2012,18-24,-0.04082305842807128,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2013,18-24,-0.015922131403513468,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2014,18-24,-0.030269645212080233,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2015,18-24,-0.012162243218906977,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2016,18-24,-0.008155272261845972,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2017,18-24,0.009153390414255754,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2018,18-24,0.008527271448607099,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2010,25-34,0,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2011,25-34,-0.008416110316030118,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2012,25-34,-0.032695909573309416,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2013,25-34,-0.0037228948948141733,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2014,25-34,-0.02187672854839027,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2015,25-34,-0.0029413534602282885,mean,pct_change_all,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
