region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
US,US,full-year,all_sports,churn,age,2010,18-24,0,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2011,18-24,-0.009493262170949961,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2012,18-24,-0.031329796257121324,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2013,18-24,0.024900927024557817,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2014,18-24,-0.014347513808566763,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2015,18-24,0.018107401993173254,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2016,18-24,0.004006970957061005,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2017,18-24,0.017308662676101726,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2018,18-24,-6.261189656486547e-4,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2010,25-34,0,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2011,25-34,-0.008416110316030118,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2012,25-34,-0.0242797992572793,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2013,25-34,0.028973014678495244,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2014,25-34,-0.018153833653576097,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2015,25-34,0.018935375088161982,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2016,25-34,0.005930287135012821,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2017,25-34,0.01926737728432087,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2018,25-34,-1.7770039776363524e-4,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2010,35-44,0,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2011,35-44,-0.00550339339204905,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2012,35-44,-0.025859744429985905,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2013,35-44,0.029953898819172636,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2014,35-44,-0.018939552065494133,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2015,35-44,0.018846559069627157,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2016,35-44,0.004906930818143537,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2017,35-44,0.01985279369635602,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2018,35-44,0.0070714095891326635,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2010,45-54,0,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2011,45-54,-0.003643838477360717,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2012,45-54,-0.0348849836508366,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2013,45-54,0.0343637512479039,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2014,45-54,-0.02250780337523853,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2015,45-54,0.015465109259162507,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2016,45-54,0.009533559175092268,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2017,45-54,0.015442748926748788,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2018,45-54,0.005357478857604981,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2010,55-64,0,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2011,55-64,-0.004157500776356105,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2012,55-64,-0.03706932759885307,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2013,55-64,0.03166554743376859,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
US,US,full-year,all_sports,churn,age,2014,55-64,-0.0266013586322149,mean,pct_change_yr,"FL,GA,IA,MO,NE,OR,SC,TN,VA,WI"
