region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Southeast,VA,full-year,all_sports,churn,age,2010,18-24,0,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2011,18-24,0.0019066638253246741,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2012,18-24,-0.010138279698852837,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2013,18-24,-0.02622991473406562,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2014,18-24,-0.01600135018927097,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2015,18-24,0.001965355976274145,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2016,18-24,0.01618769978338034,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2017,18-24,0.0030835564150225904,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2018,18-24,-0.008648880588125607,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2010,25-34,0,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2011,25-34,0.008391703417798772,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2012,25-34,7.907766679481473e-4,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2013,25-34,-0.015069476443033202,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2014,25-34,-0.003919572133779982,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2015,25-34,0.016468922452755635,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2016,25-34,0.030351109739695993,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2017,25-34,0.016399186489765575,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2018,25-34,5.55246506947109e-4,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2010,35-44,0,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2011,35-44,0.005564158436339874,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2012,35-44,0.005771309978170882,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2013,35-44,-0.0139320160353684,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2014,35-44,-0.0017510386152987285,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2015,35-44,0.02817139484333138,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2016,35-44,0.056433571327822764,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2017,35-44,0.03523734958508881,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2018,35-44,0.03221230553639079,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2010,45-54,0,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2011,45-54,-0.002360365846297389,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2012,45-54,-0.018252057805182378,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2013,45-54,-0.03664456585256361,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2014,45-54,-0.03807792170823487,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2015,45-54,-0.013668679716591478,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2016,45-54,0.012869943071761975,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2017,45-54,-0.026601193375451703,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2018,45-54,-0.019994883882683175,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2010,55-64,0,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2011,55-64,-0.009463701922920712,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2012,55-64,-0.042751382138139275,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2013,55-64,-0.06296803614799452,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2014,55-64,-0.06571401913953195,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2015,55-64,-0.05134980064293406,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2016,55-64,-0.02016839007501579,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2017,55-64,-0.06853236331484272,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,age,2018,55-64,-0.08354309527092971,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,all,2010,all,0,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,all,2011,all,0.0014711899416703928,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,all,2012,all,-0.01202667713485887,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,all,2013,all,-0.029058279709511647,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,all,2014,all,-0.019981114871207857,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,all,2015,all,0.0023671494055794067,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,all,2016,all,0.024030925799329687,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,all,2017,all,-0.007295749211329721,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,all,2018,all,-0.024735423754665746,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2010,female,0,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2011,female,-0.001583471793661765,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2012,female,-0.006616034530441685,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2013,female,-0.03150137731417499,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2014,female,-0.03669922432179561,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2015,female,-0.02022007485426163,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2016,female,-0.012927821409648908,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2017,female,-0.031668963311015375,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2018,female,-0.054615858283304466,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2010,male,0,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2011,male,5.205133402635797e-4,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2012,male,-0.014777909702419137,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2013,male,-0.0319513663732997,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2014,male,-0.02219401045169174,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2015,male,-0.003505440371215392,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2016,male,0.019246325611209862,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2017,male,-0.011547496230055973,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,gender,2018,male,-0.018177866591770214,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2010,nonresident,0,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2011,nonresident,0.0034074479725548987,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2012,nonresident,-0.006409841781156649,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2013,nonresident,-0.002556303568300759,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2014,nonresident,-0.01624154798354344,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2015,nonresident,0.007997952205911,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2016,nonresident,0.02320507224337912,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2017,nonresident,0.009529913072122892,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2018,nonresident,0.014281042625602525,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2010,resident,0,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2011,resident,-0.0018538641115799065,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2012,resident,-0.011687506654086103,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2013,resident,-0.032019867102452707,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2014,resident,-0.013670363398560594,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2015,resident,0.0027373553549759366,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2016,resident,0.023096511359942097,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2017,resident,-0.014553189172949054,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,churn,residency,2018,resident,-0.03994469787107793,NONE,pct_change_all,NA
Southeast,VA,full-year,all_sports,participants,age,2009,18-24,0,NONE,pct_change_all,NA
