timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,all_sports,age,18-24,2010,churn,0.6267410421099999,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2011,churn,0.63597336081,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2012,churn,0.64712405444,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2013,churn,0.63438616826,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2014,churn,0.64992276049,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2015,churn,0.64392660137,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2016,churn,0.64539244016,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2017,churn,0.63391217373,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2018,churn,0.630069902,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2010,participants,137300.85056765878,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2011,participants,156133.46702590567,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2012,participants,160680.10699465044,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2013,participants,179290.5158482234,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2014,participants,184641.44716713487,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2015,participants,187215.83445897757,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2016,participants,185103.28426299334,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2017,participants,182448.97990947787,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2018,participants,175272.09463795004,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2014,participants - recruited,88456.3263519303,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2015,participants - recruited,86618.6405542208,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2016,participants - recruited,83606.0614002771,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2017,participants - recruited,80039.58836280662,FL,Southeast,NONE,NA
full-year,all_sports,age,18-24,2018,participants - recruited,75473.92461407451,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2010,churn,0.6632393997199999,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2011,churn,0.6658688179800001,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2012,churn,0.6738812277099999,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2013,churn,0.6591823595699999,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2014,churn,0.67257827275,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2015,churn,0.6629600088500001,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2016,churn,0.66362593888,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2017,churn,0.65156776186,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2018,churn,0.64674774939,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2010,participants,130568.86624752797,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2011,participants,149937.80575761525,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2012,participants,154243.0601654243,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2013,participants,172737.050023559,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2014,participants,178492.4765072423,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2015,participants,181781.14860108565,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2016,participants,179857.75034397794,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2017,participants,177505.54458347,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2018,participants,170398.33319766072,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2014,participants - recruited,88126.10888312123,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2015,participants - recruited,86347.35793499045,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2016,participants - recruited,83302.14540120676,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2017,participants - recruited,79791.18723835233,FL,Southeast,NONE,NA
full-year,fish,age,18-24,2018,participants - recruited,75118.99065096285,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2010,churn,0.45621500560000006,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2011,churn,0.48308396606000004,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2012,churn,0.47930009148999997,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2013,churn,0.46714371552,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2014,churn,0.47628074026,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2015,churn,0.434202403,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2016,churn,0.39468828898999997,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2017,churn,0.38021577417999997,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2018,churn,0.37430309174,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2010,participants,18466.800414063182,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2011,participants,18104.21861725594,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2012,participants,18959.329151024584,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2013,participants,20763.99828099328,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2014,participants,21849.343264045237,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2015,participants,21632.673843806617,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2016,participants,21525.119812508747,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2017,participants,20735.387218625114,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2018,participants,20079.52022179058,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2014,participants - recruited,8390.164361330271,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2015,participants - recruited,6805.198314751345,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2016,participants - recruited,6215.184707529201,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2017,participants - recruited,5843.491892153541,FL,Southeast,NONE,NA
full-year,hunt,age,18-24,2018,participants - recruited,5825.018090839107,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2010,churn,0.58735049021,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2011,churn,0.59406806338,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2012,churn,0.6053123005500001,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2013,churn,0.59120212655,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2014,churn,0.6045783891600001,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2015,churn,0.5983393216799999,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2016,churn,0.6049428701499999,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2017,churn,0.59789835483,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2018,churn,0.5882779070999999,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2010,participants,234470.79207274606,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2011,participants,261592.452714343,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2012,participants,268187.1473834084,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2013,participants,296353.8754139919,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2014,participants,310660.3261202125,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2015,participants,327415.8498615031,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2016,participants,329281.82156312093,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2017,participants,324951.8371038235,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2018,participants,322165.62829461455,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2014,participants - recruited,119806.81879034519,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2015,participants - recruited,124236.9326455822,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2016,participants - recruited,121391.18007224033,FL,Southeast,NONE,NA
full-year,all_sports,age,25-34,2017,participants - recruited,114813.03845252295,FL,Southeast,NONE,NA
