timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,hunt,all,all,2010,participants,281677,GA,Southeast,NONE,NA
full-year,hunt,all,all,2011,participants,285630,GA,Southeast,NONE,NA
full-year,hunt,all,all,2012,participants,285256,GA,Southeast,NONE,NA
full-year,hunt,all,all,2013,participants,294531,GA,Southeast,NONE,NA
full-year,hunt,all,all,2014,participants,297797,GA,Southeast,NONE,NA
full-year,hunt,all,all,2015,participants,303935,GA,Southeast,NONE,NA
full-year,hunt,all,all,2016,participants,309279,GA,Southeast,NONE,NA
full-year,hunt,residency,resident,2010,participants,226592,GA,Southeast,NONE,NA
full-year,hunt,residency,resident,2011,participants,233302,GA,Southeast,NONE,NA
full-year,hunt,residency,resident,2012,participants,234050,GA,Southeast,NONE,NA
full-year,hunt,residency,resident,2013,participants,243498,GA,Southeast,NONE,NA
full-year,hunt,residency,resident,2014,participants,245241,GA,Southeast,NONE,NA
full-year,hunt,residency,resident,2015,participants,249031,GA,Southeast,NONE,NA
full-year,hunt,residency,resident,2016,participants,253279,GA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2010,participants,55085,GA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2011,participants,52328,GA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2012,participants,51206,GA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2013,participants,51033,GA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2014,participants,52556,GA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2015,participants,54904,GA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2016,participants,56e3,GA,Southeast,NONE,NA
full-year,hunt,gender,male,2010,participants,260164,GA,Southeast,NONE,NA
full-year,hunt,gender,male,2011,participants,263041,GA,Southeast,NONE,NA
full-year,hunt,gender,male,2012,participants,261607,GA,Southeast,NONE,NA
full-year,hunt,gender,male,2013,participants,268868,GA,Southeast,NONE,NA
full-year,hunt,gender,male,2014,participants,270919,GA,Southeast,NONE,NA
full-year,hunt,gender,male,2015,participants,274585,GA,Southeast,NONE,NA
full-year,hunt,gender,male,2016,participants,278009,GA,Southeast,NONE,NA
full-year,hunt,gender,female,2010,participants,21513,GA,Southeast,NONE,NA
full-year,hunt,gender,female,2011,participants,22589,GA,Southeast,NONE,NA
full-year,hunt,gender,female,2012,participants,23649,GA,Southeast,NONE,NA
full-year,hunt,gender,female,2013,participants,25663,GA,Southeast,NONE,NA
full-year,hunt,gender,female,2014,participants,26878,GA,Southeast,NONE,NA
full-year,hunt,gender,female,2015,participants,29350,GA,Southeast,NONE,NA
full-year,hunt,gender,female,2016,participants,31270,GA,Southeast,NONE,NA
full-year,hunt,age,18-24,2010,participants,34061,GA,Southeast,NONE,NA
full-year,hunt,age,18-24,2011,participants,34862,GA,Southeast,NONE,NA
full-year,hunt,age,18-24,2012,participants,35688,GA,Southeast,NONE,NA
full-year,hunt,age,18-24,2013,participants,38002,GA,Southeast,NONE,NA
full-year,hunt,age,18-24,2014,participants,38282,GA,Southeast,NONE,NA
full-year,hunt,age,18-24,2015,participants,38813,GA,Southeast,NONE,NA
full-year,hunt,age,18-24,2016,participants,40296,GA,Southeast,NONE,NA
full-year,hunt,age,25-34,2010,participants,57194,GA,Southeast,NONE,NA
full-year,hunt,age,25-34,2011,participants,57756,GA,Southeast,NONE,NA
full-year,hunt,age,25-34,2012,participants,58267,GA,Southeast,NONE,NA
full-year,hunt,age,25-34,2013,participants,60968,GA,Southeast,NONE,NA
full-year,hunt,age,25-34,2014,participants,61391,GA,Southeast,NONE,NA
full-year,hunt,age,25-34,2015,participants,62513,GA,Southeast,NONE,NA
full-year,hunt,age,25-34,2016,participants,64232,GA,Southeast,NONE,NA
full-year,hunt,age,35-44,2010,participants,70926,GA,Southeast,NONE,NA
full-year,hunt,age,35-44,2011,participants,70319,GA,Southeast,NONE,NA
full-year,hunt,age,35-44,2012,participants,69095,GA,Southeast,NONE,NA
full-year,hunt,age,35-44,2013,participants,69255,GA,Southeast,NONE,NA
full-year,hunt,age,35-44,2014,participants,68576,GA,Southeast,NONE,NA
full-year,hunt,age,35-44,2015,participants,68322,GA,Southeast,NONE,NA
full-year,hunt,age,35-44,2016,participants,67646,GA,Southeast,NONE,NA
full-year,hunt,age,45-54,2010,participants,71019,GA,Southeast,NONE,NA
full-year,hunt,age,45-54,2011,participants,72292,GA,Southeast,NONE,NA
full-year,hunt,age,45-54,2012,participants,71576,GA,Southeast,NONE,NA
full-year,hunt,age,45-54,2013,participants,72289,GA,Southeast,NONE,NA
full-year,hunt,age,45-54,2014,participants,73159,GA,Southeast,NONE,NA
full-year,hunt,age,45-54,2015,participants,74534,GA,Southeast,NONE,NA
full-year,hunt,age,45-54,2016,participants,75244,GA,Southeast,NONE,NA
full-year,hunt,age,55-64,2010,participants,48477,GA,Southeast,NONE,NA
full-year,hunt,age,55-64,2011,participants,50401,GA,Southeast,NONE,NA
full-year,hunt,age,55-64,2012,participants,50631,GA,Southeast,NONE,NA
full-year,hunt,age,55-64,2013,participants,54015,GA,Southeast,NONE,NA
full-year,hunt,age,55-64,2014,participants,56389,GA,Southeast,NONE,NA
full-year,hunt,age,55-64,2015,participants,59754,GA,Southeast,NONE,NA
full-year,hunt,age,55-64,2016,participants,61861,GA,Southeast,NONE,NA
full-year,hunt,all,all,2015,participants - recruited,68677,GA,Southeast,NONE,NA
full-year,hunt,all,all,2016,participants - recruited,68426,GA,Southeast,NONE,NA
full-year,hunt,residency,resident,2015,participants - recruited,41105,GA,Southeast,NONE,NA
full-year,hunt,residency,resident,2016,participants - recruited,40621,GA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2015,participants - recruited,27572,GA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2016,participants - recruited,27805,GA,Southeast,NONE,NA
full-year,hunt,gender,male,2015,participants - recruited,55617,GA,Southeast,NONE,NA
full-year,hunt,gender,male,2016,participants - recruited,55155,GA,Southeast,NONE,NA
full-year,hunt,gender,female,2015,participants - recruited,13060,GA,Southeast,NONE,NA
full-year,hunt,gender,female,2016,participants - recruited,13271,GA,Southeast,NONE,NA
full-year,hunt,age,18-24,2015,participants - recruited,12227,GA,Southeast,NONE,NA
