timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,hunt,all,all,2009,participants,188467,IA,Midwest,NONE,NA
full-year,hunt,all,all,2010,participants,180988,IA,Midwest,NONE,NA
full-year,hunt,all,all,2011,participants,177257,IA,Midwest,NONE,NA
full-year,hunt,all,all,2012,participants,178784,IA,Midwest,NONE,NA
full-year,hunt,all,all,2013,participants,176870,IA,Midwest,NONE,NA
full-year,hunt,all,all,2014,participants,178386,IA,Midwest,NONE,NA
full-year,hunt,all,all,2015,participants,179088,IA,Midwest,NONE,NA
full-year,hunt,all,all,2016,participants,177421,IA,Midwest,NONE,NA
full-year,hunt,all,all,2017,participants,173812,IA,Midwest,NONE,NA
full-year,hunt,all,all,2018,participants,170111,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2009,participants,174006,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2010,participants,167372,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2011,participants,164624,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2012,participants,166249,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2013,participants,164719,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2014,participants,166413,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2015,participants,166397,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2016,participants,164539,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2017,participants,160674,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2018,participants,156519,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2009,participants,14461,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2010,participants,13616,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2011,participants,12633,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2012,participants,12535,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2013,participants,12151,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2014,participants,11973,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2015,participants,12691,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2016,participants,12882,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2017,participants,13138,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2018,participants,13592,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2009,participants,178550,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2010,participants,171439,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2011,participants,167436,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2012,participants,167964,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2013,participants,165503,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2014,participants,166255,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2015,participants,166182,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2016,participants,164105,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2017,participants,160543,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2018,participants,157130,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2009,participants,9917,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2010,participants,9549,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2011,participants,9821,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2012,participants,10820,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2013,participants,11367,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2014,participants,12131,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2015,participants,12906,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2016,participants,13316,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2017,participants,13269,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2018,participants,12981,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2009,participants,25884,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2010,participants,24109,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2011,participants,23841,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2012,participants,24450,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2013,participants,24890,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2014,participants,25259,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2015,participants,25030,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2016,participants,24510,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2017,participants,23681,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2018,participants,22838,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2009,participants,39414,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2010,participants,37854,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2011,participants,37298,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2012,participants,37988,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2013,participants,38357,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2014,participants,39247,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2015,participants,39574,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2016,participants,39509,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2017,participants,38363,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2018,participants,37548,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2009,participants,42598,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2010,participants,39824,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2011,participants,37947,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2012,participants,37806,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2013,participants,36812,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2014,participants,36656,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2015,participants,36365,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2016,participants,36146,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2017,participants,36152,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2018,participants,36088,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2009,participants,48558,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2010,participants,46544,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2011,participants,45054,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2012,participants,44425,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2013,participants,42546,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2014,participants,41829,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2015,participants,41273,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2016,participants,39856,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2017,participants,38281,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2018,participants,36296,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2009,participants,32012,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2010,participants,32656,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2011,participants,33116,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2012,participants,34114,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2013,participants,34264,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2014,participants,35394,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2015,participants,36845,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2016,participants,37398,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2017,participants,37334,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2018,participants,37342,IA,Midwest,NONE,NA
full-year,hunt,all,all,2014,participants - recruited,15972,IA,Midwest,NONE,NA
full-year,hunt,all,all,2015,participants - recruited,16117,IA,Midwest,NONE,NA
full-year,hunt,all,all,2016,participants - recruited,15508,IA,Midwest,NONE,NA
full-year,hunt,all,all,2017,participants - recruited,14625,IA,Midwest,NONE,NA
full-year,hunt,all,all,2018,participants - recruited,13913,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2014,participants - recruited,12754,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2015,participants - recruited,12559,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2016,participants - recruited,11964,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2017,participants - recruited,10938,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2018,participants - recruited,10269,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2014,participants - recruited,3218,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2015,participants - recruited,3558,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2016,participants - recruited,3544,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2017,participants - recruited,3687,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2018,participants - recruited,3644,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2014,participants - recruited,13102,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2015,participants - recruited,13222,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2016,participants - recruited,12681,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2017,participants - recruited,12106,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2018,participants - recruited,11502,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2014,participants - recruited,2870,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2015,participants - recruited,2895,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2016,participants - recruited,2827,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2017,participants - recruited,2519,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2018,participants - recruited,2411,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2014,participants - recruited,3439,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2015,participants - recruited,3282,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2016,participants - recruited,3037,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2017,participants - recruited,2909,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2018,participants - recruited,2676,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2014,participants - recruited,4272,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2015,participants - recruited,4343,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2016,participants - recruited,4168,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2017,participants - recruited,3704,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2018,participants - recruited,3551,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2014,participants - recruited,3105,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2015,participants - recruited,3018,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2016,participants - recruited,2945,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2017,participants - recruited,2896,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2018,participants - recruited,2827,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2014,participants - recruited,2958,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2015,participants - recruited,3084,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2016,participants - recruited,2909,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2017,participants - recruited,2763,IA,Midwest,NONE,NA
full-year,hunt,age,45-54,2018,participants - recruited,2613,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2014,participants - recruited,2198,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2015,participants - recruited,2390,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2016,participants - recruited,2448,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2017,participants - recruited,2353,IA,Midwest,NONE,NA
full-year,hunt,age,55-64,2018,participants - recruited,2245,IA,Midwest,NONE,NA
full-year,hunt,all,all,2010,churn,0.2073466442401058,IA,Midwest,NONE,NA
full-year,hunt,all,all,2011,churn,0.19713461665966808,IA,Midwest,NONE,NA
full-year,hunt,all,all,2012,churn,0.18277980559300896,IA,Midwest,NONE,NA
full-year,hunt,all,all,2013,churn,0.1960801861464113,IA,Midwest,NONE,NA
full-year,hunt,all,all,2014,churn,0.18328150619098768,IA,Midwest,NONE,NA
full-year,hunt,all,all,2015,churn,0.1826264392945635,IA,Midwest,NONE,NA
full-year,hunt,all,all,2016,churn,0.1871984722594478,IA,Midwest,NONE,NA
full-year,hunt,all,all,2017,churn,0.192153127307365,IA,Midwest,NONE,NA
full-year,hunt,all,all,2018,churn,0.19100522403516443,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2010,churn,0.18664873625047407,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2011,churn,0.17561479817412706,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2012,churn,0.16271017591602685,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2013,churn,0.1766386564731216,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2014,churn,0.16279846283670976,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2015,churn,0.16423596714199007,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2016,churn,0.16755109767603982,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2017,churn,0.17244543846747576,IA,Midwest,NONE,NA
full-year,hunt,residency,resident,2018,churn,0.17165191630257542,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2010,churn,0.4563999723393956,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2011,churn,0.46166274970622795,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2012,churn,0.4443125148420803,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2013,churn,0.45392899880335064,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2014,churn,0.4609497160727512,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2015,churn,0.4382360310699073,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2016,churn,0.44480340398707746,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2017,churn,0.4438751746623195,IA,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2018,churn,0.42769066829045516,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2010,churn,0.1981595985393284,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2011,churn,0.18820434447840592,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2012,churn,0.17436124084713978,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2013,churn,0.18614329431657167,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2014,churn,0.17336451139268036,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2015,churn,0.17245506820970577,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2016,churn,0.17651235700832227,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2017,churn,0.1811788937435635,IA,Midwest,NONE,NA
full-year,hunt,gender,male,2018,churn,0.1796726090368875,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2010,churn,0.37279419179187256,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2011,churn,0.3574196250916326,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2012,churn,0.32634151308420734,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2013,churn,0.350369685767098,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2014,churn,0.32770299991202606,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2015,churn,0.32198499711482975,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2016,churn,0.3248101658143499,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2017,churn,0.32735055572243915,IA,Midwest,NONE,NA
full-year,hunt,gender,female,2018,churn,0.32813324289697793,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2010,churn,0.24930458970792768,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2011,churn,0.23501596914015513,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2012,churn,0.2159724843756554,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2013,churn,0.23194274028629858,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2014,churn,0.22209722780233027,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2015,churn,0.22392018686408804,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2016,churn,0.2296843787455054,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2017,churn,0.2390452876376989,IA,Midwest,NONE,NA
full-year,hunt,age,18-24,2018,churn,0.23740551496980702,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2010,churn,0.21434008220429288,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2011,churn,0.1989485919585777,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2012,churn,0.18293206070030565,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2013,churn,0.19308729072338632,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2014,churn,0.18883124331934198,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2015,churn,0.18862588223303692,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2016,churn,0.19525445999898924,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2017,churn,0.20266268445164393,IA,Midwest,NONE,NA
full-year,hunt,age,25-34,2018,churn,0.19849855329353805,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2010,churn,0.2052443776703132,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2011,churn,0.1980212936922459,IA,Midwest,NONE,NA
full-year,hunt,age,35-44,2012,churn,0.18278124752944896,IA,Midwest,NONE,NA
