timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,all_sports,age,18-24,2010,participants,386397,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,25-34,2010,participants,599160,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,35-44,2010,participants,618861,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,45-54,2010,participants,737977,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,55-64,2010,participants,548504,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,18-24,2011,participants,380797,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,25-34,2011,participants,592927,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,35-44,2011,participants,592627,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,45-54,2011,participants,711403,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,55-64,2011,participants,551520,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,18-24,2012,participants,403236,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,25-34,2012,participants,618339,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,35-44,2012,participants,604821,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,45-54,2012,participants,713926,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,55-64,2012,participants,575795,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,18-24,2013,participants,402474,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,25-34,2013,participants,612220,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,35-44,2013,participants,589457,Midwest,Midwest,sum,"IA,MO,WI,NE"
full-year,all_sports,age,45-54,2013,participants,683475,Midwest,Midwest,sum,"IA,MO,WI,NE"
