timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,all_sports,all,all,2010,participants,236591,NE,Midwest,NONE,NA
full-year,all_sports,all,all,2011,participants,232008,NE,Midwest,NONE,NA
full-year,all_sports,all,all,2012,participants,244855,NE,Midwest,NONE,NA
full-year,all_sports,all,all,2013,participants,238078,NE,Midwest,NONE,NA
full-year,all_sports,all,all,2014,participants,239332,NE,Midwest,NONE,NA
full-year,all_sports,all,all,2015,participants,247918,NE,Midwest,NONE,NA
full-year,all_sports,all,all,2016,participants,251923,NE,Midwest,NONE,NA
full-year,all_sports,all,all,2017,participants,248185,NE,Midwest,NONE,NA
full-year,all_sports,all,all,2018,participants,233631,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2010,participants,188494,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2011,participants,184577,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2012,participants,196320,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2013,participants,191045,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2014,participants,191426,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2015,participants,196304,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2016,participants,198713,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2017,participants,194257,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2018,participants,180999,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2010,participants,48097,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2011,participants,47431,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2012,participants,48535,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2013,participants,47033,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2014,participants,47906,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2015,participants,51614,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2016,participants,53210,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2017,participants,53928,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2018,participants,52632,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2010,participants,196317,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2011,participants,192070,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2012,participants,199e3,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2013,participants,192991,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2014,participants,192686,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2015,participants,199169,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2016,participants,201263,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2017,participants,198488,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2018,participants,188902,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2010,participants,40274,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2011,participants,39938,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2012,participants,45855,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2013,participants,45087,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2014,participants,46646,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2015,participants,48749,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2016,participants,50660,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2017,participants,49697,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2018,participants,44729,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2010,participants,32869,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2011,participants,31893,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2012,participants,35303,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2013,participants,35308,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2014,participants,35722,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2015,participants,36280,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2016,participants,36883,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2017,participants,35672,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2018,participants,32668,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2010,participants,53708,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2011,participants,53396,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2012,participants,57983,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2013,participants,56676,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2014,participants,57370,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2015,participants,59608,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2016,participants,60409,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2017,participants,58363,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2018,participants,54111,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2010,participants,51344,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2011,participants,50218,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2012,participants,53098,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2013,participants,51508,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2014,participants,51727,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2015,participants,53957,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2016,participants,55608,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2017,participants,55996,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2018,participants,53871,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2010,participants,56026,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2011,participants,53693,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2012,participants,54144,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2013,participants,51019,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2014,participants,50106,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2015,participants,51093,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2016,participants,50833,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2017,participants,49407,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2018,participants,45890,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2010,participants,42644,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2011,participants,42808,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2012,participants,44326,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2013,participants,43566,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2014,participants,44406,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2015,participants,46979,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2016,participants,48191,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2017,participants,48747,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2018,participants,47091,NE,Midwest,NONE,NA
full-year,all_sports,all,all,2015,participants - recruited,54787,NE,Midwest,NONE,NA
full-year,all_sports,all,all,2016,participants - recruited,55777,NE,Midwest,NONE,NA
full-year,all_sports,all,all,2017,participants - recruited,53125,NE,Midwest,NONE,NA
full-year,all_sports,all,all,2018,participants - recruited,47364,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2015,participants - recruited,31624,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2016,participants - recruited,32066,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2017,participants - recruited,29126,NE,Midwest,NONE,NA
full-year,all_sports,residency,resident,2018,participants - recruited,24163,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2015,participants - recruited,23163,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2016,participants - recruited,23711,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2017,participants - recruited,23999,NE,Midwest,NONE,NA
full-year,all_sports,residency,nonresident,2018,participants - recruited,23201,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2015,participants - recruited,38562,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2016,participants - recruited,39077,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2017,participants - recruited,37665,NE,Midwest,NONE,NA
full-year,all_sports,gender,male,2018,participants - recruited,34694,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2015,participants - recruited,16225,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2016,participants - recruited,16700,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2017,participants - recruited,15460,NE,Midwest,NONE,NA
full-year,all_sports,gender,female,2018,participants - recruited,12670,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2015,participants - recruited,10937,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2016,participants - recruited,11179,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2017,participants - recruited,10061,NE,Midwest,NONE,NA
full-year,all_sports,age,18-24,2018,participants - recruited,8635,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2015,participants - recruited,15528,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2016,participants - recruited,15617,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2017,participants - recruited,14494,NE,Midwest,NONE,NA
full-year,all_sports,age,25-34,2018,participants - recruited,12973,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2015,participants - recruited,11478,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2016,participants - recruited,11868,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2017,participants - recruited,11533,NE,Midwest,NONE,NA
full-year,all_sports,age,35-44,2018,participants - recruited,10635,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2015,participants - recruited,9406,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2016,participants - recruited,9466,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2017,participants - recruited,9090,NE,Midwest,NONE,NA
full-year,all_sports,age,45-54,2018,participants - recruited,8024,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2015,participants - recruited,7438,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2016,participants - recruited,7648,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2017,participants - recruited,7947,NE,Midwest,NONE,NA
full-year,all_sports,age,55-64,2018,participants - recruited,7097,NE,Midwest,NONE,NA
