timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,hunt,all,all,2010,participants,206059,SC,Southeast,NONE,NA
full-year,hunt,all,all,2011,participants,210994,SC,Southeast,NONE,NA
full-year,hunt,all,all,2012,participants,205261,SC,Southeast,NONE,NA
full-year,hunt,all,all,2013,participants,212412,SC,Southeast,NONE,NA
full-year,hunt,all,all,2014,participants,209335,SC,Southeast,NONE,NA
full-year,hunt,all,all,2015,participants,207604,SC,Southeast,NONE,NA
full-year,hunt,all,all,2016,participants,200581,SC,Southeast,NONE,NA
full-year,hunt,all,all,2017,participants,198611,SC,Southeast,NONE,NA
full-year,hunt,all,all,2018,participants,194206,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2010,participants,184225,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2011,participants,189029,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2012,participants,184084,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2013,participants,190692,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2014,participants,186310,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2015,participants,184715,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2016,participants,178467,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2017,participants,176895,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2018,participants,172472,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2010,participants,21834,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2011,participants,21965,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2012,participants,21177,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2013,participants,21720,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2014,participants,23025,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2015,participants,22889,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2016,participants,22114,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2017,participants,21716,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2018,participants,21734,SC,Southeast,NONE,NA
full-year,hunt,gender,male,2010,participants,188894,SC,Southeast,NONE,NA
full-year,hunt,gender,male,2011,participants,191404,SC,Southeast,NONE,NA
full-year,hunt,gender,male,2012,participants,185642,SC,Southeast,NONE,NA
full-year,hunt,gender,male,2013,participants,191303,SC,Southeast,NONE,NA
full-year,hunt,gender,male,2014,participants,188288,SC,Southeast,NONE,NA
full-year,hunt,gender,male,2015,participants,185911,SC,Southeast,NONE,NA
full-year,hunt,gender,male,2016,participants,179522,SC,Southeast,NONE,NA
full-year,hunt,gender,male,2017,participants,176662,SC,Southeast,NONE,NA
full-year,hunt,gender,male,2018,participants,172852,SC,Southeast,NONE,NA
full-year,hunt,gender,female,2010,participants,17165,SC,Southeast,NONE,NA
full-year,hunt,gender,female,2011,participants,19590,SC,Southeast,NONE,NA
full-year,hunt,gender,female,2012,participants,19619,SC,Southeast,NONE,NA
full-year,hunt,gender,female,2013,participants,21109,SC,Southeast,NONE,NA
full-year,hunt,gender,female,2014,participants,21047,SC,Southeast,NONE,NA
full-year,hunt,gender,female,2015,participants,21693,SC,Southeast,NONE,NA
full-year,hunt,gender,female,2016,participants,21059,SC,Southeast,NONE,NA
full-year,hunt,gender,female,2017,participants,21949,SC,Southeast,NONE,NA
full-year,hunt,gender,female,2018,participants,21354,SC,Southeast,NONE,NA
full-year,hunt,age,18-24,2010,participants,23178,SC,Southeast,NONE,NA
full-year,hunt,age,18-24,2011,participants,24129,SC,Southeast,NONE,NA
