timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,all_sports,age,18-24,2009,participants,414306.05849164963,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,25-34,2009,participants,681186.6039244822,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,35-44,2009,participants,827309.9194947856,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,45-54,2009,participants,894455.2166979653,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,55-64,2009,participants,674375.2013911173,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,18-24,2010,participants,430370.8505676588,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,25-34,2010,participants,701527.7920727461,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,35-44,2010,participants,837155.0942201571,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,45-54,2010,participants,923622.7593477403,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,55-64,2010,participants,711973.5037916978,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,18-24,2011,participants,448889.4670259057,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,25-34,2011,participants,722719.452714343,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,35-44,2011,participants,835037.3408787964,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,45-54,2011,participants,935941.3354506332,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,55-64,2011,participants,734643.4039303218,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,18-24,2012,participants,469844.10699465044,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,25-34,2012,participants,739617.1473834084,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,35-44,2012,participants,836559.6241446729,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,45-54,2012,participants,941295.3342130106,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,55-64,2012,participants,754176.7872642577,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,18-24,2013,participants,499185.5158482234,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,25-34,2013,participants,774951.875413992,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,35-44,2013,participants,846302.3744245002,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,45-54,2013,participants,963174.6199533876,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,55-64,2013,participants,789617.614359897,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,18-24,2014,participants,517748.44716713484,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
full-year,all_sports,age,25-34,2014,participants,808893.3261202124,Southeast,Southeast,sum,"FL,GA,SC,TN,VA"
