timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,all_sports,age,18-24,2009,participants,856789.0584916497,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,25-34,2009,participants,1371041.6039244821,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,35-44,2009,participants,1568798.9194947856,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,45-54,2009,participants,1756112.2166979653,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,55-64,2009,participants,1305137.2013911172,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,18-24,2010,participants,848211.8505676588,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,25-34,2010,participants,1366423.792072746,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,35-44,2010,participants,1528750.0942201572,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,45-54,2010,participants,1745702.7593477403,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,55-64,2010,participants,1343171.5037916978,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,18-24,2011,participants,860544.4670259056,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,25-34,2011,participants,1381189.452714343,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,35-44,2011,participants,1499322.3408787963,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,45-54,2011,participants,1728859.3354506332,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,55-64,2011,participants,1370800.4039303218,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,18-24,2012,participants,900121.1069946504,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,25-34,2012,participants,1418865.1473834084,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,35-44,2012,participants,1510051.6241446729,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,45-54,2012,participants,1733674.3342130105,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,55-64,2012,participants,1413748.7872642577,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,18-24,2013,participants,930727.5158482234,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,25-34,2013,participants,1450703.875413992,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,35-44,2013,participants,1506974.3744245002,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,45-54,2013,participants,1725667.6199533876,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,55-64,2013,participants,1450943.614359897,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,18-24,2014,participants,952566.4471671348,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,25-34,2014,participants,1492047.3261202124,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,35-44,2014,participants,1518427.2672702326,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,45-54,2014,participants,1725295.9207159346,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,55-64,2014,participants,1496943.0387264856,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,18-24,2015,participants,936297.4471671348,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,25-34,2015,participants,1488862.3261202124,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,35-44,2015,participants,1497576.2672702326,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,45-54,2015,participants,1702051.9207159346,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,55-64,2015,participants,1521800.0387264856,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,18-24,2016,participants,926599.4471671348,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,25-34,2016,participants,1486991.3261202124,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,35-44,2016,participants,1489643.2672702326,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,45-54,2016,participants,1687530.9207159346,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,55-64,2016,participants,1535101.0387264856,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,18-24,2017,participants,901553.4471671348,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,25-34,2017,participants,1454768.3261202124,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,35-44,2017,participants,1473264.2672702326,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,45-54,2017,participants,1657682.9207159346,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,55-64,2017,participants,1530442.0387264856,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,18-24,2018,participants,873246.4471671348,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,25-34,2018,participants,1418004.3261202124,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,35-44,2018,participants,1448575.2672702326,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,45-54,2018,participants,1614626.9207159346,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,age,55-64,2018,participants,1519542.0387264856,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,all,all,2009,participants,6857880,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,all,all,2010,participants,6832262,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,all,all,2011,participants,6840717,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,all,all,2012,participants,6976461,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,all,all,2013,participants,7065020,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,all,all,2014,participants,7185281,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,all,all,2015,participants,7146594,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,all,all,2016,participants,7125869,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,all,all,2017,participants,7017712,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,all,all,2018,participants,6873998,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,gender,female,2009,participants,1482650,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,gender,male,2009,participants,5375230,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,gender,female,2010,participants,1464159,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,gender,male,2010,participants,5368103,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
full-year,all_sports,gender,female,2011,participants,1490808,US,US,sum,"FL,GA,IA,MO,OR,SC,TN,VA,WI"
