timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,hunt,all,all,2009,participants,245166,VA,Southeast,NONE,NA
full-year,hunt,all,all,2010,participants,238272,VA,Southeast,NONE,NA
full-year,hunt,all,all,2011,participants,233092,VA,Southeast,NONE,NA
full-year,hunt,all,all,2012,participants,233805,VA,Southeast,NONE,NA
full-year,hunt,all,all,2013,participants,238324,VA,Southeast,NONE,NA
full-year,hunt,all,all,2014,participants,234775,VA,Southeast,NONE,NA
full-year,hunt,all,all,2015,participants,230068,VA,Southeast,NONE,NA
full-year,hunt,all,all,2016,participants,223215,VA,Southeast,NONE,NA
full-year,hunt,all,all,2017,participants,217583,VA,Southeast,NONE,NA
full-year,hunt,all,all,2018,participants,211965,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2009,participants,224713,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2010,participants,218819,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2011,participants,214871,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2012,participants,215844,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2013,participants,220167,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2014,participants,216249,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2015,participants,211365,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2016,participants,204674,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2017,participants,199391,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2018,participants,193396,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2009,participants,20453,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2010,participants,19453,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2011,participants,18221,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2012,participants,17961,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2013,participants,18157,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2014,participants,18526,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2015,participants,18703,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2016,participants,18541,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2017,participants,18192,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2018,participants,18569,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2009,participants,228318,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2010,participants,221299,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2011,participants,215879,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2012,participants,214758,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2013,participants,217976,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2014,participants,213478,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2015,participants,208568,VA,Southeast,NONE,NA
