timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,hunt,all,all,2010,participants,559638,WI,Midwest,NONE,NA
full-year,hunt,all,all,2011,participants,556061,WI,Midwest,NONE,NA
full-year,hunt,all,all,2012,participants,561974,WI,Midwest,NONE,NA
full-year,hunt,all,all,2013,participants,557788,WI,Midwest,NONE,NA
full-year,hunt,all,all,2014,participants,539525,WI,Midwest,NONE,NA
full-year,hunt,all,all,2015,participants,541414,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2010,participants,517585,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2011,participants,514275,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2012,participants,519605,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2013,participants,514512,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2014,participants,498401,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2015,participants,498773,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2010,participants,42053,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2011,participants,41786,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2012,participants,42369,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2013,participants,43276,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2014,participants,41124,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2015,participants,42641,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2010,participants,511692,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2011,participants,506798,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2012,participants,508519,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2013,participants,503153,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2014,participants,484845,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2015,participants,483375,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2010,participants,47946,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2011,participants,49263,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2012,participants,53455,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2013,participants,54635,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2014,participants,54680,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2015,participants,58039,WI,Midwest,NONE,NA
full-year,hunt,age,18-24,2010,participants,75117,WI,Midwest,NONE,NA
full-year,hunt,age,18-24,2011,participants,73975,WI,Midwest,NONE,NA
full-year,hunt,age,18-24,2012,participants,75202,WI,Midwest,NONE,NA
full-year,hunt,age,18-24,2013,participants,75482,WI,Midwest,NONE,NA
full-year,hunt,age,18-24,2014,participants,72423,WI,Midwest,NONE,NA
full-year,hunt,age,18-24,2015,participants,71333,WI,Midwest,NONE,NA
full-year,hunt,age,25-34,2010,participants,108085,WI,Midwest,NONE,NA
full-year,hunt,age,25-34,2011,participants,109040,WI,Midwest,NONE,NA
full-year,hunt,age,25-34,2012,participants,112162,WI,Midwest,NONE,NA
full-year,hunt,age,25-34,2013,participants,113267,WI,Midwest,NONE,NA
full-year,hunt,age,25-34,2014,participants,110701,WI,Midwest,NONE,NA
full-year,hunt,age,25-34,2015,participants,111838,WI,Midwest,NONE,NA
full-year,hunt,age,35-44,2010,participants,120371,WI,Midwest,NONE,NA
full-year,hunt,age,35-44,2011,participants,115244,WI,Midwest,NONE,NA
full-year,hunt,age,35-44,2012,participants,113336,WI,Midwest,NONE,NA
full-year,hunt,age,35-44,2013,participants,110575,WI,Midwest,NONE,NA
full-year,hunt,age,35-44,2014,participants,105847,WI,Midwest,NONE,NA
full-year,hunt,age,35-44,2015,participants,105107,WI,Midwest,NONE,NA
full-year,hunt,age,45-54,2010,participants,151636,WI,Midwest,NONE,NA
full-year,hunt,age,45-54,2011,participants,150175,WI,Midwest,NONE,NA
full-year,hunt,age,45-54,2012,participants,149573,WI,Midwest,NONE,NA
full-year,hunt,age,45-54,2013,participants,144607,WI,Midwest,NONE,NA
full-year,hunt,age,45-54,2014,participants,136427,WI,Midwest,NONE,NA
full-year,hunt,age,45-54,2015,participants,133634,WI,Midwest,NONE,NA
full-year,hunt,age,55-64,2010,participants,104429,WI,Midwest,NONE,NA
full-year,hunt,age,55-64,2011,participants,107627,WI,Midwest,NONE,NA
full-year,hunt,age,55-64,2012,participants,111702,WI,Midwest,NONE,NA
full-year,hunt,age,55-64,2013,participants,113858,WI,Midwest,NONE,NA
full-year,hunt,age,55-64,2014,participants,114128,WI,Midwest,NONE,NA
full-year,hunt,age,55-64,2015,participants,119503,WI,Midwest,NONE,NA
full-year,hunt,all,all,2014,participants - recruited,30441,WI,Midwest,NONE,NA
full-year,hunt,all,all,2015,participants - recruited,31094,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2014,participants - recruited,22553,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2015,participants - recruited,22767,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2014,participants - recruited,7888,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2015,participants - recruited,8327,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2014,participants - recruited,22242,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2015,participants - recruited,22665,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2014,participants - recruited,8199,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2015,participants - recruited,8429,WI,Midwest,NONE,NA
full-year,hunt,age,18-24,2014,participants - recruited,5726,WI,Midwest,NONE,NA
full-year,hunt,age,18-24,2015,participants - recruited,5406,WI,Midwest,NONE,NA
full-year,hunt,age,25-34,2014,participants - recruited,8589,WI,Midwest,NONE,NA
full-year,hunt,age,25-34,2015,participants - recruited,8833,WI,Midwest,NONE,NA
full-year,hunt,age,35-44,2014,participants - recruited,6151,WI,Midwest,NONE,NA
full-year,hunt,age,35-44,2015,participants - recruited,6132,WI,Midwest,NONE,NA
full-year,hunt,age,45-54,2014,participants - recruited,5985,WI,Midwest,NONE,NA
full-year,hunt,age,45-54,2015,participants - recruited,6205,WI,Midwest,NONE,NA
full-year,hunt,age,55-64,2014,participants - recruited,3989,WI,Midwest,NONE,NA
full-year,hunt,age,55-64,2015,participants - recruited,4517,WI,Midwest,NONE,NA
full-year,hunt,all,all,2010,churn,0.143091060169119,WI,Midwest,NONE,NA
full-year,hunt,all,all,2011,churn,0.134238561355734,WI,Midwest,NONE,NA
full-year,hunt,all,all,2012,churn,0.12813702093835,WI,Midwest,NONE,NA
full-year,hunt,all,all,2013,churn,0.139881916245236,WI,Midwest,NONE,NA
full-year,hunt,all,all,2014,churn,0.154377648855838,WI,Midwest,NONE,NA
full-year,hunt,all,all,2015,churn,0.136054863074,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2010,churn,0.127891377852117,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2011,churn,0.120411605481633,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2012,churn,0.113975985610811,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2013,churn,0.126532654612638,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2014,churn,0.138735345336941,WI,Midwest,NONE,NA
full-year,hunt,residency,resident,2015,churn,0.122151127911573,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2010,churn,0.324267027514659,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2011,churn,0.304377808955366,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2012,churn,0.302421863782128,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2013,churn,0.303594609266209,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2014,churn,0.340350309640447,WI,Midwest,NONE,NA
full-year,hunt,residency,nonresident,2015,churn,0.304566676393347,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2010,churn,0.132110738510784,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2011,churn,0.123060384844665,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2012,churn,0.117254934463692,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2013,churn,0.126270264742151,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2014,churn,0.140882780883019,WI,Midwest,NONE,NA
full-year,hunt,gender,male,2015,churn,0.123411435396138,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2010,churn,0.262746161548732,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2011,churn,0.253144490102418,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2012,churn,0.239737707580495,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2013,churn,0.268966678515969,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2014,churn,0.27820897708135,WI,Midwest,NONE,NA
full-year,hunt,gender,female,2015,churn,0.247814317591543,WI,Midwest,NONE,NA
full-year,hunt,age,18-24,2010,churn,0.201269980859759,WI,Midwest,NONE,NA
full-year,hunt,age,18-24,2011,churn,0.195031684328239,WI,Midwest,NONE,NA
