timeframe,group,segment,year,category,metric,value
full-year,hunt,All,2009,All,participants,188467
full-year,hunt,All,2010,All,participants,180988
full-year,hunt,All,2011,All,participants,177257
full-year,hunt,All,2012,All,participants,178784
full-year,hunt,All,2013,All,participants,176870
full-year,hunt,All,2014,All,participants,178386
full-year,hunt,All,2015,All,participants,179088
full-year,hunt,All,2016,All,participants,177421
full-year,hunt,All,2017,All,participants,173812
full-year,hunt,All,2018,All,participants,170111
full-year,hunt,Residency,2009,Resident,participants,174006
full-year,hunt,Residency,2010,Resident,participants,167372
full-year,hunt,Residency,2011,Resident,participants,164624
full-year,hunt,Residency,2012,Resident,participants,166249
full-year,hunt,Residency,2013,Resident,participants,164719
full-year,hunt,Residency,2014,Resident,participants,166413
full-year,hunt,Residency,2015,Resident,participants,166397
full-year,hunt,Residency,2016,Resident,participants,164539
full-year,hunt,Residency,2017,Resident,participants,160674
full-year,hunt,Residency,2018,Resident,participants,156519
full-year,hunt,Residency,2009,Nonresident,participants,14461
full-year,hunt,Residency,2010,Nonresident,participants,13616
full-year,hunt,Residency,2011,Nonresident,participants,12633
full-year,hunt,Residency,2012,Nonresident,participants,12535
full-year,hunt,Residency,2013,Nonresident,participants,12151
full-year,hunt,Residency,2014,Nonresident,participants,11973
full-year,hunt,Residency,2015,Nonresident,participants,12691
full-year,hunt,Residency,2016,Nonresident,participants,12882
full-year,hunt,Residency,2017,Nonresident,participants,13138
full-year,hunt,Residency,2018,Nonresident,participants,13592
full-year,hunt,Gender,2009,Male,participants,178550
full-year,hunt,Gender,2010,Male,participants,171439
full-year,hunt,Gender,2011,Male,participants,167436
full-year,hunt,Gender,2012,Male,participants,167964
full-year,hunt,Gender,2013,Male,participants,165503
full-year,hunt,Gender,2014,Male,participants,166255
full-year,hunt,Gender,2015,Male,participants,166182
full-year,hunt,Gender,2016,Male,participants,164105
full-year,hunt,Gender,2017,Male,participants,160543
full-year,hunt,Gender,2018,Male,participants,157130
full-year,hunt,Gender,2009,Female,participants,9917
full-year,hunt,Gender,2010,Female,participants,9549
full-year,hunt,Gender,2011,Female,participants,9821
full-year,hunt,Gender,2012,Female,participants,10820
full-year,hunt,Gender,2013,Female,participants,11367
full-year,hunt,Gender,2014,Female,participants,12131
full-year,hunt,Gender,2015,Female,participants,12906
full-year,hunt,Gender,2016,Female,participants,13316
full-year,hunt,Gender,2017,Female,participants,13269
full-year,hunt,Gender,2018,Female,participants,12981
full-year,hunt,Age,2009,18-24,participants,25884
full-year,hunt,Age,2010,18-24,participants,24109
full-year,hunt,Age,2011,18-24,participants,23841
full-year,hunt,Age,2012,18-24,participants,24450
full-year,hunt,Age,2013,18-24,participants,24890
full-year,hunt,Age,2014,18-24,participants,25259
full-year,hunt,Age,2015,18-24,participants,25030
full-year,hunt,Age,2016,18-24,participants,24510
full-year,hunt,Age,2017,18-24,participants,23681
full-year,hunt,Age,2018,18-24,participants,22838
full-year,hunt,Age,2009,25-34,participants,39414
full-year,hunt,Age,2010,25-34,participants,37854
full-year,hunt,Age,2011,25-34,participants,37298
full-year,hunt,Age,2012,25-34,participants,37988
full-year,hunt,Age,2013,25-34,participants,38357
full-year,hunt,Age,2014,25-34,participants,39247
full-year,hunt,Age,2015,25-34,participants,39574
full-year,hunt,Age,2016,25-34,participants,39509
full-year,hunt,Age,2017,25-34,participants,38363
full-year,hunt,Age,2018,25-34,participants,37548
full-year,hunt,Age,2009,35-44,participants,42598
full-year,hunt,Age,2010,35-44,participants,39824
full-year,hunt,Age,2011,35-44,participants,37947
full-year,hunt,Age,2012,35-44,participants,37806
full-year,hunt,Age,2013,35-44,participants,36812
full-year,hunt,Age,2014,35-44,participants,36656
full-year,hunt,Age,2015,35-44,participants,36365
full-year,hunt,Age,2016,35-44,participants,36146
full-year,hunt,Age,2017,35-44,participants,36152
full-year,hunt,Age,2018,35-44,participants,36088
full-year,hunt,Age,2009,45-54,participants,48558
