timeframe,group,segment,year,category,metric,value,state
full-year,hunt,all,2009,all,participants,188467,IA
full-year,hunt,all,2010,all,participants,180988,IA
full-year,hunt,all,2011,all,participants,177257,IA
full-year,hunt,all,2012,all,participants,178784,IA
full-year,hunt,all,2013,all,participants,176870,IA
full-year,hunt,all,2014,all,participants,178386,IA
full-year,hunt,all,2015,all,participants,179088,IA
full-year,hunt,all,2016,all,participants,177421,IA
full-year,hunt,all,2017,all,participants,173812,IA
full-year,hunt,all,2018,all,participants,170111,IA
full-year,hunt,residency,2009,resident,participants,174006,IA
full-year,hunt,residency,2010,resident,participants,167372,IA
full-year,hunt,residency,2011,resident,participants,164624,IA
full-year,hunt,residency,2012,resident,participants,166249,IA
full-year,hunt,residency,2013,resident,participants,164719,IA
full-year,hunt,residency,2014,resident,participants,166413,IA
full-year,hunt,residency,2015,resident,participants,166397,IA
full-year,hunt,residency,2016,resident,participants,164539,IA
full-year,hunt,residency,2017,resident,participants,160674,IA
full-year,hunt,residency,2018,resident,participants,156519,IA
full-year,hunt,residency,2009,nonresident,participants,14461,IA
full-year,hunt,residency,2010,nonresident,participants,13616,IA
full-year,hunt,residency,2011,nonresident,participants,12633,IA
full-year,hunt,residency,2012,nonresident,participants,12535,IA
full-year,hunt,residency,2013,nonresident,participants,12151,IA
full-year,hunt,residency,2014,nonresident,participants,11973,IA
full-year,hunt,residency,2015,nonresident,participants,12691,IA
full-year,hunt,residency,2016,nonresident,participants,12882,IA
full-year,hunt,residency,2017,nonresident,participants,13138,IA
full-year,hunt,residency,2018,nonresident,participants,13592,IA
full-year,hunt,gender,2009,male,participants,178550,IA
full-year,hunt,gender,2010,male,participants,171439,IA
full-year,hunt,gender,2011,male,participants,167436,IA
full-year,hunt,gender,2012,male,participants,167964,IA
full-year,hunt,gender,2013,male,participants,165503,IA
full-year,hunt,gender,2014,male,participants,166255,IA
full-year,hunt,gender,2015,male,participants,166182,IA
full-year,hunt,gender,2016,male,participants,164105,IA
full-year,hunt,gender,2017,male,participants,160543,IA
full-year,hunt,gender,2018,male,participants,157130,IA
full-year,hunt,gender,2009,female,participants,9917,IA
full-year,hunt,gender,2010,female,participants,9549,IA
full-year,hunt,gender,2011,female,participants,9821,IA
full-year,hunt,gender,2012,female,participants,10820,IA
full-year,hunt,gender,2013,female,participants,11367,IA
full-year,hunt,gender,2014,female,participants,12131,IA
full-year,hunt,gender,2015,female,participants,12906,IA
full-year,hunt,gender,2016,female,participants,13316,IA
full-year,hunt,gender,2017,female,participants,13269,IA
full-year,hunt,gender,2018,female,participants,12981,IA
full-year,hunt,age,2009,18-24,participants,25884,IA
full-year,hunt,age,2010,18-24,participants,24109,IA
full-year,hunt,age,2011,18-24,participants,23841,IA
full-year,hunt,age,2012,18-24,participants,24450,IA
full-year,hunt,age,2013,18-24,participants,24890,IA
full-year,hunt,age,2014,18-24,participants,25259,IA
full-year,hunt,age,2015,18-24,participants,25030,IA
full-year,hunt,age,2016,18-24,participants,24510,IA
full-year,hunt,age,2017,18-24,participants,23681,IA
full-year,hunt,age,2018,18-24,participants,22838,IA
full-year,hunt,age,2009,25-34,participants,39414,IA
full-year,hunt,age,2010,25-34,participants,37854,IA
full-year,hunt,age,2011,25-34,participants,37298,IA
full-year,hunt,age,2012,25-34,participants,37988,IA
full-year,hunt,age,2013,25-34,participants,38357,IA
full-year,hunt,age,2014,25-34,participants,39247,IA
full-year,hunt,age,2015,25-34,participants,39574,IA
full-year,hunt,age,2016,25-34,participants,39509,IA
full-year,hunt,age,2017,25-34,participants,38363,IA
full-year,hunt,age,2018,25-34,participants,37548,IA
full-year,hunt,age,2009,35-44,participants,42598,IA
full-year,hunt,age,2010,35-44,participants,39824,IA
full-year,hunt,age,2011,35-44,participants,37947,IA
full-year,hunt,age,2012,35-44,participants,37806,IA
full-year,hunt,age,2013,35-44,participants,36812,IA
full-year,hunt,age,2014,35-44,participants,36656,IA
full-year,hunt,age,2015,35-44,participants,36365,IA
full-year,hunt,age,2016,35-44,participants,36146,IA
full-year,hunt,age,2017,35-44,participants,36152,IA
full-year,hunt,age,2018,35-44,participants,36088,IA
full-year,hunt,age,2009,45-54,participants,48558,IA
full-year,hunt,age,2010,45-54,participants,46544,IA
full-year,hunt,age,2011,45-54,participants,45054,IA
full-year,hunt,age,2012,45-54,participants,44425,IA
full-year,hunt,age,2013,45-54,participants,42546,IA
full-year,hunt,age,2014,45-54,participants,41829,IA
full-year,hunt,age,2015,45-54,participants,41273,IA
full-year,hunt,age,2016,45-54,participants,39856,IA
full-year,hunt,age,2017,45-54,participants,38281,IA
full-year,hunt,age,2018,45-54,participants,36296,IA
full-year,hunt,age,2009,55-64,participants,32012,IA
full-year,hunt,age,2010,55-64,participants,32656,IA
full-year,hunt,age,2011,55-64,participants,33116,IA
full-year,hunt,age,2012,55-64,participants,34114,IA
full-year,hunt,age,2013,55-64,participants,34264,IA
full-year,hunt,age,2014,55-64,participants,35394,IA
full-year,hunt,age,2015,55-64,participants,36845,IA
full-year,hunt,age,2016,55-64,participants,37398,IA
full-year,hunt,age,2017,55-64,participants,37334,IA
full-year,hunt,age,2018,55-64,participants,37342,IA
full-year,hunt,all,2014,all,recruits,15972,IA
full-year,hunt,all,2015,all,recruits,16117,IA
full-year,hunt,all,2016,all,recruits,15508,IA
full-year,hunt,all,2017,all,recruits,14625,IA
full-year,hunt,all,2018,all,recruits,13913,IA
full-year,hunt,residency,2014,resident,recruits,12754,IA
full-year,hunt,residency,2015,resident,recruits,12559,IA
full-year,hunt,residency,2016,resident,recruits,11964,IA
full-year,hunt,residency,2017,resident,recruits,10938,IA
full-year,hunt,residency,2018,resident,recruits,10269,IA
full-year,hunt,residency,2014,nonresident,recruits,3218,IA
full-year,hunt,residency,2015,nonresident,recruits,3558,IA
full-year,hunt,residency,2016,nonresident,recruits,3544,IA
full-year,hunt,residency,2017,nonresident,recruits,3687,IA
full-year,hunt,residency,2018,nonresident,recruits,3644,IA
full-year,hunt,gender,2014,male,recruits,13102,IA
full-year,hunt,gender,2015,male,recruits,13222,IA
full-year,hunt,gender,2016,male,recruits,12681,IA
full-year,hunt,gender,2017,male,recruits,12106,IA
full-year,hunt,gender,2018,male,recruits,11502,IA
full-year,hunt,gender,2014,female,recruits,2870,IA
full-year,hunt,gender,2015,female,recruits,2895,IA
full-year,hunt,gender,2016,female,recruits,2827,IA
full-year,hunt,gender,2017,female,recruits,2519,IA
full-year,hunt,gender,2018,female,recruits,2411,IA
full-year,hunt,age,2014,18-24,recruits,3439,IA
full-year,hunt,age,2015,18-24,recruits,3282,IA
full-year,hunt,age,2016,18-24,recruits,3037,IA
full-year,hunt,age,2017,18-24,recruits,2909,IA
full-year,hunt,age,2018,18-24,recruits,2676,IA
full-year,hunt,age,2014,25-34,recruits,4272,IA
full-year,hunt,age,2015,25-34,recruits,4343,IA
full-year,hunt,age,2016,25-34,recruits,4168,IA
full-year,hunt,age,2017,25-34,recruits,3704,IA
full-year,hunt,age,2018,25-34,recruits,3551,IA
full-year,hunt,age,2014,35-44,recruits,3105,IA
full-year,hunt,age,2015,35-44,recruits,3018,IA
full-year,hunt,age,2016,35-44,recruits,2945,IA
full-year,hunt,age,2017,35-44,recruits,2896,IA
full-year,hunt,age,2018,35-44,recruits,2827,IA
full-year,hunt,age,2014,45-54,recruits,2958,IA
full-year,hunt,age,2015,45-54,recruits,3084,IA
full-year,hunt,age,2016,45-54,recruits,2909,IA
full-year,hunt,age,2017,45-54,recruits,2763,IA
full-year,hunt,age,2018,45-54,recruits,2613,IA
full-year,hunt,age,2014,55-64,recruits,2198,IA
full-year,hunt,age,2015,55-64,recruits,2390,IA
full-year,hunt,age,2016,55-64,recruits,2448,IA
full-year,hunt,age,2017,55-64,recruits,2353,IA
full-year,hunt,age,2018,55-64,recruits,2245,IA
full-year,hunt,all,2010,all,churn,0.2073466442401058,IA
full-year,hunt,all,2011,all,churn,0.19713461665966808,IA
full-year,hunt,all,2012,all,churn,0.18277980559300896,IA
full-year,hunt,all,2013,all,churn,0.1960801861464113,IA
full-year,hunt,all,2014,all,churn,0.18328150619098768,IA
full-year,hunt,all,2015,all,churn,0.1826264392945635,IA
full-year,hunt,all,2016,all,churn,0.1871984722594478,IA
full-year,hunt,all,2017,all,churn,0.192153127307365,IA
full-year,hunt,all,2018,all,churn,0.19100522403516443,IA
full-year,hunt,residency,2010,resident,churn,0.18664873625047407,IA
full-year,hunt,residency,2011,resident,churn,0.17561479817412706,IA
full-year,hunt,residency,2012,resident,churn,0.16271017591602685,IA
full-year,hunt,residency,2013,resident,churn,0.1766386564731216,IA
full-year,hunt,residency,2014,resident,churn,0.16279846283670976,IA
full-year,hunt,residency,2015,resident,churn,0.16423596714199007,IA
full-year,hunt,residency,2016,resident,churn,0.16755109767603982,IA
full-year,hunt,residency,2017,resident,churn,0.17244543846747576,IA
full-year,hunt,residency,2018,resident,churn,0.17165191630257542,IA
full-year,hunt,residency,2010,nonresident,churn,0.4563999723393956,IA
full-year,hunt,residency,2011,nonresident,churn,0.46166274970622795,IA
full-year,hunt,residency,2012,nonresident,churn,0.4443125148420803,IA
full-year,hunt,residency,2013,nonresident,churn,0.45392899880335064,IA
full-year,hunt,residency,2014,nonresident,churn,0.4609497160727512,IA
full-year,hunt,residency,2015,nonresident,churn,0.4382360310699073,IA
full-year,hunt,residency,2016,nonresident,churn,0.44480340398707746,IA
full-year,hunt,residency,2017,nonresident,churn,0.4438751746623195,IA
full-year,hunt,residency,2018,nonresident,churn,0.42769066829045516,IA
full-year,hunt,gender,2010,male,churn,0.1981595985393284,IA
full-year,hunt,gender,2011,male,churn,0.18820434447840592,IA
full-year,hunt,gender,2012,male,churn,0.17436124084713978,IA
full-year,hunt,gender,2013,male,churn,0.18614329431657167,IA
full-year,hunt,gender,2014,male,churn,0.17336451139268036,IA
full-year,hunt,gender,2015,male,churn,0.17245506820970577,IA
full-year,hunt,gender,2016,male,churn,0.17651235700832227,IA
full-year,hunt,gender,2017,male,churn,0.1811788937435635,IA
full-year,hunt,gender,2018,male,churn,0.1796726090368875,IA
full-year,hunt,gender,2010,female,churn,0.37279419179187256,IA
full-year,hunt,gender,2011,female,churn,0.3574196250916326,IA
full-year,hunt,gender,2012,female,churn,0.32634151308420734,IA
full-year,hunt,gender,2013,female,churn,0.350369685767098,IA
full-year,hunt,gender,2014,female,churn,0.32770299991202606,IA
full-year,hunt,gender,2015,female,churn,0.32198499711482975,IA
full-year,hunt,gender,2016,female,churn,0.3248101658143499,IA
full-year,hunt,gender,2017,female,churn,0.32735055572243915,IA
full-year,hunt,gender,2018,female,churn,0.32813324289697793,IA
full-year,hunt,age,2010,18-24,churn,0.24930458970792768,IA
full-year,hunt,age,2011,18-24,churn,0.23501596914015513,IA
full-year,hunt,age,2012,18-24,churn,0.2159724843756554,IA
full-year,hunt,age,2013,18-24,churn,0.23194274028629858,IA
full-year,hunt,age,2014,18-24,churn,0.22209722780233027,IA
full-year,hunt,age,2015,18-24,churn,0.22392018686408804,IA
full-year,hunt,age,2016,18-24,churn,0.2296843787455054,IA
full-year,hunt,age,2017,18-24,churn,0.2390452876376989,IA
full-year,hunt,age,2018,18-24,churn,0.23740551496980702,IA
full-year,hunt,age,2010,25-34,churn,0.21434008220429288,IA
full-year,hunt,age,2011,25-34,churn,0.1989485919585777,IA
full-year,hunt,age,2012,25-34,churn,0.18293206070030565,IA
full-year,hunt,age,2013,25-34,churn,0.19308729072338632,IA
full-year,hunt,age,2014,25-34,churn,0.18883124331934198,IA
full-year,hunt,age,2015,25-34,churn,0.18862588223303692,IA
full-year,hunt,age,2016,25-34,churn,0.19525445999898924,IA
full-year,hunt,age,2017,25-34,churn,0.20266268445164393,IA
full-year,hunt,age,2018,25-34,churn,0.19849855329353805,IA
full-year,hunt,age,2010,35-44,churn,0.2052443776703132,IA
full-year,hunt,age,2011,35-44,churn,0.1980212936922459,IA
full-year,hunt,age,2012,35-44,churn,0.18278124752944896,IA
full-year,hunt,age,2013,35-44,churn,0.19287943712638206,IA
full-year,hunt,age,2014,35-44,churn,0.1818428773226122,IA
full-year,hunt,age,2015,35-44,churn,0.18087079877782627,IA
full-year,hunt,age,2016,35-44,churn,0.1806682249415647,IA
full-year,hunt,age,2017,35-44,churn,0.18226083107397775,IA
full-year,hunt,age,2018,35-44,churn,0.18549457844655898,IA
full-year,hunt,age,2010,45-54,churn,0.1928209563820586,IA
full-year,hunt,age,2011,45-54,churn,0.1856737710553455,IA
full-year,hunt,age,2012,45-54,churn,0.1751897722732721,IA
full-year,hunt,age,2013,45-54,churn,0.19133370849746761,IA
full-year,hunt,age,2014,45-54,churn,0.17275419545903256,IA
full-year,hunt,age,2015,45-54,churn,0.17220110449688014,IA
full-year,hunt,age,2016,45-54,churn,0.17791292128025588,IA
full-year,hunt,age,2017,45-54,churn,0.17766459253311923,IA
full-year,hunt,age,2018,45-54,churn,0.18084689532666337,IA
full-year,hunt,age,2010,55-64,churn,0.18964763213794827,IA
full-year,hunt,age,2011,55-64,churn,0.18232484076433123,IA
full-year,hunt,age,2012,55-64,churn,0.1690421548496195,IA
full-year,hunt,age,2013,55-64,churn,0.18344374743507066,IA
full-year,hunt,age,2014,55-64,churn,0.16349521363530237,IA
full-year,hunt,age,2015,55-64,churn,0.16064869751935357,IA
full-year,hunt,age,2016,55-64,churn,0.16653548649748948,IA
full-year,hunt,age,2017,55-64,churn,0.17530349216535643,IA
full-year,hunt,age,2018,55-64,churn,0.16963089944822413,IA
full-year,fish,all,2009,all,participants,308910,IA
full-year,fish,all,2010,all,participants,286396,IA
full-year,fish,all,2011,all,participants,284724,IA
full-year,fish,all,2012,all,participants,304376,IA
full-year,fish,all,2013,all,participants,286524,IA
full-year,fish,all,2014,all,participants,289354,IA
full-year,fish,all,2015,all,participants,299677,IA
full-year,fish,all,2016,all,participants,304852,IA
full-year,fish,all,2017,all,participants,298236,IA
full-year,fish,all,2018,all,participants,268209,IA
full-year,fish,residency,2009,resident,participants,308909,IA
full-year,fish,residency,2010,resident,participants,286395,IA
full-year,fish,residency,2011,resident,participants,284723,IA
full-year,fish,residency,2012,resident,participants,304375,IA
full-year,fish,residency,2013,resident,participants,286519,IA
full-year,fish,residency,2014,resident,participants,289341,IA
full-year,fish,residency,2015,resident,participants,299662,IA
full-year,fish,residency,2016,resident,participants,304839,IA
full-year,fish,residency,2017,resident,participants,298225,IA
full-year,fish,residency,2018,resident,participants,268199,IA
full-year,fish,residency,2009,nonresident,participants,1,IA
full-year,fish,residency,2010,nonresident,participants,1,IA
full-year,fish,residency,2011,nonresident,participants,1,IA
full-year,fish,residency,2012,nonresident,participants,1,IA
full-year,fish,residency,2013,nonresident,participants,5,IA
full-year,fish,residency,2014,nonresident,participants,13,IA
full-year,fish,residency,2015,nonresident,participants,15,IA
full-year,fish,residency,2016,nonresident,participants,13,IA
full-year,fish,residency,2017,nonresident,participants,11,IA
full-year,fish,residency,2018,nonresident,participants,10,IA
full-year,fish,gender,2009,male,participants,234836,IA
full-year,fish,gender,2010,male,participants,219613,IA
full-year,fish,gender,2011,male,participants,218180,IA
full-year,fish,gender,2012,male,participants,229636,IA
full-year,fish,gender,2013,male,participants,219010,IA
full-year,fish,gender,2014,male,participants,218808,IA
full-year,fish,gender,2015,male,participants,225368,IA
full-year,fish,gender,2016,male,participants,227043,IA
full-year,fish,gender,2017,male,participants,221374,IA
full-year,fish,gender,2018,male,participants,202860,IA
full-year,fish,gender,2009,female,participants,74074,IA
full-year,fish,gender,2010,female,participants,66783,IA
full-year,fish,gender,2011,female,participants,66544,IA
full-year,fish,gender,2012,female,participants,74740,IA
full-year,fish,gender,2013,female,participants,67514,IA
full-year,fish,gender,2014,female,participants,70546,IA
full-year,fish,gender,2015,female,participants,74309,IA
full-year,fish,gender,2016,female,participants,77809,IA
full-year,fish,gender,2017,female,participants,76862,IA
full-year,fish,gender,2018,female,participants,65349,IA
full-year,fish,age,2009,18-24,participants,47139,IA
full-year,fish,age,2010,18-24,participants,43285,IA
full-year,fish,age,2011,18-24,participants,43776,IA
full-year,fish,age,2012,18-24,participants,49318,IA
full-year,fish,age,2013,18-24,participants,46872,IA
full-year,fish,age,2014,18-24,participants,47199,IA
full-year,fish,age,2015,18-24,participants,47965,IA
full-year,fish,age,2016,18-24,participants,47638,IA
full-year,fish,age,2017,18-24,participants,45539,IA
full-year,fish,age,2018,18-24,participants,39301,IA
full-year,fish,age,2009,25-34,participants,68896,IA
full-year,fish,age,2010,25-34,participants,64032,IA
full-year,fish,age,2011,25-34,participants,63967,IA
full-year,fish,age,2012,25-34,participants,68925,IA
full-year,fish,age,2013,25-34,participants,64853,IA
full-year,fish,age,2014,25-34,participants,66005,IA
full-year,fish,age,2015,25-34,participants,68673,IA
full-year,fish,age,2016,25-34,participants,69835,IA
full-year,fish,age,2017,25-34,participants,67104,IA
full-year,fish,age,2018,25-34,participants,59357,IA
full-year,fish,age,2009,35-44,participants,68383,IA
full-year,fish,age,2010,35-44,participants,61202,IA
full-year,fish,age,2011,35-44,participants,60365,IA
full-year,fish,age,2012,35-44,participants,63666,IA
full-year,fish,age,2013,35-44,participants,59889,IA
full-year,fish,age,2014,35-44,participants,60569,IA
full-year,fish,age,2015,35-44,participants,63107,IA
full-year,fish,age,2016,35-44,participants,65070,IA
full-year,fish,age,2017,35-44,participants,65417,IA
full-year,fish,age,2018,35-44,participants,60100,IA
full-year,fish,age,2009,45-54,participants,72307,IA
full-year,fish,age,2010,45-54,participants,66398,IA
full-year,fish,age,2011,45-54,participants,64717,IA
full-year,fish,age,2012,45-54,participants,66981,IA
full-year,fish,age,2013,45-54,participants,61460,IA
full-year,fish,age,2014,45-54,participants,60375,IA
full-year,fish,age,2015,45-54,participants,61256,IA
full-year,fish,age,2016,45-54,participants,61571,IA
full-year,fish,age,2017,45-54,participants,59438,IA
full-year,fish,age,2018,45-54,participants,52937,IA
full-year,fish,age,2009,55-64,participants,52184,IA
full-year,fish,age,2010,55-64,participants,51479,IA
full-year,fish,age,2011,55-64,participants,51899,IA
full-year,fish,age,2012,55-64,participants,55486,IA
full-year,fish,age,2013,55-64,participants,53450,IA
full-year,fish,age,2014,55-64,participants,55205,IA
full-year,fish,age,2015,55-64,participants,58676,IA
full-year,fish,age,2016,55-64,participants,60737,IA
full-year,fish,age,2017,55-64,participants,60736,IA
full-year,fish,age,2018,55-64,participants,56515,IA
full-year,fish,all,2014,all,recruits,45413,IA
full-year,fish,all,2015,all,recruits,48194,IA
full-year,fish,all,2016,all,recruits,49997,IA
full-year,fish,all,2017,all,recruits,46187,IA
full-year,fish,all,2018,all,recruits,36067,IA
full-year,fish,residency,2014,resident,recruits,45406,IA
full-year,fish,residency,2015,resident,recruits,48193,IA
full-year,fish,residency,2016,resident,recruits,49995,IA
full-year,fish,residency,2017,resident,recruits,46184,IA
full-year,fish,residency,2018,resident,recruits,36066,IA
full-year,fish,residency,2014,nonresident,recruits,7,IA
full-year,fish,residency,2015,nonresident,recruits,1,IA
full-year,fish,residency,2016,nonresident,recruits,2,IA
full-year,fish,residency,2017,nonresident,recruits,3,IA
full-year,fish,residency,2018,nonresident,recruits,1,IA
full-year,fish,gender,2014,male,recruits,27126,IA
full-year,fish,gender,2015,male,recruits,28755,IA
full-year,fish,gender,2016,male,recruits,29505,IA
full-year,fish,gender,2017,male,recruits,27138,IA
full-year,fish,gender,2018,male,recruits,21862,IA
full-year,fish,gender,2014,female,recruits,18287,IA
full-year,fish,gender,2015,female,recruits,19439,IA
full-year,fish,gender,2016,female,recruits,20492,IA
full-year,fish,gender,2017,female,recruits,19049,IA
full-year,fish,gender,2018,female,recruits,14205,IA
full-year,fish,age,2014,18-24,recruits,12780,IA
full-year,fish,age,2015,18-24,recruits,12722,IA
full-year,fish,age,2016,18-24,recruits,12210,IA
full-year,fish,age,2017,18-24,recruits,11042,IA
full-year,fish,age,2018,18-24,recruits,8544,IA
full-year,fish,age,2014,25-34,recruits,11827,IA
full-year,fish,age,2015,25-34,recruits,12692,IA
full-year,fish,age,2016,25-34,recruits,12737,IA
full-year,fish,age,2017,25-34,recruits,11428,IA
full-year,fish,age,2018,25-34,recruits,8955,IA
full-year,fish,age,2014,35-44,recruits,8423,IA
full-year,fish,age,2015,35-44,recruits,9187,IA
full-year,fish,age,2016,35-44,recruits,9985,IA
full-year,fish,age,2017,35-44,recruits,9525,IA
full-year,fish,age,2018,35-44,recruits,7622,IA
full-year,fish,age,2014,45-54,recruits,6847,IA
full-year,fish,age,2015,45-54,recruits,7277,IA
full-year,fish,age,2016,45-54,recruits,8126,IA
