timeframe,group,segment,year,category,metric,value,state
full-year,hunt,all,2009,all,participants,451381,MO
full-year,hunt,all,2010,all,participants,445468,MO
full-year,hunt,all,2011,all,participants,443084,MO
full-year,hunt,all,2012,all,participants,447465,MO
full-year,hunt,all,2013,all,participants,448951,MO
full-year,hunt,all,2014,all,participants,449341,MO
full-year,hunt,all,2015,all,participants,447014,MO
full-year,hunt,all,2016,all,participants,437390,MO
full-year,hunt,all,2017,all,participants,431897,MO
full-year,hunt,all,2018,all,participants,423660,MO
full-year,hunt,residency,2009,resident,participants,412305,MO
full-year,hunt,residency,2010,resident,participants,407813,MO
full-year,hunt,residency,2011,resident,participants,405571,MO
full-year,hunt,residency,2012,resident,participants,408718,MO
full-year,hunt,residency,2013,resident,participants,409277,MO
full-year,hunt,residency,2014,resident,participants,407486,MO
full-year,hunt,residency,2015,resident,participants,402842,MO
full-year,hunt,residency,2016,resident,participants,392308,MO
full-year,hunt,residency,2017,resident,participants,385583,MO
full-year,hunt,residency,2018,resident,participants,376433,MO
full-year,hunt,residency,2009,nonresident,participants,39076,MO
full-year,hunt,residency,2010,nonresident,participants,37655,MO
full-year,hunt,residency,2011,nonresident,participants,37513,MO
full-year,hunt,residency,2012,nonresident,participants,38747,MO
full-year,hunt,residency,2013,nonresident,participants,39674,MO
full-year,hunt,residency,2014,nonresident,participants,41855,MO
full-year,hunt,residency,2015,nonresident,participants,44172,MO
full-year,hunt,residency,2016,nonresident,participants,45082,MO
full-year,hunt,residency,2017,nonresident,participants,46314,MO
full-year,hunt,residency,2018,nonresident,participants,47227,MO
full-year,hunt,gender,2009,male,participants,396776,MO
full-year,hunt,gender,2010,male,participants,390107,MO
full-year,hunt,gender,2011,male,participants,386376,MO
full-year,hunt,gender,2012,male,participants,387658,MO
full-year,hunt,gender,2013,male,participants,387700,MO
full-year,hunt,gender,2014,male,participants,385752,MO
full-year,hunt,gender,2015,male,participants,382711,MO
full-year,hunt,gender,2016,male,participants,374073,MO
full-year,hunt,gender,2017,male,participants,369382,MO
full-year,hunt,gender,2018,male,participants,363191,MO
full-year,hunt,gender,2009,female,participants,54605,MO
full-year,hunt,gender,2010,female,participants,55361,MO
full-year,hunt,gender,2011,female,participants,56708,MO
full-year,hunt,gender,2012,female,participants,59807,MO
full-year,hunt,gender,2013,female,participants,61251,MO
full-year,hunt,gender,2014,female,participants,63589,MO
full-year,hunt,gender,2015,female,participants,64303,MO
full-year,hunt,gender,2016,female,participants,63317,MO
full-year,hunt,gender,2017,female,participants,62515,MO
full-year,hunt,gender,2018,female,participants,60469,MO
full-year,hunt,age,2009,18-24,participants,60212,MO
full-year,hunt,age,2010,18-24,participants,59572,MO
full-year,hunt,age,2011,18-24,participants,59976,MO
full-year,hunt,age,2012,18-24,participants,61450,MO
full-year,hunt,age,2013,18-24,participants,62251,MO
full-year,hunt,age,2014,18-24,participants,62419,MO
full-year,hunt,age,2015,18-24,participants,61474,MO
full-year,hunt,age,2016,18-24,participants,59396,MO
full-year,hunt,age,2017,18-24,participants,58672,MO
full-year,hunt,age,2018,18-24,participants,57194,MO
full-year,hunt,age,2009,25-34,participants,89524,MO
full-year,hunt,age,2010,25-34,participants,88844,MO
full-year,hunt,age,2011,25-34,participants,89608,MO
full-year,hunt,age,2012,25-34,participants,91155,MO
full-year,hunt,age,2013,25-34,participants,93324,MO
full-year,hunt,age,2014,25-34,participants,94077,MO
full-year,hunt,age,2015,25-34,participants,93996,MO
