timeframe,group,segment,year,category,metric,value,state
full-year,all_sports,all,2010,all,participants,236591,NE
full-year,all_sports,all,2011,all,participants,232008,NE
full-year,all_sports,all,2012,all,participants,244855,NE
full-year,all_sports,all,2013,all,participants,238078,NE
full-year,all_sports,all,2014,all,participants,239332,NE
full-year,all_sports,all,2015,all,participants,247918,NE
full-year,all_sports,all,2016,all,participants,251923,NE
full-year,all_sports,all,2017,all,participants,248185,NE
full-year,all_sports,all,2018,all,participants,233631,NE
full-year,all_sports,residency,2010,resident,participants,188494,NE
full-year,all_sports,residency,2011,resident,participants,184577,NE
full-year,all_sports,residency,2012,resident,participants,196320,NE
full-year,all_sports,residency,2013,resident,participants,191045,NE
full-year,all_sports,residency,2014,resident,participants,191426,NE
full-year,all_sports,residency,2015,resident,participants,196304,NE
full-year,all_sports,residency,2016,resident,participants,198713,NE
full-year,all_sports,residency,2017,resident,participants,194257,NE
full-year,all_sports,residency,2018,resident,participants,180999,NE
full-year,all_sports,residency,2010,nonresident,participants,48097,NE
full-year,all_sports,residency,2011,nonresident,participants,47431,NE
full-year,all_sports,residency,2012,nonresident,participants,48535,NE
full-year,all_sports,residency,2013,nonresident,participants,47033,NE
full-year,all_sports,residency,2014,nonresident,participants,47906,NE
full-year,all_sports,residency,2015,nonresident,participants,51614,NE
full-year,all_sports,residency,2016,nonresident,participants,53210,NE
full-year,all_sports,residency,2017,nonresident,participants,53928,NE
full-year,all_sports,residency,2018,nonresident,participants,52632,NE
full-year,all_sports,gender,2010,male,participants,196317,NE
full-year,all_sports,gender,2011,male,participants,192070,NE
full-year,all_sports,gender,2012,male,participants,199e3,NE
full-year,all_sports,gender,2013,male,participants,192991,NE
full-year,all_sports,gender,2014,male,participants,192686,NE
full-year,all_sports,gender,2015,male,participants,199169,NE
full-year,all_sports,gender,2016,male,participants,201263,NE
full-year,all_sports,gender,2017,male,participants,198488,NE
full-year,all_sports,gender,2018,male,participants,188902,NE
full-year,all_sports,gender,2010,female,participants,40274,NE
full-year,all_sports,gender,2011,female,participants,39938,NE
full-year,all_sports,gender,2012,female,participants,45855,NE
full-year,all_sports,gender,2013,female,participants,45087,NE
full-year,all_sports,gender,2014,female,participants,46646,NE
full-year,all_sports,gender,2015,female,participants,48749,NE
full-year,all_sports,gender,2016,female,participants,50660,NE
full-year,all_sports,gender,2017,female,participants,49697,NE
full-year,all_sports,gender,2018,female,participants,44729,NE
full-year,all_sports,age,2010,18-24,participants,32869,NE
full-year,all_sports,age,2011,18-24,participants,31893,NE
full-year,all_sports,age,2012,18-24,participants,35303,NE
full-year,all_sports,age,2013,18-24,participants,35308,NE
full-year,all_sports,age,2014,18-24,participants,35722,NE
full-year,all_sports,age,2015,18-24,participants,36280,NE
full-year,all_sports,age,2016,18-24,participants,36883,NE
full-year,all_sports,age,2017,18-24,participants,35672,NE
full-year,all_sports,age,2018,18-24,participants,32668,NE
full-year,all_sports,age,2010,25-34,participants,53708,NE
full-year,all_sports,age,2011,25-34,participants,53396,NE
full-year,all_sports,age,2012,25-34,participants,57983,NE
full-year,all_sports,age,2013,25-34,participants,56676,NE
full-year,all_sports,age,2014,25-34,participants,57370,NE
full-year,all_sports,age,2015,25-34,participants,59608,NE
full-year,all_sports,age,2016,25-34,participants,60409,NE
full-year,all_sports,age,2017,25-34,participants,58363,NE
full-year,all_sports,age,2018,25-34,participants,54111,NE
full-year,all_sports,age,2010,35-44,participants,51344,NE
full-year,all_sports,age,2011,35-44,participants,50218,NE
full-year,all_sports,age,2012,35-44,participants,53098,NE
full-year,all_sports,age,2013,35-44,participants,51508,NE
full-year,all_sports,age,2014,35-44,participants,51727,NE
full-year,all_sports,age,2015,35-44,participants,53957,NE
full-year,all_sports,age,2016,35-44,participants,55608,NE
full-year,all_sports,age,2017,35-44,participants,55996,NE
full-year,all_sports,age,2018,35-44,participants,53871,NE
full-year,all_sports,age,2010,45-54,participants,56026,NE
full-year,all_sports,age,2011,45-54,participants,53693,NE
full-year,all_sports,age,2012,45-54,participants,54144,NE
full-year,all_sports,age,2013,45-54,participants,51019,NE
full-year,all_sports,age,2014,45-54,participants,50106,NE
full-year,all_sports,age,2015,45-54,participants,51093,NE
full-year,all_sports,age,2016,45-54,participants,50833,NE
full-year,all_sports,age,2017,45-54,participants,49407,NE
full-year,all_sports,age,2018,45-54,participants,45890,NE
full-year,all_sports,age,2010,55-64,participants,42644,NE
full-year,all_sports,age,2011,55-64,participants,42808,NE
full-year,all_sports,age,2012,55-64,participants,44326,NE
full-year,all_sports,age,2013,55-64,participants,43566,NE
full-year,all_sports,age,2014,55-64,participants,44406,NE
full-year,all_sports,age,2015,55-64,participants,46979,NE
full-year,all_sports,age,2016,55-64,participants,48191,NE
full-year,all_sports,age,2017,55-64,participants,48747,NE
full-year,all_sports,age,2018,55-64,participants,47091,NE
full-year,all_sports,all,2015,all,recruits,54787,NE
full-year,all_sports,all,2016,all,recruits,55777,NE
full-year,all_sports,all,2017,all,recruits,53125,NE
full-year,all_sports,all,2018,all,recruits,47364,NE
full-year,all_sports,residency,2015,resident,recruits,31624,NE
full-year,all_sports,residency,2016,resident,recruits,32066,NE
full-year,all_sports,residency,2017,resident,recruits,29126,NE
full-year,all_sports,residency,2018,resident,recruits,24163,NE
full-year,all_sports,residency,2015,nonresident,recruits,23163,NE
full-year,all_sports,residency,2016,nonresident,recruits,23711,NE
full-year,all_sports,residency,2017,nonresident,recruits,23999,NE
full-year,all_sports,residency,2018,nonresident,recruits,23201,NE
full-year,all_sports,gender,2015,male,recruits,38562,NE
full-year,all_sports,gender,2016,male,recruits,39077,NE
full-year,all_sports,gender,2017,male,recruits,37665,NE
full-year,all_sports,gender,2018,male,recruits,34694,NE
full-year,all_sports,gender,2015,female,recruits,16225,NE
full-year,all_sports,gender,2016,female,recruits,16700,NE
full-year,all_sports,gender,2017,female,recruits,15460,NE
full-year,all_sports,gender,2018,female,recruits,12670,NE
full-year,all_sports,age,2015,18-24,recruits,10937,NE
full-year,all_sports,age,2016,18-24,recruits,11179,NE
full-year,all_sports,age,2017,18-24,recruits,10061,NE
full-year,all_sports,age,2018,18-24,recruits,8635,NE
full-year,all_sports,age,2015,25-34,recruits,15528,NE
full-year,all_sports,age,2016,25-34,recruits,15617,NE
full-year,all_sports,age,2017,25-34,recruits,14494,NE
full-year,all_sports,age,2018,25-34,recruits,12973,NE
full-year,all_sports,age,2015,35-44,recruits,11478,NE
full-year,all_sports,age,2016,35-44,recruits,11868,NE
full-year,all_sports,age,2017,35-44,recruits,11533,NE
full-year,all_sports,age,2018,35-44,recruits,10635,NE
full-year,all_sports,age,2015,45-54,recruits,9406,NE
full-year,all_sports,age,2016,45-54,recruits,9466,NE
full-year,all_sports,age,2017,45-54,recruits,9090,NE
full-year,all_sports,age,2018,45-54,recruits,8024,NE
full-year,all_sports,age,2015,55-64,recruits,7438,NE
full-year,all_sports,age,2016,55-64,recruits,7648,NE
full-year,all_sports,age,2017,55-64,recruits,7947,NE
full-year,all_sports,age,2018,55-64,recruits,7097,NE
full-year,all_sports,all,2011,all,churn,0.379401583,NE
full-year,all_sports,all,2012,all,churn,0.360082411,NE
full-year,all_sports,all,2013,all,churn,0.38426824,NE
full-year,all_sports,all,2014,all,churn,0.368202858,NE
full-year,all_sports,all,2015,all,churn,0.357227617,NE
full-year,all_sports,all,2016,all,churn,0.360530498,NE
full-year,all_sports,all,2017,all,churn,0.369180265,NE
full-year,all_sports,all,2018,all,churn,0.382718537,NE
full-year,all_sports,residency,2011,resident,churn,0.326519677,NE
full-year,all_sports,residency,2012,resident,churn,0.303743153,NE
full-year,all_sports,residency,2013,resident,churn,0.331795029,NE
full-year,all_sports,residency,2014,resident,churn,0.315239865,NE
full-year,all_sports,residency,2015,resident,churn,0.303668258,NE
full-year,all_sports,residency,2016,resident,churn,0.303870527,NE
full-year,all_sports,residency,2017,resident,churn,0.312148677,NE
full-year,all_sports,residency,2018,resident,churn,0.32430749,NE
full-year,all_sports,residency,2011,nonresident,churn,0.586647816,NE
full-year,all_sports,residency,2012,nonresident,churn,0.579325757,NE
full-year,all_sports,residency,2013,nonresident,churn,0.596517977,NE
full-year,all_sports,residency,2014,nonresident,churn,0.583335105,NE
full-year,all_sports,residency,2015,nonresident,churn,0.571243686,NE
full-year,all_sports,residency,2016,nonresident,churn,0.576025884,NE
full-year,all_sports,residency,2017,nonresident,churn,0.582165007,NE
full-year,all_sports,residency,2018,nonresident,churn,0.593124166,NE
full-year,all_sports,gender,2011,male,churn,0.35042304,NE
full-year,all_sports,gender,2012,male,churn,0.334549904,NE
full-year,all_sports,gender,2013,male,churn,0.354670124,NE
full-year,all_sports,gender,2014,male,churn,0.339907042,NE
full-year,all_sports,gender,2015,male,churn,0.326588335,NE
full-year,all_sports,gender,2016,male,churn,0.331642977,NE
full-year,all_sports,gender,2017,male,churn,0.339878666,NE
full-year,all_sports,gender,2018,male,churn,0.353044013,NE
full-year,all_sports,gender,2011,female,churn,0.520658489,NE
full-year,all_sports,gender,2012,female,churn,0.482873454,NE
full-year,all_sports,gender,2013,female,churn,0.512703086,NE
full-year,all_sports,gender,2014,female,churn,0.489320647,NE
full-year,all_sports,gender,2015,female,churn,0.483792823,NE
full-year,all_sports,gender,2016,female,churn,0.478553406,NE
full-year,all_sports,gender,2017,female,churn,0.485590209,NE
full-year,all_sports,gender,2018,female,churn,0.501237499,NE
full-year,all_sports,age,2011,18-24,churn,0.446256351,NE
full-year,all_sports,age,2012,18-24,churn,0.417897344,NE
full-year,all_sports,age,2013,18-24,churn,0.442058749,NE
full-year,all_sports,age,2014,18-24,churn,0.431375326,NE
full-year,all_sports,age,2015,18-24,churn,0.427831588,NE
full-year,all_sports,age,2016,18-24,churn,0.424944873,NE
full-year,all_sports,age,2017,18-24,churn,0.439687661,NE
full-year,all_sports,age,2018,18-24,churn,0.447830231,NE
full-year,all_sports,age,2011,25-34,churn,0.405060699,NE
full-year,all_sports,age,2012,25-34,churn,0.378979699,NE
full-year,all_sports,age,2013,25-34,churn,0.410258179,NE
full-year,all_sports,age,2014,25-34,churn,0.392723551,NE
full-year,all_sports,age,2015,25-34,churn,0.383946313,NE
full-year,all_sports,age,2016,25-34,churn,0.391658838,NE
