timeframe,group,segment,year,category,metric,value
full-year,hunt,All,2009,All,participants,251551.39966738125
full-year,hunt,All,2010,All,participants,241569
full-year,hunt,All,2011,All,participants,236589.14531902666
full-year,hunt,All,2012,All,participants,238627.26863659467
full-year,hunt,All,2013,All,participants,236072.6071894269
full-year,hunt,All,2014,All,participants,238096.04854465488
full-year,hunt,All,2015,All,participants,239033.02468671955
full-year,hunt,All,2016,All,participants,236808.04003027824
full-year,hunt,All,2017,All,participants,231991.0216588945
full-year,hunt,All,2018,All,participants,227051.20869339403
full-year,hunt,Residency,2009,Resident,participants,232249.9580856189
full-year,hunt,Residency,2010,Resident,participants,223395.4000707229
full-year,hunt,Residency,2011,Resident,participants,219727.57893340994
full-year,hunt,Residency,2012,Resident,participants,221896.50518818927
full-year,hunt,Residency,2013,Resident,participants,219854.37769907396
full-year,hunt,Residency,2014,Resident,participants,222115.39989944085
full-year,hunt,Residency,2015,Resident,participants,222094.04431785533
full-year,hunt,Residency,2016,Resident,participants,219614.12740623686
full-year,hunt,Residency,2017,Resident,participants,214455.41972948483
full-year,hunt,Residency,2018,Resident,participants,208909.64213649524
full-year,hunt,Residency,2009,Nonresident,participants,19301.441581762327
full-year,hunt,Residency,2010,Nonresident,participants,18173.59992927708
full-year,hunt,Residency,2011,Nonresident,participants,16861.566385616727
full-year,hunt,Residency,2012,Nonresident,participants,16730.763448405418
full-year,hunt,Residency,2013,Nonresident,participants,16218.229490352951
full-year,hunt,Residency,2014,Nonresident,participants,15980.648645214047
full-year,hunt,Residency,2015,Nonresident,participants,16938.98036886423
full-year,hunt,Residency,2016,Nonresident,participants,17193.91262404137
full-year,hunt,Residency,2017,Nonresident,participants,17535.601929409684
full-year,hunt,Residency,2018,Nonresident,participants,18141.5665568988
full-year,hunt,Gender,2009,Male,participants,238314.94325590646
full-year,hunt,Gender,2010,Male,participants,228823.72196499215
full-year,hunt,Gender,2011,Male,participants,223480.822397065
full-year,hunt,Gender,2012,Male,participants,224185.55658938712
full-year,hunt,Gender,2013,Male,participants,220900.80119676443
full-year,hunt,Gender,2014,Male,participants,221904.51353128382
full-year,hunt,Gender,2015,Male,participants,221807.0786902999
full-year,hunt,Gender,2016,Male,participants,219034.85725572964
full-year,hunt,Gender,2017,Male,participants,214280.57090525338
full-year,hunt,Gender,2018,Male,participants,209725.15840829225
full-year,hunt,Gender,2009,Female,participants,13236.456411474794
full-year,hunt,Gender,2010,Female,participants,12745.278035007845
full-year,hunt,Gender,2011,Female,participants,13108.322921961677
full-year,hunt,Gender,2012,Female,participants,14441.71204720755
full-year,hunt,Gender,2013,Female,participants,15171.805992662496
full-year,hunt,Gender,2014,Female,participants,16191.53501337105
full-year,hunt,Gender,2015,Female,participants,17225.94599641965
full-year,hunt,Gender,2016,Female,participants,17773.182774548586
full-year,hunt,Gender,2017,Female,participants,17710.450753641126
full-year,hunt,Gender,2018,Female,participants,17326.050285101774
full-year,hunt,Age,2009,18-24,participants,34547.99210997414
full-year,hunt,Age,2010,18-24,participants,32178.85727783057
full-year,hunt,Age,2011,18-24,participants,31821.15128627312
full-year,hunt,Age,2012,18-24,participants,32633.99811037196
full-year,hunt,Age,2013,18-24,participants,33221.27660397374
full-year,hunt,Age,2014,18-24,participants,33713.78970428978
full-year,hunt,Age,2015,18-24,participants,33408.13794284704
full-year,hunt,Age,2016,18-24,participants,32714.081541317653
full-year,hunt,Age,2017,18-24,participants,31607.595470417928
full-year,hunt,Age,2018,18-24,participants,30482.42326563087
full-year,hunt,Age,2009,25-34,participants,52606.80578822905
full-year,hunt,Age,2010,25-34,participants,50524.6365836409
full-year,hunt,Age,2011,25-34,participants,49782.5301235441
full-year,hunt,Age,2012,25-34,participants,50703.48957941963
full-year,hunt,Age,2013,25-34,participants,51196.00267973567
full-year,hunt,Age,2014,25-34,participants,52383.906905430194
full-year,hunt,Age,2015,25-34,participants,52820.361604084246
full-year,hunt,Age,2016,25-34,participants,52733.60455389307
full-year,hunt,Age,2017,25-34,participants,51204.011022830244
full-year,hunt,Age,2018,25-34,participants,50116.21108581784
full-year,hunt,Age,2009,35-44,participants,56856.56652374743
full-year,hunt,Age,2010,35-44,participants,53154.04256635799
full-year,hunt,Age,2011,35-44,participants,50648.765901606734
full-year,hunt,Age,2012,35-44,participants,50460.569838884345
full-year,hunt,Age,2013,35-44,participants,49133.854332883944
full-year,hunt,Age,2014,35-44,participants,48925.63741242513
full-year,hunt,Age,2015,35-44,participants,48537.232772338495
full-year,hunt,Age,2016,35-44,participants,48244.9282493867
full-year,hunt,Age,2017,35-44,participants,48252.93659248127
full-year,hunt,Age,2018,35-44,participants,48167.51426613919
full-year,hunt,Age,2009,45-54,participants,64811.52066435343
full-year,hunt,Age,2010,45-54,participants,62123.38683227617
full-year,hunt,Age,2011,45-54,participants,60134.648297124666
full-year,hunt,Age,2012,45-54,participants,59295.106996043934
full-year,hunt,Age,2013,45-54,participants,56787.160883594486
full-year,hunt,Age,2014,45-54,participants,55830.1638837934
full-year,hunt,Age,2015,45-54,participants,55088.0574236966
full-year,hunt,Age,2016,45-54,participants,53196.753729529024
full-year,hunt,Age,2017,45-54,participants,51094.56366720445
full-year,hunt,Age,2018,45-54,participants,48445.13682675094
full-year,hunt,Age,2009,55-64,participants,42727.179857228104
full-year,hunt,Age,2010,55-64,participants,43586.74201604526
full-year,hunt,Age,2011,55-64,participants,44200.71498662895
full-year,hunt,Age,2012,55-64,participants,45532.76938802572
full-year,hunt,Age,2013,55-64,participants,45732.97796538997
full-year,hunt,Age,2014,55-64,participants,47241.21591486728
full-year,hunt,Age,2015,55-64,participants,49177.90021990408
full-year,hunt,Age,2016,55-64,participants,49916.002508453596
full-year,hunt,Age,2017,55-64,participants,49830.58018211152
full-year,hunt,Age,2018,55-64,participants,49841.25797290428
full-year,hunt,All,2009,All,residents,232249.9580856189
full-year,hunt,All,2010,All,residents,223395.4000707229
full-year,hunt,All,2011,All,residents,219727.57893340994
full-year,hunt,All,2012,All,residents,221896.50518818927
full-year,hunt,All,2013,All,residents,219854.37769907396
full-year,hunt,All,2014,All,residents,222115.39989944085
full-year,hunt,All,2015,All,residents,222094.04431785533
full-year,hunt,All,2016,All,residents,219614.12740623686
full-year,hunt,All,2017,All,residents,214455.41972948483
full-year,hunt,All,2018,All,residents,208909.64213649524
full-year,hunt,Residency,2009,Resident,residents,232249.9580856189
full-year,hunt,Residency,2010,Resident,residents,223395.4000707229
full-year,hunt,Residency,2011,Resident,residents,219727.57893340994
full-year,hunt,Residency,2012,Resident,residents,221896.50518818927
full-year,hunt,Residency,2013,Resident,residents,219854.37769907396
full-year,hunt,Residency,2014,Resident,residents,222115.39989944085
full-year,hunt,Residency,2015,Resident,residents,222094.04431785533
full-year,hunt,Residency,2016,Resident,residents,219614.12740623686
full-year,hunt,Residency,2017,Resident,residents,214455.41972948483
full-year,hunt,Residency,2018,Resident,residents,208909.64213649524
full-year,hunt,Gender,2009,Male,residents,219376.54656109796
