"timeframe","group","segment","year","category","metric","value"
"full-year","hunt","All",2009,"All","participants",451381
"full-year","hunt","All",2010,"All","participants",445468
"full-year","hunt","All",2011,"All","participants",443084
"full-year","hunt","All",2012,"All","participants",447465
"full-year","hunt","All",2013,"All","participants",448951
"full-year","hunt","All",2014,"All","participants",449341
"full-year","hunt","All",2015,"All","participants",447014
"full-year","hunt","All",2016,"All","participants",437390
"full-year","hunt","All",2017,"All","participants",431897
"full-year","hunt","All",2018,"All","participants",423660
"full-year","hunt","Residency",2009,"Resident","participants",412305
"full-year","hunt","Residency",2010,"Resident","participants",407813
"full-year","hunt","Residency",2011,"Resident","participants",405571
"full-year","hunt","Residency",2012,"Resident","participants",408718
"full-year","hunt","Residency",2013,"Resident","participants",409277
"full-year","hunt","Residency",2014,"Resident","participants",407486
"full-year","hunt","Residency",2015,"Resident","participants",402842
"full-year","hunt","Residency",2016,"Resident","participants",392308
"full-year","hunt","Residency",2017,"Resident","participants",385583
"full-year","hunt","Residency",2018,"Resident","participants",376433
"full-year","hunt","Residency",2009,"Nonresident","participants",39076
"full-year","hunt","Residency",2010,"Nonresident","participants",37655
"full-year","hunt","Residency",2011,"Nonresident","participants",37513
"full-year","hunt","Residency",2012,"Nonresident","participants",38747
"full-year","hunt","Residency",2013,"Nonresident","participants",39674
"full-year","hunt","Residency",2014,"Nonresident","participants",41855
"full-year","hunt","Residency",2015,"Nonresident","participants",44172
"full-year","hunt","Residency",2016,"Nonresident","participants",45082
"full-year","hunt","Residency",2017,"Nonresident","participants",46314
"full-year","hunt","Residency",2018,"Nonresident","participants",47227
"full-year","hunt","Gender",2009,"Male","participants",396776
"full-year","hunt","Gender",2010,"Male","participants",390107
"full-year","hunt","Gender",2011,"Male","participants",386376
"full-year","hunt","Gender",2012,"Male","participants",387658
"full-year","hunt","Gender",2013,"Male","participants",387700
"full-year","hunt","Gender",2014,"Male","participants",385752
"full-year","hunt","Gender",2015,"Male","participants",382711
"full-year","hunt","Gender",2016,"Male","participants",374073
"full-year","hunt","Gender",2017,"Male","participants",369382
"full-year","hunt","Gender",2018,"Male","participants",363191
