"timeframe","group","segment","year","category","metric","value"
"full-year","hunt","All",2009,"All","participants",233378
"full-year","hunt","All",2010,"All","participants",216348
"full-year","hunt","All",2011,"All","participants",212024
"full-year","hunt","All",2012,"All","participants",208213
"full-year","hunt","All",2013,"All","participants",210407
"full-year","hunt","All",2014,"All","participants",210041
"full-year","hunt","All",2015,"All","participants",210235
"full-year","hunt","All",2016,"All","participants",210216
"full-year","hunt","All",2017,"All","participants",204500
"full-year","hunt","All",2018,"All","participants",200378
"full-year","hunt","Residency",2009,"Resident","participants",214782
"full-year","hunt","Residency",2010,"Resident","participants",202957
"full-year","hunt","Residency",2011,"Resident","participants",198869
"full-year","hunt","Residency",2012,"Resident","participants",195409
"full-year","hunt","Residency",2013,"Resident","participants",197469
"full-year","hunt","Residency",2014,"Resident","participants",196739
"full-year","hunt","Residency",2015,"Resident","participants",196479
"full-year","hunt","Residency",2016,"Resident","participants",196276
"full-year","hunt","Residency",2017,"Resident","participants",190753
"full-year","hunt","Residency",2018,"Resident","participants",187051
"full-year","hunt","Residency",2009,"Nonresident","participants",18596
"full-year","hunt","Residency",2010,"Nonresident","participants",13391
"full-year","hunt","Residency",2011,"Nonresident","participants",13155
"full-year","hunt","Residency",2012,"Nonresident","participants",12804
"full-year","hunt","Residency",2013,"Nonresident","participants",12938
"full-year","hunt","Residency",2014,"Nonresident","participants",13302
"full-year","hunt","Residency",2015,"Nonresident","participants",13756
"full-year","hunt","Residency",2016,"Nonresident","participants",13940
"full-year","hunt","Residency",2017,"Nonresident","participants",13747
"full-year","hunt","Residency",2018,"Nonresident","participants",13327
"full-year","hunt","Gender",2009,"Male","participants",200541
"full-year","hunt","Gender",2010,"Male","participants",186312
"full-year","hunt","Gender",2011,"Male","participants",182015
"full-year","hunt","Gender",2012,"Male","participants",177809
"full-year","hunt","Gender",2013,"Male","participants",177974
"full-year","hunt","Gender",2014,"Male","participants",176070
"full-year","hunt","Gender",2015,"Male","participants",174827
"full-year","hunt","Gender",2016,"Male","participants",173539
"full-year","hunt","Gender",2017,"Male","participants",168351
"full-year","hunt","Gender",2018,"Male","participants",164862
"full-year","hunt","Gender",2009,"Female","participants",32837
"full-year","hunt","Gender",2010,"Female","participants",30036
"full-year","hunt","Gender",2011,"Female","participants",30009
"full-year","hunt","Gender",2012,"Female","participants",30404
"full-year","hunt","Gender",2013,"Female","participants",32433
"full-year","hunt","Gender",2014,"Female","participants",33971
"full-year","hunt","Gender",2015,"Female","participants",35408
"full-year","hunt","Gender",2016,"Female","participants",36677
"full-year","hunt","Gender",2017,"Female","participants",36149
"full-year","hunt","Gender",2018,"Female","participants",35516
"full-year","hunt","Age",2009,"18-24","participants",25571
"full-year","hunt","Age",2010,"18-24","participants",23317
"full-year","hunt","Age",2011,"18-24","participants",22370
"full-year","hunt","Age",2012,"18-24","participants",22352
"full-year","hunt","Age",2013,"18-24","participants",23278
"full-year","hunt","Age",2014,"18-24","participants",23370
"full-year","hunt","Age",2015,"18-24","participants",23248
"full-year","hunt","Age",2016,"18-24","participants",23793
"full-year","hunt","Age",2017,"18-24","participants",22774
"full-year","hunt","Age",2018,"18-24","participants",21828
"full-year","hunt","Age",2009,"25-34","participants",46792
"full-year","hunt","Age",2010,"25-34","participants",43520
"full-year","hunt","Age",2011,"25-34","participants",43028
"full-year","hunt","Age",2012,"25-34","participants",42657
"full-year","hunt","Age",2013,"25-34","participants",43807
"full-year","hunt","Age",2014,"25-34","participants",44473
"full-year","hunt","Age",2015,"25-34","participants",45121
