"timeframe","group","segment","year","category","metric","value"
"full-year","hunt","All",2009,"All","participants",243776
"full-year","hunt","All",2010,"All","participants",236815
"full-year","hunt","All",2011,"All","participants",231648
"full-year","hunt","All",2012,"All","participants",232367
"full-year","hunt","All",2013,"All","participants",236909
"full-year","hunt","All",2014,"All","participants",233343
"full-year","hunt","All",2015,"All","participants",228653
"full-year","hunt","All",2016,"All","participants",221770
"full-year","hunt","All",2017,"All","participants",216160
"full-year","hunt","All",2018,"All","participants",210557
"full-year","hunt","Residency",2009,"Resident","participants",223336
"full-year","hunt","Residency",2010,"Resident","participants",217382
"full-year","hunt","Residency",2011,"Resident","participants",213447
"full-year","hunt","Residency",2012,"Resident","participants",214432
"full-year","hunt","Residency",2013,"Resident","participants",218779
"full-year","hunt","Residency",2014,"Resident","participants",214846
"full-year","hunt","Residency",2015,"Resident","participants",209987
"full-year","hunt","Residency",2016,"Resident","participants",203267
"full-year","hunt","Residency",2017,"Resident","participants",198005
"full-year","hunt","Residency",2018,"Resident","participants",192027
"full-year","hunt","Residency",2009,"Nonresident","participants",20440
"full-year","hunt","Residency",2010,"Nonresident","participants",19433
"full-year","hunt","Residency",2011,"Nonresident","participants",18201
"full-year","hunt","Residency",2012,"Nonresident","participants",17935
"full-year","hunt","Residency",2013,"Nonresident","participants",18130
"full-year","hunt","Residency",2014,"Nonresident","participants",18497
"full-year","hunt","Residency",2015,"Nonresident","participants",18666
"full-year","hunt","Residency",2016,"Nonresident","participants",18503
"full-year","hunt","Residency",2017,"Nonresident","participants",18155
"full-year","hunt","Residency",2018,"Nonresident","participants",18530
"full-year","hunt","Gender",2009,"Male","participants",227033
"full-year","hunt","Gender",2010,"Male","participants",219953
"full-year","hunt","Gender",2011,"Male","participants",214553
"full-year","hunt","Gender",2012,"Male","participants",213442
"full-year","hunt","Gender",2013,"Male","participants",216682
"full-year","hunt","Gender",2014,"Male","participants",212178
"full-year","hunt","Gender",2015,"Male","participants",207286
"full-year","hunt","Gender",2016,"Male","participants",200696
"full-year","hunt","Gender",2017,"Male","participants",195919
"full-year","hunt","Gender",2018,"Male","participants",190770
"full-year","hunt","Gender",2009,"Female","participants",16743
"full-year","hunt","Gender",2010,"Female","participants",16862
"full-year","hunt","Gender",2011,"Female","participants",17095
"full-year","hunt","Gender",2012,"Female","participants",18925
"full-year","hunt","Gender",2013,"Female","participants",20227
"full-year","hunt","Gender",2014,"Female","participants",21165
"full-year","hunt","Gender",2015,"Female","participants",21367
"full-year","hunt","Gender",2016,"Female","participants",21074
"full-year","hunt","Gender",2017,"Female","participants",20241
"full-year","hunt","Gender",2018,"Female","participants",19787
"full-year","hunt","Age",2009,"18-24","participants",31427
"full-year","hunt","Age",2010,"18-24","participants",31370
"full-year","hunt","Age",2011,"18-24","participants",30679
"full-year","hunt","Age",2012,"18-24","participants",31739
"full-year","hunt","Age",2013,"18-24","participants",33154
"full-year","hunt","Age",2014,"18-24","participants",33041
"full-year","hunt","Age",2015,"18-24","participants",32090
"full-year","hunt","Age",2016,"18-24","participants",30866
"full-year","hunt","Age",2017,"18-24","participants",29287
"full-year","hunt","Age",2018,"18-24","participants",28376
"full-year","hunt","Age",2009,"25-34","participants",46151
"full-year","hunt","Age",2010,"25-34","participants",44316
"full-year","hunt","Age",2011,"25-34","participants",43509
"full-year","hunt","Age",2012,"25-34","participants",44762
"full-year","hunt","Age",2013,"25-34","participants",46734
"full-year","hunt","Age",2014,"25-34","participants",46663
"full-year","hunt","Age",2015,"25-34","participants",46197
"full-year","hunt","Age",2016,"25-34","participants",45046
"full-year","hunt","Age",2017,"25-34","participants",43063
"full-year","hunt","Age",2018,"25-34","participants",41913
"full-year","hunt","Age",2009,"35-44","participants",58858
"full-year","hunt","Age",2010,"35-44","participants",55020
"full-year","hunt","Age",2011,"35-44","participants",52490
"full-year","hunt","Age",2012,"35-44","participants",50800
"full-year","hunt","Age",2013,"35-44","participants",50952
"full-year","hunt","Age",2014,"35-44","participants",48735
"full-year","hunt","Age",2015,"35-44","participants",46435
"full-year","hunt","Age",2016,"35-44","participants",43997
"full-year","hunt","Age",2017,"35-44","participants",42649
"full-year","hunt","Age",2018,"35-44","participants",41469
"full-year","hunt","Age",2009,"45-54","participants",62951
"full-year","hunt","Age",2010,"45-54","participants",61441
"full-year","hunt","Age",2011,"45-54","participants",60145
"full-year","hunt","Age",2012,"45-54","participants",59568
"full-year","hunt","Age",2013,"45-54","participants",59715
"full-year","hunt","Age",2014,"45-54","participants",58128
"full-year","hunt","Age",2015,"45-54","participants",56303
"full-year","hunt","Age",2016,"45-54","participants",54294
"full-year","hunt","Age",2017,"45-54","participants",52685
"full-year","hunt","Age",2018,"45-54","participants",50145
"full-year","hunt","Age",2009,"55-64","participants",44389
"full-year","hunt","Age",2010,"55-64","participants",44669
"full-year","hunt","Age",2011,"55-64","participants",44826
"full-year","hunt","Age",2012,"55-64","participants",45498
"full-year","hunt","Age",2013,"55-64","participants",46354
"full-year","hunt","Age",2014,"55-64","participants",46775
"full-year","hunt","Age",2015,"55-64","participants",47628
"full-year","hunt","Age",2016,"55-64","participants",47567
"full-year","hunt","Age",2017,"55-64","participants",48477
"full-year","hunt","Age",2018,"55-64","participants",48654
"full-year","hunt","All",2009,"All","residents",223336
