"timeframe","group","segment","year","category","metric","value"
"full-year","hunt","All",2009,"All","participants",572852
"full-year","hunt","All",2010,"All","participants",559638
"full-year","hunt","All",2011,"All","participants",556061
"full-year","hunt","All",2012,"All","participants",561974
"full-year","hunt","All",2013,"All","participants",557788
"full-year","hunt","All",2014,"All","participants",539525
"full-year","hunt","All",2015,"All","participants",541414
"full-year","hunt","Residency",2009,"Resident","participants",528512
"full-year","hunt","Residency",2010,"Resident","participants",517585
"full-year","hunt","Residency",2011,"Resident","participants",514275
"full-year","hunt","Residency",2012,"Resident","participants",519605
"full-year","hunt","Residency",2013,"Resident","participants",514512
"full-year","hunt","Residency",2014,"Resident","participants",498401
"full-year","hunt","Residency",2015,"Resident","participants",498773
"full-year","hunt","Residency",2009,"Nonresident","participants",44340
"full-year","hunt","Residency",2010,"Nonresident","participants",42053
"full-year","hunt","Residency",2011,"Nonresident","participants",41786
"full-year","hunt","Residency",2012,"Nonresident","participants",42369
"full-year","hunt","Residency",2013,"Nonresident","participants",43276
"full-year","hunt","Residency",2014,"Nonresident","participants",41124
"full-year","hunt","Residency",2015,"Nonresident","participants",42641
"full-year","hunt","Gender",2009,"Male","participants",524910
"full-year","hunt","Gender",2010,"Male","participants",511692
"full-year","hunt","Gender",2011,"Male","participants",506798
"full-year","hunt","Gender",2012,"Male","participants",508519
"full-year","hunt","Gender",2013,"Male","participants",503153
"full-year","hunt","Gender",2014,"Male","participants",484845
"full-year","hunt","Gender",2015,"Male","participants",483375
"full-year","hunt","Gender",2009,"Female","participants",47942
"full-year","hunt","Gender",2010,"Female","participants",47946
"full-year","hunt","Gender",2011,"Female","participants",49263
"full-year","hunt","Gender",2012,"Female","participants",53455
"full-year","hunt","Gender",2013,"Female","participants",54635
"full-year","hunt","Gender",2014,"Female","participants",54680
"full-year","hunt","Gender",2015,"Female","participants",58039
"full-year","hunt","Age",2009,"18-24","participants",77325
"full-year","hunt","Age",2010,"18-24","participants",75117
"full-year","hunt","Age",2011,"18-24","participants",73975
"full-year","hunt","Age",2012,"18-24","participants",75202
"full-year","hunt","Age",2013,"18-24","participants",75482
"full-year","hunt","Age",2014,"18-24","participants",72423
"full-year","hunt","Age",2015,"18-24","participants",71333
"full-year","hunt","Age",2009,"25-34","participants",108820
"full-year","hunt","Age",2010,"25-34","participants",108085
"full-year","hunt","Age",2011,"25-34","participants",109040
"full-year","hunt","Age",2012,"25-34","participants",112162
"full-year","hunt","Age",2013,"25-34","participants",113267
"full-year","hunt","Age",2014,"25-34","participants",110701
"full-year","hunt","Age",2015,"25-34","participants",111838
"full-year","hunt","Age",2009,"35-44","participants",128312
"full-year","hunt","Age",2010,"35-44","participants",120371
"full-year","hunt","Age",2011,"35-44","participants",115244
"full-year","hunt","Age",2012,"35-44","participants",113336
"full-year","hunt","Age",2013,"35-44","participants",110575
"full-year","hunt","Age",2014,"35-44","participants",105847
"full-year","hunt","Age",2015,"35-44","participants",105107
"full-year","hunt","Age",2009,"45-54","participants",156084
"full-year","hunt","Age",2010,"45-54","participants",151636
"full-year","hunt","Age",2011,"45-54","participants",150175
"full-year","hunt","Age",2012,"45-54","participants",149573
"full-year","hunt","Age",2013,"45-54","participants",144607
"full-year","hunt","Age",2014,"45-54","participants",136427
"full-year","hunt","Age",2015,"45-54","participants",133634
"full-year","hunt","Age",2009,"55-64","participants",102312
"full-year","hunt","Age",2010,"55-64","participants",104429
"full-year","hunt","Age",2011,"55-64","participants",107627
"full-year","hunt","Age",2012,"55-64","participants",111702
"full-year","hunt","Age",2013,"55-64","participants",113858
"full-year","hunt","Age",2014,"55-64","participants",114128
"full-year","hunt","Age",2015,"55-64","participants",119503
"full-year","hunt","All",2009,"All","residents",528512
"full-year","hunt","All",2010,"All","residents",517585
"full-year","hunt","All",2011,"All","residents",514275
"full-year","hunt","All",2012,"All","residents",519605
"full-year","hunt","All",2013,"All","residents",514512
"full-year","hunt","All",2014,"All","residents",498401
"full-year","hunt","All",2015,"All","residents",498773
"full-year","hunt","Residency",2009,"Resident","residents",528512
"full-year","hunt","Residency",2010,"Resident","residents",517585
"full-year","hunt","Residency",2011,"Resident","residents",514275
"full-year","hunt","Residency",2012,"Resident","residents",519605
"full-year","hunt","Residency",2013,"Resident","residents",514512
"full-year","hunt","Residency",2014,"Resident","residents",498401
"full-year","hunt","Residency",2015,"Resident","residents",498773
"full-year","hunt","Gender",2009,"Male","residents",481783
"full-year","hunt","Gender",2010,"Male","residents",470823
"full-year","hunt","Gender",2011,"Male","residents",466312
"full-year","hunt","Gender",2012,"Male","residents",467579
"full-year","hunt","Gender",2013,"Male","residents",461447
"full-year","hunt","Gender",2014,"Male","residents",445310
"full-year","hunt","Gender",2015,"Male","residents",442451
"full-year","hunt","Gender",2009,"Female","residents",46729
"full-year","hunt","Gender",2010,"Female","residents",46762
"full-year","hunt","Gender",2011,"Female","residents",47963
"full-year","hunt","Gender",2012,"Female","residents",52026
"full-year","hunt","Gender",2013,"Female","residents",53065
"full-year","hunt","Gender",2014,"Female","residents",53091
"full-year","hunt","Gender",2015,"Female","residents",56322
"full-year","hunt","Age",2009,"18-24","residents",73898
"full-year","hunt","Age",2010,"18-24","residents",71814
"full-year","hunt","Age",2011,"18-24","residents",70533
"full-year","hunt","Age",2012,"18-24","residents",71506
"full-year","hunt","Age",2013,"18-24","residents",71645
"full-year","hunt","Age",2014,"18-24","residents",68556
"full-year","hunt","Age",2015,"18-24","residents",67300
"full-year","hunt","Age",2009,"25-34","residents",100770
"full-year","hunt","Age",2010,"25-34","residents",100399
"full-year","hunt","Age",2011,"25-34","residents",101263
"full-year","hunt","Age",2012,"25-34","residents",103894
"full-year","hunt","Age",2013,"25-34","residents",104428
"full-year","hunt","Age",2014,"25-34","residents",102265
"full-year","hunt","Age",2015,"25-34","residents",102836
"full-year","hunt","Age",2009,"35-44","residents",116990
"full-year","hunt","Age",2010,"35-44","residents",110082
"full-year","hunt","Age",2011,"35-44","residents",105583
"full-year","hunt","Age",2012,"35-44","residents",103996
"full-year","hunt","Age",2013,"35-44","residents",101226
"full-year","hunt","Age",2014,"35-44","residents",97242
"full-year","hunt","Age",2015,"35-44","residents",96380
"full-year","hunt","Age",2009,"45-54","residents",142812
"full-year","hunt","Age",2010,"45-54","residents",139111
"full-year","hunt","Age",2011,"45-54","residents",137674
"full-year","hunt","Age",2012,"45-54","residents",137058
"full-year","hunt","Age",2013,"45-54","residents",132199
"full-year","hunt","Age",2014,"45-54","residents",124968
"full-year","hunt","Age",2015,"45-54","residents",122150
"full-year","hunt","Age",2009,"55-64","residents",94043
"full-year","hunt","Age",2010,"55-64","residents",96179
"full-year","hunt","Age",2011,"55-64","residents",99223
"full-year","hunt","Age",2012,"55-64","residents",103152
"full-year","hunt","Age",2013,"55-64","residents",105013
"full-year","hunt","Age",2014,"55-64","residents",105371
"full-year","hunt","Age",2015,"55-64","residents",110108
"full-year","hunt","All",2014,"All","recruits",30441
"full-year","hunt","All",2015,"All","recruits",31094
"full-year","hunt","Residency",2014,"Resident","recruits",22553
"full-year","hunt","Residency",2015,"Resident","recruits",22767
"full-year","hunt","Residency",2014,"Nonresident","recruits",7888
"full-year","hunt","Residency",2015,"Nonresident","recruits",8327
"full-year","hunt","Gender",2014,"Male","recruits",22242
"full-year","hunt","Gender",2015,"Male","recruits",22665
"full-year","hunt","Gender",2014,"Female","recruits",8199
"full-year","hunt","Gender",2015,"Female","recruits",8429
"full-year","hunt","Age",2014,"18-24","recruits",5726
"full-year","hunt","Age",2015,"18-24","recruits",5406
"full-year","hunt","Age",2014,"25-34","recruits",8589
"full-year","hunt","Age",2015,"25-34","recruits",8833
"full-year","hunt","Age",2014,"35-44","recruits",6151
"full-year","hunt","Age",2015,"35-44","recruits",6132
"full-year","hunt","Age",2014,"45-54","recruits",5985
"full-year","hunt","Age",2015,"45-54","recruits",6205
"full-year","hunt","Age",2014,"55-64","recruits",3989
"full-year","hunt","Age",2015,"55-64","recruits",4517
"full-year","hunt","All",2010,"All","churn",0.143091060169119
