timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,all_sports,18-24,2010,participants,66439.55752919226,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2011,participants,80986.94589487607,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2012,participants,83246.7186524537,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2013,participants,91905.52279356433,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2014,participants,94111.15988459808,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2015,participants,95205.70289928446,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2016,participants,94459.2175259064,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2017,participants,94353.92770306948,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2018,participants,88661.92741532564,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2019,participants,92361.28108799945,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2014,participants - recruited,46643.79018463135,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2015,participants - recruited,46241.32455967677,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2016,participants - recruited,45142.53562552231,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2017,participants - recruited,43544.61226928695,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2018,participants - recruited,39733.74706813214,age,FL,Southeast,NONE,NA
mid-year,all_sports,18-24,2019,participants - recruited,42653.9664490113,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2010,participants,64889.94976551182,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2011,participants,79602.22605084477,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2012,participants,81816.25122912442,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2013,participants,90378.7690638566,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2014,participants,92479.18334973145,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2015,participants,93882.01573400751,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2016,participants,93108.33978366149,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2017,participants,93048.45301843174,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2018,participants,87278.16557116028,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2019,participants,90691.42120873075,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2014,participants - recruited,46890.0679655175,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2015,participants - recruited,46534.66566594521,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2016,participants - recruited,45353.01762047649,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2017,participants - recruited,43743.26924352897,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2018,participants - recruited,39770.54853843378,age,FL,Southeast,NONE,NA
mid-year,fish,18-24,2019,participants - recruited,42687.38858132386,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2010,participants,8139.232727792876,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2011,participants,8159.036843699078,age,FL,Southeast,NONE,NA
