timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,hunt,all,2010,participants,57459,all,GA,Southeast,NONE,NA
mid-year,hunt,all,2011,participants,59378,all,GA,Southeast,NONE,NA
mid-year,hunt,all,2012,participants,60166,all,GA,Southeast,NONE,NA
mid-year,hunt,all,2013,participants,59784,all,GA,Southeast,NONE,NA
mid-year,hunt,all,2014,participants,62347,all,GA,Southeast,NONE,NA
mid-year,hunt,all,2015,participants,67161,all,GA,Southeast,NONE,NA
mid-year,hunt,all,2016,participants,70323,all,GA,Southeast,NONE,NA
mid-year,hunt,resident,2010,participants,41062,residency,GA,Southeast,NONE,NA
mid-year,hunt,resident,2011,participants,43298,residency,GA,Southeast,NONE,NA
mid-year,hunt,resident,2012,participants,43711,residency,GA,Southeast,NONE,NA
mid-year,hunt,resident,2013,participants,44360,residency,GA,Southeast,NONE,NA
mid-year,hunt,resident,2014,participants,46218,residency,GA,Southeast,NONE,NA
mid-year,hunt,resident,2015,participants,49773,residency,GA,Southeast,NONE,NA
mid-year,hunt,resident,2016,participants,52808,residency,GA,Southeast,NONE,NA
mid-year,hunt,nonresident,2010,participants,16397,residency,GA,Southeast,NONE,NA
mid-year,hunt,nonresident,2011,participants,16080,residency,GA,Southeast,NONE,NA
mid-year,hunt,nonresident,2012,participants,16455,residency,GA,Southeast,NONE,NA
mid-year,hunt,nonresident,2013,participants,15424,residency,GA,Southeast,NONE,NA
mid-year,hunt,nonresident,2014,participants,16129,residency,GA,Southeast,NONE,NA
mid-year,hunt,nonresident,2015,participants,17388,residency,GA,Southeast,NONE,NA
mid-year,hunt,nonresident,2016,participants,17515,residency,GA,Southeast,NONE,NA
mid-year,hunt,male,2010,participants,51808,gender,GA,Southeast,NONE,NA
mid-year,hunt,male,2011,participants,53538,gender,GA,Southeast,NONE,NA
mid-year,hunt,male,2012,participants,53793,gender,GA,Southeast,NONE,NA
mid-year,hunt,male,2013,participants,53471,gender,GA,Southeast,NONE,NA
mid-year,hunt,male,2014,participants,55666,gender,GA,Southeast,NONE,NA
mid-year,hunt,male,2015,participants,59555,gender,GA,Southeast,NONE,NA
mid-year,hunt,male,2016,participants,62161,gender,GA,Southeast,NONE,NA
mid-year,hunt,female,2010,participants,5651,gender,GA,Southeast,NONE,NA
mid-year,hunt,female,2011,participants,5840,gender,GA,Southeast,NONE,NA
mid-year,hunt,female,2012,participants,6373,gender,GA,Southeast,NONE,NA
mid-year,hunt,female,2013,participants,6313,gender,GA,Southeast,NONE,NA
mid-year,hunt,female,2014,participants,6681,gender,GA,Southeast,NONE,NA
mid-year,hunt,female,2015,participants,7606,gender,GA,Southeast,NONE,NA
mid-year,hunt,female,2016,participants,8162,gender,GA,Southeast,NONE,NA
mid-year,hunt,18-24,2010,participants,5852,age,GA,Southeast,NONE,NA
mid-year,hunt,18-24,2011,participants,6245,age,GA,Southeast,NONE,NA
mid-year,hunt,18-24,2012,participants,6577,age,GA,Southeast,NONE,NA
mid-year,hunt,18-24,2013,participants,7057,age,GA,Southeast,NONE,NA
mid-year,hunt,18-24,2014,participants,7273,age,GA,Southeast,NONE,NA
mid-year,hunt,18-24,2015,participants,7676,age,GA,Southeast,NONE,NA
mid-year,hunt,18-24,2016,participants,8495,age,GA,Southeast,NONE,NA
mid-year,hunt,25-34,2010,participants,11307,age,GA,Southeast,NONE,NA
mid-year,hunt,25-34,2011,participants,11990,age,GA,Southeast,NONE,NA
mid-year,hunt,25-34,2012,participants,12436,age,GA,Southeast,NONE,NA
mid-year,hunt,25-34,2013,participants,12605,age,GA,Southeast,NONE,NA
mid-year,hunt,25-34,2014,participants,13019,age,GA,Southeast,NONE,NA
mid-year,hunt,25-34,2015,participants,14111,age,GA,Southeast,NONE,NA
mid-year,hunt,25-34,2016,participants,14754,age,GA,Southeast,NONE,NA
mid-year,hunt,35-44,2010,participants,13460,age,GA,Southeast,NONE,NA
mid-year,hunt,35-44,2011,participants,13723,age,GA,Southeast,NONE,NA
mid-year,hunt,35-44,2012,participants,13871,age,GA,Southeast,NONE,NA
mid-year,hunt,35-44,2013,participants,13482,age,GA,Southeast,NONE,NA
mid-year,hunt,35-44,2014,participants,14015,age,GA,Southeast,NONE,NA
mid-year,hunt,35-44,2015,participants,14739,age,GA,Southeast,NONE,NA
mid-year,hunt,35-44,2016,participants,15175,age,GA,Southeast,NONE,NA
mid-year,hunt,45-54,2010,participants,14777,age,GA,Southeast,NONE,NA
