timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,hunt,all,2010,participants,75482,all,IA,Midwest,NONE,NA
mid-year,hunt,all,2011,participants,72715,all,IA,Midwest,NONE,NA
mid-year,hunt,all,2012,participants,72892,all,IA,Midwest,NONE,NA
mid-year,hunt,all,2013,participants,76216,all,IA,Midwest,NONE,NA
mid-year,hunt,all,2014,participants,73395,all,IA,Midwest,NONE,NA
mid-year,hunt,all,2015,participants,73395,all,IA,Midwest,NONE,NA
mid-year,hunt,all,2016,participants,76069,all,IA,Midwest,NONE,NA
mid-year,hunt,all,2017,participants,72513,all,IA,Midwest,NONE,NA
mid-year,hunt,all,2018,participants,71023,all,IA,Midwest,NONE,NA
mid-year,hunt,resident,2010,participants,65254,residency,IA,Midwest,NONE,NA
mid-year,hunt,resident,2011,participants,63316,residency,IA,Midwest,NONE,NA
mid-year,hunt,resident,2012,participants,63405,residency,IA,Midwest,NONE,NA
mid-year,hunt,resident,2013,participants,67177,residency,IA,Midwest,NONE,NA
mid-year,hunt,resident,2014,participants,64849,residency,IA,Midwest,NONE,NA
mid-year,hunt,resident,2015,participants,64087,residency,IA,Midwest,NONE,NA
mid-year,hunt,resident,2016,participants,66597,residency,IA,Midwest,NONE,NA
mid-year,hunt,resident,2017,participants,62817,residency,IA,Midwest,NONE,NA
mid-year,hunt,resident,2018,participants,60904,residency,IA,Midwest,NONE,NA
mid-year,hunt,nonresident,2010,participants,10228,residency,IA,Midwest,NONE,NA
mid-year,hunt,nonresident,2011,participants,9399,residency,IA,Midwest,NONE,NA
mid-year,hunt,nonresident,2012,participants,9487,residency,IA,Midwest,NONE,NA
mid-year,hunt,nonresident,2013,participants,9039,residency,IA,Midwest,NONE,NA
mid-year,hunt,nonresident,2014,participants,8546,residency,IA,Midwest,NONE,NA
mid-year,hunt,nonresident,2015,participants,9308,residency,IA,Midwest,NONE,NA
mid-year,hunt,nonresident,2016,participants,9472,residency,IA,Midwest,NONE,NA
mid-year,hunt,nonresident,2017,participants,9696,residency,IA,Midwest,NONE,NA
mid-year,hunt,nonresident,2018,participants,10119,residency,IA,Midwest,NONE,NA
mid-year,hunt,male,2010,participants,72835,gender,IA,Midwest,NONE,NA
mid-year,hunt,male,2011,participants,70200,gender,IA,Midwest,NONE,NA
mid-year,hunt,male,2012,participants,70112,gender,IA,Midwest,NONE,NA
mid-year,hunt,male,2013,participants,73011,gender,IA,Midwest,NONE,NA
mid-year,hunt,male,2014,participants,69986,gender,IA,Midwest,NONE,NA
mid-year,hunt,male,2015,participants,69664,gender,IA,Midwest,NONE,NA
mid-year,hunt,male,2016,participants,72030,gender,IA,Midwest,NONE,NA
mid-year,hunt,male,2017,participants,68679,gender,IA,Midwest,NONE,NA
mid-year,hunt,male,2018,participants,67118,gender,IA,Midwest,NONE,NA
mid-year,hunt,female,2010,participants,2647,gender,IA,Midwest,NONE,NA
mid-year,hunt,female,2011,participants,2515,gender,IA,Midwest,NONE,NA
mid-year,hunt,female,2012,participants,2780,gender,IA,Midwest,NONE,NA
mid-year,hunt,female,2013,participants,3205,gender,IA,Midwest,NONE,NA
mid-year,hunt,female,2014,participants,3409,gender,IA,Midwest,NONE,NA
mid-year,hunt,female,2015,participants,3731,gender,IA,Midwest,NONE,NA
mid-year,hunt,female,2016,participants,4039,gender,IA,Midwest,NONE,NA
mid-year,hunt,female,2017,participants,3834,gender,IA,Midwest,NONE,NA
mid-year,hunt,female,2018,participants,3905,gender,IA,Midwest,NONE,NA
mid-year,hunt,18-24,2010,participants,6822,age,IA,Midwest,NONE,NA
mid-year,hunt,18-24,2011,participants,6799,age,IA,Midwest,NONE,NA
mid-year,hunt,18-24,2012,participants,7015,age,IA,Midwest,NONE,NA
mid-year,hunt,18-24,2013,participants,7873,age,IA,Midwest,NONE,NA
mid-year,hunt,18-24,2014,participants,8004,age,IA,Midwest,NONE,NA
mid-year,hunt,18-24,2015,participants,8082,age,IA,Midwest,NONE,NA
mid-year,hunt,18-24,2016,participants,8418,age,IA,Midwest,NONE,NA
mid-year,hunt,18-24,2017,participants,7901,age,IA,Midwest,NONE,NA
mid-year,hunt,18-24,2018,participants,7792,age,IA,Midwest,NONE,NA
mid-year,hunt,25-34,2010,participants,13685,age,IA,Midwest,NONE,NA
mid-year,hunt,25-34,2011,participants,13305,age,IA,Midwest,NONE,NA
mid-year,hunt,25-34,2012,participants,13321,age,IA,Midwest,NONE,NA
mid-year,hunt,25-34,2013,participants,14555,age,IA,Midwest,NONE,NA
mid-year,hunt,25-34,2014,participants,14367,age,IA,Midwest,NONE,NA
mid-year,hunt,25-34,2015,participants,14185,age,IA,Midwest,NONE,NA
mid-year,hunt,25-34,2016,participants,14758,age,IA,Midwest,NONE,NA
mid-year,hunt,25-34,2017,participants,14106,age,IA,Midwest,NONE,NA
mid-year,hunt,25-34,2018,participants,13911,age,IA,Midwest,NONE,NA
mid-year,hunt,35-44,2010,participants,16924,age,IA,Midwest,NONE,NA
mid-year,hunt,35-44,2011,participants,15878,age,IA,Midwest,NONE,NA
mid-year,hunt,35-44,2012,participants,15695,age,IA,Midwest,NONE,NA
mid-year,hunt,35-44,2013,participants,16001,age,IA,Midwest,NONE,NA
mid-year,hunt,35-44,2014,participants,15270,age,IA,Midwest,NONE,NA
mid-year,hunt,35-44,2015,participants,14959,age,IA,Midwest,NONE,NA
mid-year,hunt,35-44,2016,participants,15462,age,IA,Midwest,NONE,NA
mid-year,hunt,35-44,2017,participants,15011,age,IA,Midwest,NONE,NA
mid-year,hunt,35-44,2018,participants,15028,age,IA,Midwest,NONE,NA
mid-year,hunt,45-54,2010,participants,21579,age,IA,Midwest,NONE,NA
mid-year,hunt,45-54,2011,participants,20312,age,IA,Midwest,NONE,NA
mid-year,hunt,45-54,2012,participants,20026,age,IA,Midwest,NONE,NA
mid-year,hunt,45-54,2013,participants,20165,age,IA,Midwest,NONE,NA
mid-year,hunt,45-54,2014,participants,18568,age,IA,Midwest,NONE,NA
mid-year,hunt,45-54,2015,participants,18324,age,IA,Midwest,NONE,NA
mid-year,hunt,45-54,2016,participants,18457,age,IA,Midwest,NONE,NA
mid-year,hunt,45-54,2017,participants,17176,age,IA,Midwest,NONE,NA
mid-year,hunt,45-54,2018,participants,16184,age,IA,Midwest,NONE,NA
mid-year,hunt,55-64,2010,participants,16471,age,IA,Midwest,NONE,NA
mid-year,hunt,55-64,2011,participants,16420,age,IA,Midwest,NONE,NA
mid-year,hunt,55-64,2012,participants,16834,age,IA,Midwest,NONE,NA
mid-year,hunt,55-64,2013,participants,17621,age,IA,Midwest,NONE,NA
mid-year,hunt,55-64,2014,participants,17185,age,IA,Midwest,NONE,NA
mid-year,hunt,55-64,2015,participants,17844,age,IA,Midwest,NONE,NA
mid-year,hunt,55-64,2016,participants,18972,age,IA,Midwest,NONE,NA
mid-year,hunt,55-64,2017,participants,18318,age,IA,Midwest,NONE,NA
mid-year,hunt,55-64,2018,participants,18107,age,IA,Midwest,NONE,NA
mid-year,hunt,all,2014,participants - recruited,4559,all,IA,Midwest,NONE,NA
