timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,hunt,all,2009,participants,186739,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2010,participants,177039,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2011,participants,171213,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2012,participants,173999,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2013,participants,181633,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2014,participants,178254,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2015,participants,178668,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2016,participants,177896,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2017,participants,170992,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2018,participants,169280,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2019,participants,162536,all,MO,Midwest,NONE,NA
mid-year,hunt,resident,2009,participants,174856,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2010,participants,166661,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2011,participants,160941,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2012,participants,163550,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2013,participants,170143,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2014,participants,166130,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2015,participants,165658,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2016,participants,165017,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2017,participants,158259,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2018,participants,156097,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2019,participants,149888,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2009,participants,11883,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2010,participants,10378,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2011,participants,10272,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2012,participants,10449,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2013,participants,11490,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2014,participants,12124,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2015,participants,13010,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2016,participants,12879,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2017,participants,12733,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2018,participants,13183,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2019,participants,12648,residency,MO,Midwest,NONE,NA
mid-year,hunt,male,2009,participants,174433,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2010,participants,165273,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2011,participants,159792,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2012,participants,161721,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2013,participants,167766,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2014,participants,164216,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2015,participants,164123,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2016,participants,162792,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2017,participants,156654,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2018,participants,155204,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2019,participants,149135,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2009,participants,12306,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2010,participants,11766,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2011,participants,11421,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2012,participants,12278,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2013,participants,13867,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2014,participants,14038,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2015,participants,14545,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2016,participants,15104,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2017,participants,14338,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2018,participants,14076,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2019,participants,13401,gender,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2009,participants,20401,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2010,participants,19393,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2011,participants,19239,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2012,participants,19537,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2013,participants,21787,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2014,participants,21413,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2015,participants,21587,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2016,participants,21301,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2017,participants,20011,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2018,participants,19873,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2019,participants,19412,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2009,participants,33331,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2010,participants,31712,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2011,participants,31033,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2012,participants,31568,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2013,participants,34668,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2014,participants,33918,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2015,participants,34233,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2016,participants,34137,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2017,participants,32951,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2018,participants,32656,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2019,participants,31446,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2009,participants,41239,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2010,participants,37625,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2011,participants,35593,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2012,participants,36167,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2013,participants,37579,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2014,participants,36307,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2015,participants,35868,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2016,participants,35454,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2017,participants,34523,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2018,participants,34601,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2019,participants,33433,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2009,participants,52231,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2010,participants,49328,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2011,participants,46906,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2012,participants,46667,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2013,participants,46506,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2014,participants,44601,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2015,participants,43722,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2016,participants,42433,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2017,participants,39755,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2018,participants,37973,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2019,participants,35347,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2009,participants,39536,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2010,participants,38981,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2011,participants,38441,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2012,participants,40059,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2013,participants,41092,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2014,participants,42014,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2015,participants,43258,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2016,participants,44571,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2017,participants,43751,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2018,participants,44176,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2019,participants,42897,age,MO,Midwest,NONE,NA
mid-year,hunt,all,2013,participants - recruited,11355,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2014,participants - recruited,11120,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2015,participants - recruited,11284,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2016,participants - recruited,10830,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2017,participants - recruited,9845,all,MO,Midwest,NONE,NA
mid-year,hunt,all,2018,participants - recruited,10355,all,MO,Midwest,NONE,NA
