timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,all_sports,18-24,2010,participants,187512,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,25-34,2010,participants,300956,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,35-44,2010,participants,316881,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,45-54,2010,participants,388264,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,55-64,2010,participants,301691,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,18-24,2011,participants,177036,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,25-34,2011,participants,285563,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,35-44,2011,participants,290785,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,45-54,2011,participants,360472,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,55-64,2011,participants,292659,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,18-24,2012,participants,202046,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,25-34,2012,participants,317571,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,35-44,2012,participants,316017,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,45-54,2012,participants,384634,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,55-64,2012,participants,321912,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,18-24,2013,participants,190799,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,25-34,2013,participants,293803,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,35-44,2013,participants,287981,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,45-54,2013,participants,347422,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,55-64,2013,participants,306199,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,18-24,2014,participants,195817,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,25-34,2014,participants,301434,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,35-44,2014,participants,288457,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,45-54,2014,participants,339939,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,55-64,2014,participants,314953,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,18-24,2015,participants,193484,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,25-34,2015,participants,302858,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,35-44,2015,participants,287422,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,45-54,2015,participants,333886,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,55-64,2015,participants,327329,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,18-24,2016,participants,189756,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,25-34,2016,participants,300008,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,35-44,2016,participants,286711,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,45-54,2016,participants,324044,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,55-64,2016,participants,334367,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,18-24,2017,participants,174494,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,25-34,2017,participants,279912,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,35-44,2017,participants,276918,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,45-54,2017,participants,299449,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,55-64,2017,participants,326994,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,18-24,2018,participants,164924,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,25-34,2018,participants,270226,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,35-44,2018,participants,275804,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,45-54,2018,participants,285075,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,55-64,2018,participants,329628,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,18-24,2019,participants,157883,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,25-34,2019,participants,254180,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,35-44,2019,participants,266480,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,45-54,2019,participants,264248,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,55-64,2019,participants,319280,age,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,all,2010,participants,1495304,all,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,all,2011,participants,1406513,all,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,all,2012,participants,1542180,all,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,all,2013,participants,1426204,all,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,all,2014,participants,1440599,all,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,all,2015,participants,1444978,all,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,all,2016,participants,1434887,all,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,all,2017,participants,1357765,all,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,all,2018,participants,1325656,all,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,all,2019,participants,1262073,all,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,female,2010,participants,386521,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,male,2010,participants,1108783,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,female,2011,participants,362063,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,male,2011,participants,1044450,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,female,2012,participants,415073,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,male,2012,participants,1127107,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,female,2013,participants,376409,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,male,2013,participants,1049795,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,female,2014,participants,390685,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,male,2014,participants,1049914,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,female,2015,participants,393147,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,male,2015,participants,1051831,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,female,2016,participants,389066,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,male,2016,participants,1045821,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,female,2017,participants,361833,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,male,2017,participants,995932,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,female,2018,participants,352727,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,male,2018,participants,972929,gender,Midwest,Midwest,sum,"MO,WI"
mid-year,all_sports,female,2019,participants,334937,gender,Midwest,Midwest,sum,"MO,WI"
