timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,hunt,all,2009,participants,40052,all,SC,Southeast,NONE,NA
mid-year,hunt,all,2010,participants,55723,all,SC,Southeast,NONE,NA
mid-year,hunt,all,2011,participants,59677,all,SC,Southeast,NONE,NA
mid-year,hunt,all,2012,participants,45889,all,SC,Southeast,NONE,NA
mid-year,hunt,all,2013,participants,46396,all,SC,Southeast,NONE,NA
mid-year,hunt,all,2014,participants,35903,all,SC,Southeast,NONE,NA
mid-year,hunt,all,2015,participants,55354,all,SC,Southeast,NONE,NA
mid-year,hunt,all,2016,participants,42927,all,SC,Southeast,NONE,NA
mid-year,hunt,all,2017,participants,44369,all,SC,Southeast,NONE,NA
mid-year,hunt,all,2018,participants,46667,all,SC,Southeast,NONE,NA
mid-year,hunt,resident,2009,participants,34374,residency,SC,Southeast,NONE,NA
mid-year,hunt,resident,2010,participants,49723,residency,SC,Southeast,NONE,NA
mid-year,hunt,resident,2011,participants,53106,residency,SC,Southeast,NONE,NA
mid-year,hunt,resident,2012,participants,40550,residency,SC,Southeast,NONE,NA
mid-year,hunt,resident,2013,participants,40950,residency,SC,Southeast,NONE,NA
mid-year,hunt,resident,2014,participants,30388,residency,SC,Southeast,NONE,NA
mid-year,hunt,resident,2015,participants,48470,residency,SC,Southeast,NONE,NA
mid-year,hunt,resident,2016,participants,36827,residency,SC,Southeast,NONE,NA
mid-year,hunt,resident,2017,participants,38096,residency,SC,Southeast,NONE,NA
mid-year,hunt,resident,2018,participants,39688,residency,SC,Southeast,NONE,NA
mid-year,hunt,nonresident,2009,participants,5678,residency,SC,Southeast,NONE,NA
mid-year,hunt,nonresident,2010,participants,6e3,residency,SC,Southeast,NONE,NA
mid-year,hunt,nonresident,2011,participants,6571,residency,SC,Southeast,NONE,NA
mid-year,hunt,nonresident,2012,participants,5339,residency,SC,Southeast,NONE,NA
mid-year,hunt,nonresident,2013,participants,5446,residency,SC,Southeast,NONE,NA
mid-year,hunt,nonresident,2014,participants,5515,residency,SC,Southeast,NONE,NA
mid-year,hunt,nonresident,2015,participants,6884,residency,SC,Southeast,NONE,NA
mid-year,hunt,nonresident,2016,participants,6100,residency,SC,Southeast,NONE,NA
mid-year,hunt,nonresident,2017,participants,6273,residency,SC,Southeast,NONE,NA
mid-year,hunt,nonresident,2018,participants,6979,residency,SC,Southeast,NONE,NA
mid-year,hunt,male,2009,participants,36342,gender,SC,Southeast,NONE,NA
mid-year,hunt,male,2010,participants,50092,gender,SC,Southeast,NONE,NA
mid-year,hunt,male,2011,participants,52956,gender,SC,Southeast,NONE,NA
