timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,all_sports,18-24,2009,participants,42129,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,25-34,2009,participants,66585,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,35-44,2009,participants,75792,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,45-54,2009,participants,78514,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,55-64,2009,participants,52048,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,18-24,2010,participants,41549,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,25-34,2010,participants,64676,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,35-44,2010,participants,70014,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,45-54,2010,participants,74122,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,55-64,2010,participants,51213,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,18-24,2011,participants,41310,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,25-34,2011,participants,62599,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,35-44,2011,participants,66599,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,45-54,2011,participants,71707,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,55-64,2011,participants,51921,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,18-24,2012,participants,44024,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,25-34,2012,participants,65160,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,35-44,2012,participants,66759,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,45-54,2012,participants,72423,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,55-64,2012,participants,53812,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,18-24,2013,participants,43969,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,25-34,2013,participants,62838,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,35-44,2013,participants,62019,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,45-54,2013,participants,67377,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,55-64,2013,participants,51868,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,18-24,2014,participants,45866,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,25-34,2014,participants,65504,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,35-44,2014,participants,62837,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,45-54,2014,participants,67516,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,55-64,2014,participants,53179,age,Southeast,Southeast,sum,"FL,VA"
mid-year,all_sports,18-24,2015,participants,44151,age,Southeast,Southeast,sum,"FL,VA"
