timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,all_sports,18-24,2010,participants,366855.55752919224,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,25-34,2010,participants,608892.0700711091,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,35-44,2010,participants,660321.8870176527,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,45-54,2010,participants,780516.8249725944,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,55-64,2010,participants,632564.6604094515,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,18-24,2011,participants,368810.9458948761,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,25-34,2011,participants,608003.2255105459,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,35-44,2011,participants,640605.3888107924,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,45-54,2011,participants,759801.8118946528,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,55-64,2011,participants,636523.6278891328,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,18-24,2012,participants,402733.7186524537,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,25-34,2012,participants,651285.3996563951,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,35-44,2012,participants,670241.5597785783,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,45-54,2012,participants,786971.6337732065,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,55-64,2012,participants,675768.6881393665,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,18-24,2013,participants,400661.52279356436,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,25-34,2013,participants,636261.4489149364,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,35-44,2013,participants,640129.5399784108,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,45-54,2013,participants,748786.7576288155,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,55-64,2013,participants,666845.7306842731,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,18-24,2014,participants,412072.1598845981,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,25-34,2014,participants,656727.2978190095,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,35-44,2014,participants,643127.5258198566,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
mid-year,all_sports,45-54,2014,participants,738076.6404197877,age,US,US,sum,"FL,MO,OR,SC,VA,WI"
