timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,hunt,all,2009,participants,171658,all,WI,Midwest,NONE,NA
mid-year,hunt,all,2010,participants,161629,all,WI,Midwest,NONE,NA
mid-year,hunt,all,2011,participants,153678,all,WI,Midwest,NONE,NA
mid-year,hunt,all,2012,participants,152113,all,WI,Midwest,NONE,NA
mid-year,hunt,all,2013,participants,149271,all,WI,Midwest,NONE,NA
mid-year,hunt,all,2014,participants,141543,all,WI,Midwest,NONE,NA
mid-year,hunt,all,2015,participants,142637,all,WI,Midwest,NONE,NA
mid-year,hunt,resident,2009,participants,166635,residency,WI,Midwest,NONE,NA
mid-year,hunt,resident,2010,participants,156631,residency,WI,Midwest,NONE,NA
mid-year,hunt,resident,2011,participants,148859,residency,WI,Midwest,NONE,NA
mid-year,hunt,resident,2012,participants,147566,residency,WI,Midwest,NONE,NA
mid-year,hunt,resident,2013,participants,144519,residency,WI,Midwest,NONE,NA
mid-year,hunt,resident,2014,participants,137121,residency,WI,Midwest,NONE,NA
mid-year,hunt,resident,2015,participants,137836,residency,WI,Midwest,NONE,NA
mid-year,hunt,nonresident,2009,participants,5023,residency,WI,Midwest,NONE,NA
mid-year,hunt,nonresident,2010,participants,4998,residency,WI,Midwest,NONE,NA
mid-year,hunt,nonresident,2011,participants,4819,residency,WI,Midwest,NONE,NA
mid-year,hunt,nonresident,2012,participants,4547,residency,WI,Midwest,NONE,NA
mid-year,hunt,nonresident,2013,participants,4752,residency,WI,Midwest,NONE,NA
mid-year,hunt,nonresident,2014,participants,4422,residency,WI,Midwest,NONE,NA
mid-year,hunt,nonresident,2015,participants,4801,residency,WI,Midwest,NONE,NA
mid-year,hunt,male,2009,participants,160179,gender,WI,Midwest,NONE,NA
mid-year,hunt,male,2010,participants,150537,gender,WI,Midwest,NONE,NA
mid-year,hunt,male,2011,participants,142862,gender,WI,Midwest,NONE,NA
mid-year,hunt,male,2012,participants,141093,gender,WI,Midwest,NONE,NA
mid-year,hunt,male,2013,participants,138252,gender,WI,Midwest,NONE,NA
mid-year,hunt,male,2014,participants,130633,gender,WI,Midwest,NONE,NA
mid-year,hunt,male,2015,participants,131053,gender,WI,Midwest,NONE,NA
mid-year,hunt,female,2009,participants,11479,gender,WI,Midwest,NONE,NA
mid-year,hunt,female,2010,participants,11092,gender,WI,Midwest,NONE,NA
mid-year,hunt,female,2011,participants,10816,gender,WI,Midwest,NONE,NA
mid-year,hunt,female,2012,participants,11020,gender,WI,Midwest,NONE,NA
mid-year,hunt,female,2013,participants,11019,gender,WI,Midwest,NONE,NA
mid-year,hunt,female,2014,participants,10910,gender,WI,Midwest,NONE,NA
mid-year,hunt,female,2015,participants,11584,gender,WI,Midwest,NONE,NA
mid-year,hunt,18-24,2009,participants,16804,age,WI,Midwest,NONE,NA
mid-year,hunt,18-24,2010,participants,16286,age,WI,Midwest,NONE,NA
mid-year,hunt,18-24,2011,participants,15338,age,WI,Midwest,NONE,NA
mid-year,hunt,18-24,2012,participants,15497,age,WI,Midwest,NONE,NA
mid-year,hunt,18-24,2013,participants,15699,age,WI,Midwest,NONE,NA
mid-year,hunt,18-24,2014,participants,15206,age,WI,Midwest,NONE,NA
mid-year,hunt,18-24,2015,participants,15440,age,WI,Midwest,NONE,NA
mid-year,hunt,25-34,2009,participants,27196,age,WI,Midwest,NONE,NA
mid-year,hunt,25-34,2010,participants,25950,age,WI,Midwest,NONE,NA
mid-year,hunt,25-34,2011,participants,25085,age,WI,Midwest,NONE,NA
mid-year,hunt,25-34,2012,participants,25033,age,WI,Midwest,NONE,NA
mid-year,hunt,25-34,2013,participants,24794,age,WI,Midwest,NONE,NA
mid-year,hunt,25-34,2014,participants,24093,age,WI,Midwest,NONE,NA
mid-year,hunt,25-34,2015,participants,24603,age,WI,Midwest,NONE,NA
mid-year,hunt,35-44,2009,participants,40135,age,WI,Midwest,NONE,NA
mid-year,hunt,35-44,2010,participants,35864,age,WI,Midwest,NONE,NA
mid-year,hunt,35-44,2011,participants,32527,age,WI,Midwest,NONE,NA
mid-year,hunt,35-44,2012,participants,31063,age,WI,Midwest,NONE,NA
