timeframe,group,segment,year,category,metric,value,state
mid-year,hunt,age,2009,18-24,participants,2487,SC
mid-year,hunt,age,2010,18-24,participants,4477,SC
mid-year,hunt,age,2011,18-24,participants,5379,SC
mid-year,hunt,age,2012,18-24,participants,3697,SC
mid-year,hunt,age,2013,18-24,participants,4003,SC
mid-year,hunt,age,2014,18-24,participants,2695,SC
mid-year,hunt,age,2015,18-24,participants,5749,SC
mid-year,hunt,age,2016,18-24,participants,4062,SC
mid-year,hunt,age,2017,18-24,participants,4217,SC
mid-year,hunt,age,2018,18-24,participants,4784,SC
mid-year,hunt,age,2019,18-24,participants,4928,SC
mid-year,hunt,age,2014,18-24,recruits,718,SC
mid-year,hunt,age,2015,18-24,recruits,912,SC
mid-year,hunt,age,2016,18-24,recruits,960,SC
mid-year,hunt,age,2017,18-24,recruits,876,SC
mid-year,hunt,age,2018,18-24,recruits,902,SC
mid-year,fish,age,2009,18-24,participants,27047,SC
mid-year,fish,age,2010,18-24,participants,28627,SC
mid-year,fish,age,2011,18-24,participants,29089,SC
mid-year,fish,age,2012,18-24,participants,32249,SC
mid-year,fish,age,2013,18-24,participants,30010,SC
mid-year,fish,age,2014,18-24,participants,32855,SC
mid-year,fish,age,2015,18-24,participants,34018,SC
mid-year,fish,age,2016,18-24,participants,35228,SC
mid-year,fish,age,2017,18-24,participants,34291,SC
mid-year,fish,age,2018,18-24,participants,32407,SC
mid-year,fish,age,2019,18-24,participants,35272,SC
mid-year,fish,age,2014,18-24,recruits,16096,SC
mid-year,fish,age,2015,18-24,recruits,16910,SC
mid-year,fish,age,2016,18-24,recruits,16703,SC
mid-year,fish,age,2017,18-24,recruits,15423,SC
mid-year,fish,age,2018,18-24,recruits,14243,SC
mid-year,all_sports,age,2009,18-24,participants,27917,SC
mid-year,all_sports,age,2010,18-24,participants,29871,SC
mid-year,all_sports,age,2011,18-24,participants,30624,SC
mid-year,all_sports,age,2012,18-24,participants,33560,SC
mid-year,all_sports,age,2013,18-24,participants,31595,SC
mid-year,all_sports,age,2014,18-24,participants,34009,SC
mid-year,all_sports,age,2015,18-24,participants,37743,SC
mid-year,all_sports,age,2016,18-24,participants,37132,SC
mid-year,all_sports,age,2017,18-24,participants,35924,SC
mid-year,all_sports,age,2018,18-24,participants,34129,SC
mid-year,all_sports,age,2019,18-24,participants,37092,SC
mid-year,all_sports,age,2014,18-24,recruits,16077,SC
mid-year,all_sports,age,2015,18-24,recruits,16968,SC
mid-year,all_sports,age,2016,18-24,recruits,16748,SC
mid-year,all_sports,age,2017,18-24,recruits,15498,SC
mid-year,all_sports,age,2018,18-24,recruits,14302,SC
mid-year,hunt,age,2019,18-24,recruits,973.1999999999825,SC
mid-year,fish,age,2019,18-24,recruits,14317.099999999744,SC
mid-year,all_sports,age,2019,18-24,recruits,14412.599999999744,SC
mid-year,hunt,age,2009,25-34,participants,4878,SC
mid-year,hunt,age,2010,25-34,participants,7756,SC
mid-year,hunt,age,2011,25-34,participants,8427,SC
mid-year,hunt,age,2012,25-34,participants,5736,SC
mid-year,hunt,age,2013,25-34,participants,6120,SC
