timeframe,group,category,year,metric,value,segment
Mid-year,all_sports,18-24,2009,participants,53653.116232080414,age
Mid-year,all_sports,18-24,2010,participants,66439.55752919226,age
Mid-year,all_sports,18-24,2011,participants,80986.94589487607,age
Mid-year,all_sports,18-24,2012,participants,83246.7186524537,age
Mid-year,all_sports,18-24,2013,participants,91905.52279356433,age
Mid-year,all_sports,18-24,2014,participants,94111.15988459808,age
Mid-year,all_sports,18-24,2015,participants,95205.70289928446,age
Mid-year,all_sports,18-24,2016,participants,94459.2175259064,age
Mid-year,all_sports,18-24,2017,participants,94353.92770306948,age
Mid-year,all_sports,18-24,2018,participants,88661.92741532564,age
Mid-year,all_sports,18-24,2019,participants,92361.28108799945,age
Mid-year,all_sports,18-24,2014,recruits,46643.79018463135,age
Mid-year,all_sports,18-24,2015,recruits,46241.32455967677,age
Mid-year,all_sports,18-24,2016,recruits,45142.53562552231,age
Mid-year,all_sports,18-24,2017,recruits,43544.61226928695,age
Mid-year,all_sports,18-24,2018,recruits,39733.74706813214,age
Mid-year,all_sports,18-24,2019,recruits,42653.9664490113,age
Mid-year,fish,18-24,2009,participants,52141.91100874303,age
Mid-year,fish,18-24,2010,participants,64889.94976551182,age
Mid-year,fish,18-24,2011,participants,79602.22605084477,age
Mid-year,fish,18-24,2012,participants,81816.25122912442,age
Mid-year,fish,18-24,2013,participants,90378.7690638566,age
Mid-year,fish,18-24,2014,participants,92479.18334973145,age
Mid-year,fish,18-24,2015,participants,93882.01573400751,age
Mid-year,fish,18-24,2016,participants,93108.33978366149,age
Mid-year,fish,18-24,2017,participants,93048.45301843174,age
Mid-year,fish,18-24,2018,participants,87278.16557116028,age
Mid-year,fish,18-24,2019,participants,90691.42120873075,age
Mid-year,fish,18-24,2014,recruits,46890.0679655175,age
Mid-year,fish,18-24,2015,recruits,46534.66566594521,age
Mid-year,fish,18-24,2016,recruits,45353.01762047649,age
Mid-year,fish,18-24,2017,recruits,43743.26924352897,age
Mid-year,fish,18-24,2018,recruits,39770.54853843378,age
Mid-year,fish,18-24,2019,recruits,42687.38858132386,age
Mid-year,hunt,18-24,2009,participants,7985.286910077675,age
Mid-year,hunt,18-24,2010,participants,8139.232727792876,age
Mid-year,hunt,18-24,2011,participants,8159.036843699078,age
Mid-year,hunt,18-24,2012,participants,8289.621743655902,age
Mid-year,hunt,18-24,2013,participants,9221.697200533232,age
Mid-year,hunt,18-24,2014,participants,9403.59840806434,age
Mid-year,hunt,18-24,2015,participants,8410.206806943419,age
Mid-year,hunt,18-24,2016,participants,7956.903175422907,age
Mid-year,hunt,18-24,2017,participants,7705.117100536891,age
Mid-year,hunt,18-24,2018,participants,7665.706500681191,age
Mid-year,hunt,18-24,2019,participants,5167.7207787378975,age
Mid-year,hunt,18-24,2014,recruits,3649.9621446149013,age
Mid-year,hunt,18-24,2015,recruits,3263.710009409551,age
Mid-year,hunt,18-24,2016,recruits,2988.8430396772023,age
Mid-year,hunt,18-24,2017,recruits,2904.4556303691666,age
Mid-year,hunt,18-24,2018,recruits,2788.6932794815198,age
Mid-year,hunt,18-24,2019,recruits,2055.1054466004266,age
Mid-year,all_sports,25-34,2009,participants,96215.74576214772,age
Mid-year,all_sports,25-34,2010,participants,118458.07007110913,age
Mid-year,all_sports,25-34,2011,participants,138437.2255105459,age
Mid-year,all_sports,25-34,2012,participants,141387.39965639505,age
Mid-year,all_sports,25-34,2013,participants,153037.44891493637,age
Mid-year,all_sports,25-34,2014,participants,160077.29781900955,age
Mid-year,all_sports,25-34,2015,participants,170762.66538409612,age
Mid-year,all_sports,25-34,2016,participants,172345.92196659045,age
Mid-year,all_sports,25-34,2017,participants,173137.75034173904,age
Mid-year,all_sports,25-34,2018,participants,167267.07568685242,age
Mid-year,all_sports,25-34,2019,participants,173300.54123451328,age
Mid-year,all_sports,25-34,2014,recruits,64120.68202134351,age
Mid-year,all_sports,25-34,2015,recruits,66862.44175788978,age
Mid-year,all_sports,25-34,2016,recruits,66698.96321861535,age
Mid-year,all_sports,25-34,2017,recruits,63842.805570309385,age
Mid-year,all_sports,25-34,2018,recruits,59374.29753856278,age
Mid-year,all_sports,25-34,2019,recruits,62810.67546290302,age
Mid-year,fish,25-34,2009,participants,93578.7018349914,age
Mid-year,fish,25-34,2010,participants,115698.89963178996,age
Mid-year,fish,25-34,2011,participants,135953.7284716428,age
Mid-year,fish,25-34,2012,participants,138834.3704567263,age
Mid-year,fish,25-34,2013,participants,150274.0479373937,age
Mid-year,fish,25-34,2014,participants,157292.48185051372,age
Mid-year,fish,25-34,2015,participants,168296.23895085457,age
Mid-year,fish,25-34,2016,participants,169690.8155733225,age
Mid-year,fish,25-34,2017,participants,170522.93019931272,age
Mid-year,fish,25-34,2018,participants,164425.3762783743,age
Mid-year,fish,25-34,2019,participants,169516.52658972758,age
Mid-year,fish,25-34,2014,recruits,64206.773754492206,age
Mid-year,fish,25-34,2015,recruits,67047.04579048682,age
Mid-year,fish,25-34,2016,recruits,66806.3294457901,age
Mid-year,fish,25-34,2017,recruits,63932.39105593359,age
Mid-year,fish,25-34,2018,recruits,59295.07135236063,age
Mid-year,fish,25-34,2019,recruits,62667.08900515795,age
Mid-year,hunt,25-34,2009,participants,13897.034903587992,age
