timeframe,group,segment,year,category,metric,value
mid-year,hunt,All,2010,All,participants,57459
mid-year,hunt,All,2011,All,participants,59378
mid-year,hunt,All,2012,All,participants,60166
mid-year,hunt,All,2013,All,participants,59784
mid-year,hunt,All,2014,All,participants,62347
mid-year,hunt,All,2015,All,participants,67161
mid-year,hunt,All,2016,All,participants,70323
mid-year,hunt,Residency,2010,Resident,participants,41062
mid-year,hunt,Residency,2011,Resident,participants,43298
mid-year,hunt,Residency,2012,Resident,participants,43711
mid-year,hunt,Residency,2013,Resident,participants,44360
mid-year,hunt,Residency,2014,Resident,participants,46218
mid-year,hunt,Residency,2015,Resident,participants,49773
mid-year,hunt,Residency,2016,Resident,participants,52808
mid-year,hunt,Residency,2010,Nonresident,participants,16397
mid-year,hunt,Residency,2011,Nonresident,participants,16080
mid-year,hunt,Residency,2012,Nonresident,participants,16455
mid-year,hunt,Residency,2013,Nonresident,participants,15424
mid-year,hunt,Residency,2014,Nonresident,participants,16129
mid-year,hunt,Residency,2015,Nonresident,participants,17388
mid-year,hunt,Residency,2016,Nonresident,participants,17515
mid-year,hunt,Gender,2010,Male,participants,51808
mid-year,hunt,Gender,2011,Male,participants,53538
mid-year,hunt,Gender,2012,Male,participants,53793
mid-year,hunt,Gender,2013,Male,participants,53471
mid-year,hunt,Gender,2014,Male,participants,55666
mid-year,hunt,Gender,2015,Male,participants,59555
mid-year,hunt,Gender,2016,Male,participants,62161
mid-year,hunt,Gender,2010,Female,participants,5651
mid-year,hunt,Gender,2011,Female,participants,5840
mid-year,hunt,Gender,2012,Female,participants,6373
mid-year,hunt,Gender,2013,Female,participants,6313
mid-year,hunt,Gender,2014,Female,participants,6681
mid-year,hunt,Gender,2015,Female,participants,7606
mid-year,hunt,Gender,2016,Female,participants,8162
mid-year,hunt,Age,2010,18-24,participants,5852
mid-year,hunt,Age,2011,18-24,participants,6245
mid-year,hunt,Age,2012,18-24,participants,6577
mid-year,hunt,Age,2013,18-24,participants,7057
mid-year,hunt,Age,2014,18-24,participants,7273
mid-year,hunt,Age,2015,18-24,participants,7676
mid-year,hunt,Age,2016,18-24,participants,8495
mid-year,hunt,Age,2010,25-34,participants,11307
mid-year,hunt,Age,2011,25-34,participants,11990
mid-year,hunt,Age,2012,25-34,participants,12436
mid-year,hunt,Age,2013,25-34,participants,12605
mid-year,hunt,Age,2014,25-34,participants,13019
mid-year,hunt,Age,2015,25-34,participants,14111
mid-year,hunt,Age,2016,25-34,participants,14754
mid-year,hunt,Age,2010,35-44,participants,13460
mid-year,hunt,Age,2011,35-44,participants,13723
mid-year,hunt,Age,2012,35-44,participants,13871
mid-year,hunt,Age,2013,35-44,participants,13482
mid-year,hunt,Age,2014,35-44,participants,14015
mid-year,hunt,Age,2015,35-44,participants,14739
mid-year,hunt,Age,2016,35-44,participants,15175
mid-year,hunt,Age,2010,45-54,participants,14777
mid-year,hunt,Age,2011,45-54,participants,14992
mid-year,hunt,Age,2012,45-54,participants,14747
mid-year,hunt,Age,2013,45-54,participants,14143
mid-year,hunt,Age,2014,45-54,participants,14858
mid-year,hunt,Age,2015,45-54,participants,15899
mid-year,hunt,Age,2016,45-54,participants,16307
mid-year,hunt,Age,2010,55-64,participants,12063
mid-year,hunt,Age,2011,55-64,participants,12427
mid-year,hunt,Age,2012,55-64,participants,12534
mid-year,hunt,Age,2013,55-64,participants,12495
mid-year,hunt,Age,2014,55-64,participants,13183
mid-year,hunt,Age,2015,55-64,participants,14737
mid-year,hunt,Age,2016,55-64,participants,15593
mid-year,hunt,All,2015,All,recruits,24316
mid-year,hunt,All,2016,All,recruits,24165
mid-year,hunt,Residency,2015,Resident,recruits,12636
mid-year,hunt,Residency,2016,Resident,recruits,12506
mid-year,hunt,Residency,2015,Nonresident,recruits,11680
mid-year,hunt,Residency,2016,Nonresident,recruits,11659
mid-year,hunt,Gender,2015,Male,recruits,19490
mid-year,hunt,Gender,2016,Male,recruits,19274
mid-year,hunt,Gender,2015,Female,recruits,4826
mid-year,hunt,Gender,2016,Female,recruits,4891
mid-year,hunt,Age,2015,18-24,recruits,3722
mid-year,hunt,Age,2016,18-24,recruits,3824
mid-year,hunt,Age,2015,25-34,recruits,6079
mid-year,hunt,Age,2016,25-34,recruits,6120
mid-year,hunt,Age,2015,35-44,recruits,5249
mid-year,hunt,Age,2016,35-44,recruits,5130
mid-year,hunt,Age,2015,45-54,recruits,4996
mid-year,hunt,Age,2016,45-54,recruits,4896
mid-year,hunt,Age,2015,55-64,recruits,4269
mid-year,hunt,Age,2016,55-64,recruits,4195
mid-year,fish,All,2010,All,participants,294651
mid-year,fish,All,2011,All,participants,295917
mid-year,fish,All,2012,All,participants,300354
mid-year,fish,All,2013,All,participants,296100
mid-year,fish,All,2014,All,participants,310927
mid-year,fish,All,2015,All,participants,309110
mid-year,fish,All,2016,All,participants,330731
mid-year,fish,Residency,2010,Resident,participants,268271
mid-year,fish,Residency,2011,Resident,participants,271045
mid-year,fish,Residency,2012,Resident,participants,274295
mid-year,fish,Residency,2013,Resident,participants,270569
mid-year,fish,Residency,2014,Resident,participants,283934
mid-year,fish,Residency,2015,Resident,participants,280924
mid-year,fish,Residency,2016,Resident,participants,301442
mid-year,fish,Residency,2010,Nonresident,participants,26380
mid-year,fish,Residency,2011,Nonresident,participants,24872
mid-year,fish,Residency,2012,Nonresident,participants,26059
mid-year,fish,Residency,2013,Nonresident,participants,25531
mid-year,fish,Residency,2014,Nonresident,participants,26993
mid-year,fish,Residency,2015,Nonresident,participants,28186
mid-year,fish,Residency,2016,Nonresident,participants,29289
mid-year,fish,Gender,2010,Male,participants,228390
mid-year,fish,Gender,2011,Male,participants,228033
mid-year,fish,Gender,2012,Male,participants,229987
mid-year,fish,Gender,2013,Male,participants,226257
mid-year,fish,Gender,2014,Male,participants,235066
mid-year,fish,Gender,2015,Male,participants,233967
mid-year,fish,Gender,2016,Male,participants,248725
mid-year,fish,Gender,2010,Female,participants,66261
mid-year,fish,Gender,2011,Female,participants,67884
mid-year,fish,Gender,2012,Female,participants,70367
mid-year,fish,Gender,2013,Female,participants,69843
mid-year,fish,Gender,2014,Female,participants,75861
mid-year,fish,Gender,2015,Female,participants,75143
mid-year,fish,Gender,2016,Female,participants,82006
mid-year,fish,Age,2010,18-24,participants,36033
mid-year,fish,Age,2011,18-24,participants,37224
mid-year,fish,Age,2012,18-24,participants,39679
mid-year,fish,Age,2013,18-24,participants,39722
mid-year,fish,Age,2014,18-24,participants,42554
mid-year,fish,Age,2015,18-24,participants,40814
mid-year,fish,Age,2016,18-24,participants,43724
mid-year,fish,Age,2010,25-34,participants,60184
mid-year,fish,Age,2011,25-34,participants,61686
mid-year,fish,Age,2012,25-34,participants,63007
mid-year,fish,Age,2013,25-34,participants,62125
mid-year,fish,Age,2014,25-34,participants,65851
mid-year,fish,Age,2015,25-34,participants,65868
mid-year,fish,Age,2016,25-34,participants,70395
mid-year,fish,Age,2010,35-44,participants,69535
mid-year,fish,Age,2011,35-44,participants,68533
mid-year,fish,Age,2012,35-44,participants,68514
mid-year,fish,Age,2013,35-44,participants,65752
mid-year,fish,Age,2014,35-44,participants,68433
mid-year,fish,Age,2015,35-44,participants,66727
mid-year,fish,Age,2016,35-44,participants,70702
mid-year,fish,Age,2010,45-54,participants,72793
mid-year,fish,Age,2011,45-54,participants,72258
mid-year,fish,Age,2012,45-54,participants,72462
mid-year,fish,Age,2013,45-54,participants,70831
mid-year,fish,Age,2014,45-54,participants,73592
mid-year,fish,Age,2015,45-54,participants,73619
mid-year,fish,Age,2016,45-54,participants,78239
mid-year,fish,Age,2010,55-64,participants,56106
mid-year,fish,Age,2011,55-64,participants,56216
mid-year,fish,Age,2012,55-64,participants,56693
mid-year,fish,Age,2013,55-64,participants,57671
mid-year,fish,Age,2014,55-64,participants,60496
mid-year,fish,Age,2015,55-64,participants,62083
mid-year,fish,Age,2016,55-64,participants,67672
mid-year,fish,All,2015,All,recruits,92954
mid-year,fish,All,2016,All,recruits,98491
mid-year,fish,Residency,2015,Resident,recruits,75689
mid-year,fish,Residency,2016,Resident,recruits,80583
mid-year,fish,Residency,2015,Nonresident,recruits,17265
mid-year,fish,Residency,2016,Nonresident,recruits,17908
mid-year,fish,Gender,2015,Male,recruits,63071
mid-year,fish,Gender,2016,Male,recruits,66119
mid-year,fish,Gender,2015,Female,recruits,29883
mid-year,fish,Gender,2016,Female,recruits,32372
mid-year,fish,Age,2015,18-24,recruits,18317
mid-year,fish,Age,2016,18-24,recruits,19274
mid-year,fish,Age,2015,25-34,recruits,23601
mid-year,fish,Age,2016,25-34,recruits,24923
mid-year,fish,Age,2015,35-44,recruits,19539
mid-year,fish,Age,2016,35-44,recruits,20895
mid-year,fish,Age,2015,45-54,recruits,18169
mid-year,fish,Age,2016,45-54,recruits,18897
mid-year,fish,Age,2015,55-64,recruits,13327
mid-year,fish,Age,2016,55-64,recruits,14502
mid-year,all_sports,All,2010,All,participants,300127
mid-year,all_sports,All,2011,All,participants,300519
mid-year,all_sports,All,2012,All,participants,304533
mid-year,all_sports,All,2013,All,participants,300680
mid-year,all_sports,All,2014,All,participants,315439
mid-year,all_sports,All,2015,All,participants,313366
mid-year,all_sports,All,2016,All,participants,334459
mid-year,all_sports,Residency,2010,Resident,participants,273011
mid-year,all_sports,Residency,2011,Resident,participants,274889
mid-year,all_sports,Residency,2012,Resident,participants,278402
mid-year,all_sports,Residency,2013,Resident,participants,275128
mid-year,all_sports,Residency,2014,Resident,participants,288397
mid-year,all_sports,Residency,2015,Resident,participants,285078
mid-year,all_sports,Residency,2016,Resident,participants,305130
mid-year,all_sports,Residency,2010,Nonresident,participants,27116
mid-year,all_sports,Residency,2011,Nonresident,participants,25630
mid-year,all_sports,Residency,2012,Nonresident,participants,26131
mid-year,all_sports,Residency,2013,Nonresident,participants,25552
mid-year,all_sports,Residency,2014,Nonresident,participants,27042
mid-year,all_sports,Residency,2015,Nonresident,participants,28288
mid-year,all_sports,Residency,2016,Nonresident,participants,29329
mid-year,all_sports,Gender,2010,Male,participants,233634
mid-year,all_sports,Gender,2011,Male,participants,232413
mid-year,all_sports,Gender,2012,Male,participants,233913
mid-year,all_sports,Gender,2013,Male,participants,230538
mid-year,all_sports,Gender,2014,Male,participants,239291
mid-year,all_sports,Gender,2015,Male,participants,237954
mid-year,all_sports,Gender,2016,Male,participants,252228
mid-year,all_sports,Gender,2010,Female,participants,66493
mid-year,all_sports,Gender,2011,Female,participants,68106
mid-year,all_sports,Gender,2012,Female,participants,70620
mid-year,all_sports,Gender,2013,Female,participants,70142
mid-year,all_sports,Gender,2014,Female,participants,76148
mid-year,all_sports,Gender,2015,Female,participants,75412
mid-year,all_sports,Gender,2016,Female,participants,82231
mid-year,all_sports,Age,2010,18-24,participants,36829
mid-year,all_sports,Age,2011,18-24,participants,37927
mid-year,all_sports,Age,2012,18-24,participants,40342
mid-year,all_sports,Age,2013,18-24,participants,40547
