"timeframe","group","segment","year","category","metric","value"
"mid-year","hunt","All",2009,"All","participants",81506
"mid-year","hunt","All",2010,"All","participants",75482
"mid-year","hunt","All",2011,"All","participants",72715
"mid-year","hunt","All",2012,"All","participants",72892
"mid-year","hunt","All",2013,"All","participants",76216
"mid-year","hunt","All",2014,"All","participants",73395
"mid-year","hunt","All",2015,"All","participants",73395
"mid-year","hunt","All",2016,"All","participants",76069
"mid-year","hunt","All",2017,"All","participants",72513
"mid-year","hunt","All",2018,"All","participants",71023
"mid-year","hunt","Residency",2009,"Resident","participants",70518
"mid-year","hunt","Residency",2010,"Resident","participants",65254
"mid-year","hunt","Residency",2011,"Resident","participants",63316
"mid-year","hunt","Residency",2012,"Resident","participants",63405
"mid-year","hunt","Residency",2013,"Resident","participants",67177
"mid-year","hunt","Residency",2014,"Resident","participants",64849
"mid-year","hunt","Residency",2015,"Resident","participants",64087
"mid-year","hunt","Residency",2016,"Resident","participants",66597
"mid-year","hunt","Residency",2017,"Resident","participants",62817
"mid-year","hunt","Residency",2018,"Resident","participants",60904
"mid-year","hunt","Residency",2009,"Nonresident","participants",10988
"mid-year","hunt","Residency",2010,"Nonresident","participants",10228
"mid-year","hunt","Residency",2011,"Nonresident","participants",9399
"mid-year","hunt","Residency",2012,"Nonresident","participants",9487
"mid-year","hunt","Residency",2013,"Nonresident","participants",9039
"mid-year","hunt","Residency",2014,"Nonresident","participants",8546
"mid-year","hunt","Residency",2015,"Nonresident","participants",9308
"mid-year","hunt","Residency",2016,"Nonresident","participants",9472
"mid-year","hunt","Residency",2017,"Nonresident","participants",9696
"mid-year","hunt","Residency",2018,"Nonresident","participants",10119
"mid-year","hunt","Gender",2009,"Male","participants",78640
"mid-year","hunt","Gender",2010,"Male","participants",72835
"mid-year","hunt","Gender",2011,"Male","participants",70200
"mid-year","hunt","Gender",2012,"Male","participants",70112
"mid-year","hunt","Gender",2013,"Male","participants",73011
"mid-year","hunt","Gender",2014,"Male","participants",69986
"mid-year","hunt","Gender",2015,"Male","participants",69664
"mid-year","hunt","Gender",2016,"Male","participants",72030
"mid-year","hunt","Gender",2017,"Male","participants",68679
"mid-year","hunt","Gender",2018,"Male","participants",67118
"mid-year","hunt","Gender",2009,"Female","participants",2866
"mid-year","hunt","Gender",2010,"Female","participants",2647
"mid-year","hunt","Gender",2011,"Female","participants",2515
"mid-year","hunt","Gender",2012,"Female","participants",2780
"mid-year","hunt","Gender",2013,"Female","participants",3205
"mid-year","hunt","Gender",2014,"Female","participants",3409
"mid-year","hunt","Gender",2015,"Female","participants",3731
"mid-year","hunt","Gender",2016,"Female","participants",4039
"mid-year","hunt","Gender",2017,"Female","participants",3834
"mid-year","hunt","Gender",2018,"Female","participants",3905
"mid-year","hunt","Age",2009,"18-24","participants",7697
"mid-year","hunt","Age",2010,"18-24","participants",6822
"mid-year","hunt","Age",2011,"18-24","participants",6799
"mid-year","hunt","Age",2012,"18-24","participants",7015
"mid-year","hunt","Age",2013,"18-24","participants",7873
"mid-year","hunt","Age",2014,"18-24","participants",8004
"mid-year","hunt","Age",2015,"18-24","participants",8082
"mid-year","hunt","Age",2016,"18-24","participants",8418
"mid-year","hunt","Age",2017,"18-24","participants",7901
