timeframe,group,segment,year,category,metric,value
mid-year,hunt,All,2008,All,participants,185474
mid-year,hunt,All,2009,All,participants,186739
mid-year,hunt,All,2010,All,participants,177039
mid-year,hunt,All,2011,All,participants,171213
mid-year,hunt,All,2012,All,participants,173999
mid-year,hunt,All,2013,All,participants,181633
mid-year,hunt,All,2014,All,participants,178254
mid-year,hunt,All,2015,All,participants,178668
mid-year,hunt,All,2016,All,participants,177896
mid-year,hunt,All,2017,All,participants,170992
mid-year,hunt,All,2018,All,participants,169280
mid-year,hunt,All,2019,All,participants,162536
mid-year,hunt,Residency,2008,Resident,participants,173087
mid-year,hunt,Residency,2009,Resident,participants,174856
mid-year,hunt,Residency,2010,Resident,participants,166661
mid-year,hunt,Residency,2011,Resident,participants,160941
mid-year,hunt,Residency,2012,Resident,participants,163550
mid-year,hunt,Residency,2013,Resident,participants,170143
mid-year,hunt,Residency,2014,Resident,participants,166130
mid-year,hunt,Residency,2015,Resident,participants,165658
mid-year,hunt,Residency,2016,Resident,participants,165017
mid-year,hunt,Residency,2017,Resident,participants,158259
mid-year,hunt,Residency,2018,Resident,participants,156097
mid-year,hunt,Residency,2019,Resident,participants,149888
mid-year,hunt,Residency,2008,Nonresident,participants,12387
mid-year,hunt,Residency,2009,Nonresident,participants,11883
mid-year,hunt,Residency,2010,Nonresident,participants,10378
mid-year,hunt,Residency,2011,Nonresident,participants,10272
mid-year,hunt,Residency,2012,Nonresident,participants,10449
mid-year,hunt,Residency,2013,Nonresident,participants,11490
mid-year,hunt,Residency,2014,Nonresident,participants,12124
mid-year,hunt,Residency,2015,Nonresident,participants,13010
mid-year,hunt,Residency,2016,Nonresident,participants,12879
mid-year,hunt,Residency,2017,Nonresident,participants,12733
mid-year,hunt,Residency,2018,Nonresident,participants,13183
mid-year,hunt,Residency,2019,Nonresident,participants,12648
mid-year,hunt,Gender,2008,Male,participants,173245
mid-year,hunt,Gender,2009,Male,participants,174433
mid-year,hunt,Gender,2010,Male,participants,165273
mid-year,hunt,Gender,2011,Male,participants,159792
mid-year,hunt,Gender,2012,Male,participants,161721
mid-year,hunt,Gender,2013,Male,participants,167766
mid-year,hunt,Gender,2014,Male,participants,164216
mid-year,hunt,Gender,2015,Male,participants,164123
mid-year,hunt,Gender,2016,Male,participants,162792
mid-year,hunt,Gender,2017,Male,participants,156654
mid-year,hunt,Gender,2018,Male,participants,155204
mid-year,hunt,Gender,2019,Male,participants,149135
mid-year,hunt,Gender,2008,Female,participants,12229
mid-year,hunt,Gender,2009,Female,participants,12306
mid-year,hunt,Gender,2010,Female,participants,11766
mid-year,hunt,Gender,2011,Female,participants,11421
mid-year,hunt,Gender,2012,Female,participants,12278
mid-year,hunt,Gender,2013,Female,participants,13867
mid-year,hunt,Gender,2014,Female,participants,14038
mid-year,hunt,Gender,2015,Female,participants,14545
mid-year,hunt,Gender,2016,Female,participants,15104
mid-year,hunt,Gender,2017,Female,participants,14338
mid-year,hunt,Gender,2018,Female,participants,14076
mid-year,hunt,Gender,2019,Female,participants,13401
mid-year,hunt,Age,2008,18-24,participants,20377
mid-year,hunt,Age,2009,18-24,participants,20401
