"timeframe","group","segment","year","category","metric","value"
"mid-year","hunt","All",2009,"All","participants",172092
"mid-year","hunt","All",2010,"All","participants",156751
"mid-year","hunt","All",2011,"All","participants",154609
"mid-year","hunt","All",2012,"All","participants",152347
"mid-year","hunt","All",2013,"All","participants",153234
"mid-year","hunt","All",2014,"All","participants",152848
"mid-year","hunt","All",2015,"All","participants",155324
"mid-year","hunt","All",2016,"All","participants",156160
"mid-year","hunt","All",2017,"All","participants",151843
"mid-year","hunt","All",2018,"All","participants",151405
"mid-year","hunt","All",2019,"All","participants",148088
"mid-year","hunt","Residency",2009,"Resident","participants",159426
"mid-year","hunt","Residency",2010,"Resident","participants",148077
"mid-year","hunt","Residency",2011,"Resident","participants",146310
"mid-year","hunt","Residency",2012,"Resident","participants",144177
"mid-year","hunt","Residency",2013,"Resident","participants",145005
"mid-year","hunt","Residency",2014,"Resident","participants",144455
"mid-year","hunt","Residency",2015,"Resident","participants",146409
"mid-year","hunt","Residency",2016,"Resident","participants",147057
"mid-year","hunt","Residency",2017,"Resident","participants",142997
"mid-year","hunt","Residency",2018,"Resident","participants",141980
"mid-year","hunt","Residency",2019,"Resident","participants",138402
"mid-year","hunt","Residency",2009,"Nonresident","participants",12666
"mid-year","hunt","Residency",2010,"Nonresident","participants",8674
"mid-year","hunt","Residency",2011,"Nonresident","participants",8299
"mid-year","hunt","Residency",2012,"Nonresident","participants",8170
"mid-year","hunt","Residency",2013,"Nonresident","participants",8229
"mid-year","hunt","Residency",2014,"Nonresident","participants",8393
"mid-year","hunt","Residency",2015,"Nonresident","participants",8915
"mid-year","hunt","Residency",2016,"Nonresident","participants",9103
"mid-year","hunt","Residency",2017,"Nonresident","participants",8846
"mid-year","hunt","Residency",2018,"Nonresident","participants",9425
"mid-year","hunt","Residency",2019,"Nonresident","participants",9686
"mid-year","hunt","Gender",2009,"Male","participants",147819
"mid-year","hunt","Gender",2010,"Male","participants",134939
"mid-year","hunt","Gender",2011,"Male","participants",132616
"mid-year","hunt","Gender",2012,"Male","participants",130130
"mid-year","hunt","Gender",2013,"Male","participants",129902
"mid-year","hunt","Gender",2014,"Male","participants",128484
"mid-year","hunt","Gender",2015,"Male","participants",129331
"mid-year","hunt","Gender",2016,"Male","participants",128785
"mid-year","hunt","Gender",2017,"Male","participants",124875
"mid-year","hunt","Gender",2018,"Male","participants",124516
"mid-year","hunt","Gender",2019,"Male","participants",122261
"mid-year","hunt","Gender",2009,"Female","participants",24273
"mid-year","hunt","Gender",2010,"Female","participants",21812
"mid-year","hunt","Gender",2011,"Female","participants",21993
"mid-year","hunt","Gender",2012,"Female","participants",22217
"mid-year","hunt","Gender",2013,"Female","participants",23332
"mid-year","hunt","Gender",2014,"Female","participants",24364
"mid-year","hunt","Gender",2015,"Female","participants",25993
"mid-year","hunt","Gender",2016,"Female","participants",27375
"mid-year","hunt","Gender",2017,"Female","participants",26968
"mid-year","hunt","Gender",2018,"Female","participants",26889
"mid-year","hunt","Gender",2019,"Female","participants",25827
"mid-year","hunt","Age",2009,"18-24","participants",15591
"mid-year","hunt","Age",2010,"18-24","participants",13786
"mid-year","hunt","Age",2011,"18-24","participants",13557
"mid-year","hunt","Age",2012,"18-24","participants",13501
"mid-year","hunt","Age",2013,"18-24","participants",13940
"mid-year","hunt","Age",2014,"18-24","participants",14138
"mid-year","hunt","Age",2015,"18-24","participants",14458
"mid-year","hunt","Age",2016,"18-24","participants",15351
"mid-year","hunt","Age",2017,"18-24","participants",14824
"mid-year","hunt","Age",2018,"18-24","participants",14712
"mid-year","hunt","Age",2019,"18-24","participants",14111
"mid-year","hunt","Age",2009,"25-34","participants",32147
"mid-year","hunt","Age",2010,"25-34","participants",29349
"mid-year","hunt","Age",2011,"25-34","participants",29479
"mid-year","hunt","Age",2012,"25-34","participants",29260
"mid-year","hunt","Age",2013,"25-34","participants",29713
"mid-year","hunt","Age",2014,"25-34","participants",30114
"mid-year","hunt","Age",2015,"25-34","participants",31045
"mid-year","hunt","Age",2016,"25-34","participants",31283
"mid-year","hunt","Age",2017,"25-34","participants",30743
"mid-year","hunt","Age",2018,"25-34","participants",30237
"mid-year","hunt","Age",2019,"25-34","participants",29838
"mid-year","hunt","Age",2009,"35-44","participants",37851
"mid-year","hunt","Age",2010,"35-44","participants",34067
"mid-year","hunt","Age",2011,"35-44","participants",33237
"mid-year","hunt","Age",2012,"35-44","participants",33025
"mid-year","hunt","Age",2013,"35-44","participants",33523
"mid-year","hunt","Age",2014,"35-44","participants",33605
"mid-year","hunt","Age",2015,"35-44","participants",34592
"mid-year","hunt","Age",2016,"35-44","participants",34739
"mid-year","hunt","Age",2017,"35-44","participants",34290
"mid-year","hunt","Age",2018,"35-44","participants",35105
"mid-year","hunt","Age",2019,"35-44","participants",35056
"mid-year","hunt","Age",2009,"45-54","participants",44895
"mid-year","hunt","Age",2010,"45-54","participants",40176
"mid-year","hunt","Age",2011,"45-54","participants",38712
"mid-year","hunt","Age",2012,"45-54","participants",37425
"mid-year","hunt","Age",2013,"45-54","participants",36883
"mid-year","hunt","Age",2014,"45-54","participants",36307
"mid-year","hunt","Age",2015,"45-54","participants",36482
"mid-year","hunt","Age",2016,"45-54","participants",36121
"mid-year","hunt","Age",2017,"45-54","participants",34702
"mid-year","hunt","Age",2018,"45-54","participants",34417
"mid-year","hunt","Age",2019,"45-54","participants",33275
"mid-year","hunt","Age",2009,"55-64","participants",41608
"mid-year","hunt","Age",2010,"55-64","participants",39373
"mid-year","hunt","Age",2011,"55-64","participants",39624
"mid-year","hunt","Age",2012,"55-64","participants",39136
"mid-year","hunt","Age",2013,"55-64","participants",39175
"mid-year","hunt","Age",2014,"55-64","participants",38684
"mid-year","hunt","Age",2015,"55-64","participants",38747
"mid-year","hunt","Age",2016,"55-64","participants",38666
"mid-year","hunt","Age",2017,"55-64","participants",37284
"mid-year","hunt","Age",2018,"55-64","participants",36934
"mid-year","hunt","Age",2019,"55-64","participants",35806
"mid-year","hunt","All",2009,"All","residents",159426
"mid-year","hunt","All",2010,"All","residents",148077
"mid-year","hunt","All",2011,"All","residents",146310
"mid-year","hunt","All",2012,"All","residents",144177
"mid-year","hunt","All",2013,"All","residents",145005
"mid-year","hunt","All",2014,"All","residents",144455
"mid-year","hunt","All",2015,"All","residents",146409
"mid-year","hunt","All",2016,"All","residents",147057
"mid-year","hunt","All",2017,"All","residents",142997
"mid-year","hunt","All",2018,"All","residents",141980
"mid-year","hunt","All",2019,"All","residents",138402
"mid-year","hunt","Residency",2009,"Resident","residents",159426
"mid-year","hunt","Residency",2010,"Resident","residents",148077
"mid-year","hunt","Residency",2011,"Resident","residents",146310
"mid-year","hunt","Residency",2012,"Resident","residents",144177
"mid-year","hunt","Residency",2013,"Resident","residents",145005
"mid-year","hunt","Residency",2014,"Resident","residents",144455
"mid-year","hunt","Residency",2015,"Resident","residents",146409
"mid-year","hunt","Residency",2016,"Resident","residents",147057
"mid-year","hunt","Residency",2017,"Resident","residents",142997
"mid-year","hunt","Residency",2018,"Resident","residents",141980
"mid-year","hunt","Residency",2019,"Resident","residents",138402
"mid-year","hunt","Gender",2009,"Male","residents",135655
"mid-year","hunt","Gender",2010,"Male","residents",126573
"mid-year","hunt","Gender",2011,"Male","residents",124621
"mid-year","hunt","Gender",2012,"Male","residents",122300
"mid-year","hunt","Gender",2013,"Male","residents",122015
"mid-year","hunt","Gender",2014,"Male","residents",120451
"mid-year","hunt","Gender",2015,"Male","residents",120827
"mid-year","hunt","Gender",2016,"Male","residents",120123
"mid-year","hunt","Gender",2017,"Male","residents",116453
"mid-year","hunt","Gender",2018,"Male","residents",115554
"mid-year","hunt","Gender",2019,"Male","residents",113064
"mid-year","hunt","Gender",2009,"Female","residents",23771
"mid-year","hunt","Gender",2010,"Female","residents",21504
"mid-year","hunt","Gender",2011,"Female","residents",21689
"mid-year","hunt","Gender",2012,"Female","residents",21877
"mid-year","hunt","Gender",2013,"Female","residents",22990
"mid-year","hunt","Gender",2014,"Female","residents",24004
"mid-year","hunt","Gender",2015,"Female","residents",25582
"mid-year","hunt","Gender",2016,"Female","residents",26934
"mid-year","hunt","Gender",2017,"Female","residents",26544
"mid-year","hunt","Gender",2018,"Female","residents",26426
"mid-year","hunt","Gender",2019,"Female","residents",25338
"mid-year","hunt","Age",2009,"18-24","residents",15075
"mid-year","hunt","Age",2010,"18-24","residents",13485
"mid-year","hunt","Age",2011,"18-24","residents",13228
"mid-year","hunt","Age",2012,"18-24","residents",13183
"mid-year","hunt","Age",2013,"18-24","residents",13600
"mid-year","hunt","Age",2014,"18-24","residents",13772
"mid-year","hunt","Age",2015,"18-24","residents",14026
"mid-year","hunt","Age",2016,"18-24","residents",14881
"mid-year","hunt","Age",2017,"18-24","residents",14361
"mid-year","hunt","Age",2018,"18-24","residents",14176
"mid-year","hunt","Age",2019,"18-24","residents",13568
"mid-year","hunt","Age",2009,"25-34","residents",30217
"mid-year","hunt","Age",2010,"25-34","residents",28129
"mid-year","hunt","Age",2011,"25-34","residents",28332
"mid-year","hunt","Age",2012,"25-34","residents",28060
"mid-year","hunt","Age",2013,"25-34","residents",28537
"mid-year","hunt","Age",2014,"25-34","residents",28902
"mid-year","hunt","Age",2015,"25-34","residents",29725
"mid-year","hunt","Age",2016,"25-34","residents",29822
"mid-year","hunt","Age",2017,"25-34","residents",29303
"mid-year","hunt","Age",2018,"25-34","residents",28684
"mid-year","hunt","Age",2019,"25-34","residents",28153
"mid-year","hunt","Age",2009,"35-44","residents",34533
"mid-year","hunt","Age",2010,"35-44","residents",31851
"mid-year","hunt","Age",2011,"35-44","residents",31190
"mid-year","hunt","Age",2012,"35-44","residents",31082
"mid-year","hunt","Age",2013,"35-44","residents",31566
"mid-year","hunt","Age",2014,"35-44","residents",31601
"mid-year","hunt","Age",2015,"35-44","residents",32523
"mid-year","hunt","Age",2016,"35-44","residents",32633
"mid-year","hunt","Age",2017,"35-44","residents",32207
"mid-year","hunt","Age",2018,"35-44","residents",32890
"mid-year","hunt","Age",2019,"35-44","residents",32684
"mid-year","hunt","Age",2009,"45-54","residents",41054
"mid-year","hunt","Age",2010,"45-54","residents",37480
"mid-year","hunt","Age",2011,"45-54","residents",36176
"mid-year","hunt","Age",2012,"45-54","residents",34916
"mid-year","hunt","Age",2013,"45-54","residents",34436
"mid-year","hunt","Age",2014,"45-54","residents",33832
"mid-year","hunt","Age",2015,"45-54","residents",33861
"mid-year","hunt","Age",2016,"45-54","residents",33545
"mid-year","hunt","Age",2017,"45-54","residents",32222
"mid-year","hunt","Age",2018,"45-54","residents",31795
"mid-year","hunt","Age",2019,"45-54","residents",30712
"mid-year","hunt","Age",2009,"55-64","residents",38547
"mid-year","hunt","Age",2010,"55-64","residents",37132
"mid-year","hunt","Age",2011,"55-64","residents",37384
"mid-year","hunt","Age",2012,"55-64","residents",36936
"mid-year","hunt","Age",2013,"55-64","residents",36866
"mid-year","hunt","Age",2014,"55-64","residents",36348
"mid-year","hunt","Age",2015,"55-64","residents",36274
"mid-year","hunt","Age",2016,"55-64","residents",36175
"mid-year","hunt","Age",2017,"55-64","residents",34904
"mid-year","hunt","Age",2018,"55-64","residents",34435
"mid-year","hunt","Age",2019,"55-64","residents",33283
"mid-year","hunt","All",2014,"All","recruits",10963
